dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,56.95846122371646,56.95846058753991,4.337661362088009,0.6810266582522303,0.11914582028600576,0.09087101340416907,27.241066329134274,7.547082961231873,0.1294158100825419,0.074381315525745,0.07438131589521031,Transport,1
loop_seattle/5T/medium,TinyCast,139.1062581934501,139.10625652049472,7.853013544387738,1.2310448325373466,0.26518284721886287,0.17023864360293614,49.24179330059535,11.794331612832076,0.20984539498785487,0.13972124772836686,0.13972124788732668,Transport,1
loop_seattle/5T/long,TinyCast,143.7859150685128,143.78591499684669,7.97595885873538,1.2508683330874832,0.27703372387994857,0.17022163845150176,50.03473332237787,11.991076476635149,0.21200469758103235,0.14101659255195162,0.14101659259074403,Transport,1
loop_seattle/D/short,TinyCast,23.242331836491793,23.242328296578705,3.6501006355718686,1.085474333038037,0.06705542744989858,0.06701390081391861,43.41897331684602,4.82103016340821,0.08615824815089082,0.06523217355541298,0.06523217366622167,Transport,1
loop_seattle/H/short,TinyCast,96.41226657923167,96.41226790529015,6.008937526348782,1.2081087832698412,0.1941368856601509,0.13323188101304528,48.324351326701176,9.81897482323036,0.1738058392554037,0.10636430468580675,0.10636430505523059,Transport,1
loop_seattle/H/medium,TinyCast,102.65207341905717,102.65207499375161,6.553786338593569,1.3382492249798914,0.20376678379204496,0.14226536179966726,53.52996899481601,10.131735952888684,0.17907730031226238,0.1158374408685715,0.11583744208328284,Transport,1
loop_seattle/H/long,TinyCast,117.54949210015695,117.54948887518275,6.880825437185565,1.4224436879799007,0.24040440945515404,0.14914405935607009,56.897747516454665,10.842024354342549,0.19376145990862934,0.12296954318789244,0.12296954356795456,Transport,1
m_dense/D/short,TinyCast,15104.68,15104.674074074073,72.26597511574074,0.9886971198073045,0.17251929642979175,0.14253874602141203,39.547884770502776,122.90109844911883,0.21275997234338767,0.12510308745009577,0.12510308161062006,Transport,1
m_dense/H/short,TinyCast,123652.87166666667,123652.87180555555,181.61340928819445,1.4798486815072496,0.7183390075330347,0.4077468321058485,59.19394725658864,351.64310268604254,0.6237273003427547,0.32213696391624264,0.3221369605906419,Transport,1
m_dense/H/medium,TinyCast,134092.87555555557,134092.8711111111,185.72766493055556,1.550715521162965,0.6813225327829943,0.4232164340549045,62.02862084162653,366.1869407222977,0.6371190332972968,0.3231426825427324,0.32314268892157083,Transport,1
m_dense/H/long,TinyCast,137301.7362962963,137301.75209876543,185.6745987654321,1.5591708094524317,0.6521604650105266,0.42098346474729936,62.36683237394385,370.54248919158556,0.6414638592046376,0.32143019533386175,0.32143019645421567,Transport,1
sz_taxi/15T/short,TinyCast,18.402484581729578,18.402484176505325,2.94819588480706,0.5918462821695167,1379804294125.0815,0.43117402819632317,23.673851287358328,4.28981171868062,0.401115760978991,0.2756689368672865,0.27566893775488616,Transport,1
sz_taxi/15T/medium,TinyCast,23.59173844818376,23.591736778846155,3.4721744374332264,0.6852122401019093,11537660756669.053,0.5247761913853832,27.40848960088363,4.857132739403337,0.45203723913545035,0.32314376211320284,0.32314376830076585,Transport,1
sz_taxi/15T/long,TinyCast,28.75611867877493,28.75611700943732,3.8328197337962964,0.7260521191923734,8699955578587.692,0.5685422196347489,29.042084764619773,5.3624731867651265,0.49634091477453535,0.3547589305497199,0.3547589127784738,Transport,1
sz_taxi/H/short,TinyCast,9.114730052458935,9.114731878296942,2.1321307777339578,0.6579875425856069,1.099939444126227,0.32791466183132595,26.319501697396145,3.019061121020728,0.2812441737104686,0.19862113908568618,0.19862113495566908,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2137366.357399174,2137366.3742392426,179.3005880313951,1.0007729929472322,2.4277912298075157,0.6590597167572294,40.03091966835019,1461.9734462018023,4.590235044636643,0.5629595016543554,0.5629595019114426,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,4468929.810654716,4468929.764723928,322.96714422646414,1.3487331987969082,5.799552226391153,0.7840691786590462,53.949327909768044,2113.984344940784,6.422868186109951,0.9812633668623723,0.9812633588076449,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3601058.750287136,3601058.771844966,332.32039984143097,1.275889213939109,4.640079995198559,0.8115824509058122,51.03556853036934,1897.645580788767,5.014910686586555,0.8782235952842129,0.8782236099375371,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3393859.3005359485,3393859.244820451,350.87008007763967,1.1938362437628949,3.0662287116790474,0.5922873099432785,47.75344982413351,1842.243008003002,5.250990937175036,1.0000936915541616,1.0000936890271983,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1766489.0757363732,1766489.0789120211,131.37431644791332,2.0116196631840273,1.5006341102972258,0.6458040335408627,80.46478648789912,1329.0933284522848,5.438266225438873,0.5375457785652822,0.5375457856463082,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2290088.8893177207,2290088.8807324595,154.76568942689266,4.956519096925182,0.5497875748664386,0.7859296890911192,198.26076428046272,1513.3039646144196,6.3672411904026225,0.6511781476968853,0.6511781456182385,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,4880707.694928791,4880707.811723767,294.3373870709618,3.993646844304813,5.810646095107547,0.7954148910940421,159.74587400693764,2209.232376851469,8.463071528849145,1.1275402200768951,1.1275402216115988,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,1693368.3656636633,1693368.3958093436,167.31565596062347,6.1892658343710325,2.0242641495735776,0.6145505583614196,247.5706312814447,1301.2948803648092,5.695103194670233,0.7322551876270803,0.7322551906489331,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,4124011.2355555557,4124012.657777778,760.7454166666666,2.806064548525564,0.038416570027669274,0.039274970160590277,112.24258205780325,2030.7661695910624,0.07831853395676375,0.029338909934499502,0.029338911218672912,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,20118174.72,20118169.6,1822.2022916666667,6.609379213721296,0.08704822540283202,0.09020477294921875,264.37516832101875,4485.3288307547755,0.17612566207221586,0.07155252093195909,0.07155251976957368,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,19696876.65777778,19696881.20888889,2070.49,6.7602960518735,0.08843653361002604,0.09205742730034722,270.41184259920243,4438.116341171982,0.1711604076210014,0.07985052331494849,0.07985052076572698,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,25.18454037620908,25.18453834170387,3.1553878057570683,0.32065915859763156,0.16650841281126985,0.22732759089696974,12.826366342235875,5.018420107584565,0.17235285264445044,0.10836878496876211,0.10836878348068012,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,160.08984906462584,160.08983843537416,8.616353103741497,0.8407483735000771,0.6200944790655185,0.9568680743781888,33.6299349333603,12.652661738331023,0.6657160728850035,0.45334688221657343,0.4533468794908363,Web/CloudOps,7
bizitobs_l2c/5T/long,TinyCast,321.1780753968254,321.1780753968254,12.374972718253968,1.1551530471992577,0.9542689830423188,1.2514917379712303,46.20612187450056,17.92144177784883,1.0062621632226245,0.6948362175125126,0.694836156481462,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast,105.9386703249008,105.93867807539682,6.866421169704861,0.690788712636696,0.7024413184296313,0.74555418226454,27.63154853358596,10.29265127772727,0.5548002638049939,0.3701176862556282,0.3701176748849892,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast,219.96607142857144,219.96607142857144,10.263727678571428,1.0193130369132957,0.8760422292473679,1.0919025239490328,40.77252151758094,14.831253198181583,0.8980549085298595,0.6214843006445988,0.621484269964392,Web/CloudOps,7
