dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,56.36226264315862,56.36226147158596,4.2510058407936056,0.6688885795399389,0.1173530569755625,0.08921373766396191,26.755543178962068,7.507480445739344,0.12873671437760542,0.0728953646565088,0.07289536462626939,Transport,1
loop_seattle/5T/medium,TinyCast,146.88369358310757,146.88369561887254,7.634332722603844,1.1941472576186913,0.2717519693600996,0.16583520910934274,47.76589030598621,12.11955830808646,0.21563184618887068,0.1358304665522989,0.1358304667918953,Transport,1
loop_seattle/5T/long,TinyCast,151.16308692738792,151.163083917412,7.620274134004845,1.1900275240738087,0.28635341459260516,0.16222147728677547,47.60110096268007,12.29483984960308,0.21737529647161102,0.13472801348670907,0.13472801237489204,Transport,1
loop_seattle/D/short,TinyCast,23.423923274336463,23.423922745239132,3.678326354602542,1.0931054993044944,0.06757911267787434,0.06759825653335996,43.724219973543505,4.839826781439235,0.0864941688205034,0.06573660485371519,0.06573660492582878,Transport,1
loop_seattle/H/short,TinyCast,98.95479590660602,98.95479810123278,6.028057625289717,1.2139207688926383,0.20204687854078332,0.13251974412900375,48.556830752302744,9.9476025205376,0.17608268029883758,0.10670274988022903,0.10670274884442105,Transport,1
loop_seattle/H/medium,TinyCast,122.48684792533379,122.48685441307485,7.011084907145938,1.4504240080317028,0.2268845800767865,0.1477897557434775,58.016960318680034,11.067377644470879,0.1956146626129811,0.1239201419450511,0.1239201409958362,Transport,1
loop_seattle/H/long,TinyCast,176.15838170794635,176.15838056576797,8.412727637827334,1.7577434102865694,0.299130414366353,0.17017444772001883,70.30973640745546,13.272467054317609,0.23719671797303488,0.15034668209965893,0.15034668159995712,Transport,1
m_dense/D/short,TinyCast,14197.837037037038,14197.82888888889,69.84015625,0.9570859470175113,0.16694787027572508,0.13813352231626158,38.28343789025037,119.15467694151597,0.2062743628052902,0.12090363633616824,0.12090363735731217,Transport,1
m_dense/H/short,TinyCast,126267.57527777778,126267.58097222222,179.3247189670139,1.471000363019453,0.6029888908780442,0.40057116190592446,58.84001450399593,355.34149107271134,0.630287320392673,0.3180773972008816,0.3180773928355313,Transport,1
m_dense/H/medium,TinyCast,146991.70666666667,146991.70666666667,195.62680555555556,1.680188001971167,0.5523897439093965,0.4738497585720486,67.20752006206244,383.39497475406046,0.6670588394128241,0.34036593712694474,0.340365929436575,Transport,1
m_dense/H/long,TinyCast,157396.95407407408,157396.95802469135,204.4550925925926,1.7759417267250914,0.5562884771490604,0.5198393192997686,71.03766905428527,396.73284975418164,0.6868032474002986,0.3539420081476156,0.35394200889320615,Transport,1
sz_taxi/15T/short,TinyCast,18.49326713385017,18.493267664833674,2.9426009978130185,0.5903718761225027,1309894147178.1714,0.42660450848030956,23.614875039213654,4.300379882504588,0.4021039295403155,0.27514579098085196,0.275145792853315,Transport,1
sz_taxi/15T/medium,TinyCast,19.725355986244658,19.725356612246262,3.0909743088942307,0.6103762012863561,10107234431459.752,0.46648905827448917,24.415048053488203,4.44132367501454,0.4133392682216688,0.28766673010521737,0.2876667165198486,Transport,1
sz_taxi/15T/long,TinyCast,20.153412126068375,20.153411569622506,3.1478716641070155,0.6037833150219178,6801897395588.319,0.5093596803496706,24.15133260797253,4.489255186115885,0.41551742043809303,0.29136136385946804,0.2913613597481606,Transport,1
sz_taxi/H/short,TinyCast,8.964824578700922,8.964825100368923,2.108643523648254,0.650768559768818,1.1043648434500408,0.3239854706658257,26.030742389281805,2.994131690273646,0.2789218433996583,0.19643315643039358,0.19643315620978985,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2022402.4989555045,2022402.517051238,176.41536302953543,1.0489645332380046,2.52990188611739,0.657573997401721,41.95858129964408,1422.1119853779112,4.465079916217861,0.5539006087246613,0.5539006057901559,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3994687.8116422947,3994687.774568871,301.9758507895814,1.3580019638798153,5.038731964227083,0.7727079255134331,54.32007853366978,1998.6715116902765,6.072515956725001,0.9174860209592599,0.9174860163057753,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3461095.0650296183,3461095.020095525,313.7322593745813,1.2635357339294169,4.02150157985657,0.7926185748187615,50.54142932203872,1860.401855790737,4.9164866413424075,0.8291006899247043,0.8291006918474857,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,4263015.226139372,4263015.3210399365,393.7510631912224,1.2163501205192462,4.8396535858014325,0.5948182252090689,48.65400481316229,2064.707055768293,5.885085730092232,1.1223184212605106,1.1223184239921162,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1727614.4862100699,1727614.4595680689,131.12568205191874,2.0361072617463964,1.5376789913248996,0.6352449328495425,81.44429036514951,1314.3874946947988,5.378094198893993,0.5365284383911394,0.5365284413246552,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2261425.1127994126,2261425.113352477,153.6758445146348,4.9755560975114985,0.5446092923596733,0.7343711642620109,199.02224380882214,1503.8035486058052,6.3272680973886075,0.6465926145992785,0.6465926024606576,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,4812150.428579645,4812150.416909265,289.10996347396815,3.99574598064289,5.672546861909756,0.7427615772984585,159.82983934988584,2193.6614206799654,8.403422703658643,1.1075151379368258,1.1075151286599207,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,1871735.994110556,1871735.989698886,190.31322706591712,6.185749067975455,2.9243999596320034,0.6165608153360059,247.4299626134721,1368.114028182796,5.987536483961801,0.8329038128139373,0.8329038253957832,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,4165414.6844444443,4165416.1066666665,853.1635416666667,3.200839698627925,0.04283175998263889,0.04415145874023438,128.0335878011078,2040.9347575178497,0.07871069574809238,0.03290310760994653,0.032903106290137964,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,18497795.413333334,18497797.12,1817.4339583333333,6.3584276043962396,0.08364791870117187,0.08651840209960937,254.33710459209595,4300.906347891492,0.16888393395797374,0.07136528251600263,0.07136528616555828,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,17523309.226666667,17523302.4,2114.182083333333,6.874747298172133,0.09116880628797742,0.09425294664171006,274.9898920767029,4186.08519104266,0.16144057355781122,0.08153555232686693,0.0815355571223294,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,24.207220168340776,24.20722191220238,3.0511502402169364,0.31117766722177514,0.17147767289213925,0.2232329561596825,12.447106688501378,4.920083349735122,0.1689755704775902,0.10478884518922825,0.10478884804049692,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,151.54319727891158,151.54318664965987,8.073260788690476,0.7831710140389815,0.5924759320539684,0.9391974416719813,31.326840570271244,12.310288269529336,0.6477021936061331,0.4247722399265251,0.42477224325987717,Web/CloudOps,7
bizitobs_l2c/5T/long,TinyCast,335.15440476190474,335.15440476190474,12.635035962301588,1.190676116755086,0.9677343710687868,1.2559061104910714,47.62704466587231,18.307222748464735,1.0279231879791204,0.7094383798705381,0.7094384188338296,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast,113.50415426587301,113.50416201636905,7.0320938352554565,0.7067098865610018,0.6338691985864433,0.7882003178672184,28.26839550019585,10.653832843905192,0.5742688752239615,0.3790478672238347,0.3790478593765122,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast,267.3149367559524,267.3149181547619,10.760400390625,1.0602508901663665,0.8196603913699344,1.250639415922619,42.410035638241666,16.349768706497116,0.9900033290509709,0.6515585877619704,0.6515585212294628,Web/CloudOps,7
