dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,71.64153572767512,71.64153679846733,4.775711319394894,0.7485993489197352,0.13041258360210217,0.10041900537331407,29.943973958949716,8.464132308020423,0.14514118168769707,0.08189290515218792,0.08189290540983268,Transport,1
loop_seattle/5T/medium,TinyCast,218.36441186548632,218.36441287329077,9.651076990212204,1.496743752015036,0.3192127036851503,0.20974307297430048,59.86975008168952,14.777158450307228,0.2629160136916177,0.17171249118227686,0.17171249054625293,Transport,1
loop_seattle/5T/long,TinyCast,168.0754361060945,168.07543798732942,7.941332328664287,1.2330388820784535,0.31194935889080594,0.16726673841394424,49.321555282448536,12.964391081192147,0.22921309991191402,0.14040438838076594,0.14040438970091376,Transport,1
loop_seattle/D/short,TinyCast,29.48336592950811,29.483367082184436,4.06143762925092,1.199025039868682,0.07337568994646101,0.07414207935825344,47.96100158863955,5.429858739369571,0.09703882797533836,0.07258331502804521,0.07258331546952115,Transport,1
loop_seattle/H/short,TinyCast,141.4277456531273,141.42773666908116,6.9658137319348405,1.3793013302344868,0.258732821278217,0.14671885754230599,55.172053205460756,11.892339788835807,0.2105065075448504,0.123301986569046,0.12330198746525628,Transport,1
loop_seattle/H/medium,TinyCast,141.0381661335381,141.03816284557615,7.885851590970475,1.5874108811270333,0.26277558245033916,0.16358488135047494,63.49643524113511,11.875949062434469,0.2099060720330316,0.1393815452890403,0.13938154591886043,Transport,1
loop_seattle/H/long,TinyCast,151.95013472665656,151.95013501220114,7.987731879004343,1.6405782797200859,0.28324726571895675,0.16731356357355318,65.62313119172036,12.326805536174266,0.22029648326165693,0.14275144010487997,0.14275144281522278,Transport,1
m_dense/D/short,TinyCast,19834.03185185185,19834.028148148147,84.4502662037037,1.1657064959548697,0.21039584126624467,0.1713745004159433,46.62825985890578,140.8333477975009,0.24380334724858446,0.14619589677085224,0.14619589884371323,Transport,1
m_dense/H/short,TinyCast,266811.03222222225,266810.99944444443,306.89491970486114,2.4135856930128305,1.5047163266731967,0.627867603302002,96.54342771892026,516.5375419291634,0.9162089746455518,0.5443551666284888,0.5443551660774916,Transport,1
m_dense/H/medium,TinyCast,300309.21777777775,300309.1911111111,323.9711111111111,2.5321183844427,1.5409786747221448,0.6536024305555556,101.2847353755789,548.0047607254683,0.9534590794173202,0.5636688209585671,0.5636688024367031,Transport,1
m_dense/H/long,TinyCast,304885.7125925926,304885.72839506174,325.4658179012346,2.538416236002709,1.544506687029784,0.6506376290027006,101.5366494198865,552.1645702076444,0.9558785468684351,0.5634294734879238,0.5634294922099664,Transport,1
sz_taxi/15T/short,TinyCast,18.828966804476448,18.828966410896573,2.9750468530061043,0.5977874336247616,1383483728104.5413,0.4247403566945021,23.911497349346874,4.3392357396754155,0.4057371185331324,0.2781796173466374,0.2781796145016983,Transport,1
sz_taxi/15T/medium,TinyCast,19.69111077724359,19.691112446581197,3.1767196264022437,0.6225976739985876,10504597113978.01,0.44623860416249334,24.903906959887816,4.437466707170161,0.4129803130130406,0.29564676249771815,0.2956467617982426,Transport,1
sz_taxi/15T/long,TinyCast,19.43740484775641,19.437405125979346,3.185472554698629,0.6011063008828499,8093083735578.514,0.44923979060941954,24.044252035758294,4.4087872309464435,0.4080694506137571,0.29484163495502136,0.2948416304252405,Transport,1
sz_taxi/H/short,TinyCast,9.072275536692041,9.072273710854033,2.1246107704619055,0.6575569278551084,1.2658308713864057,0.3228703604804145,26.302277104959177,3.012021835361099,0.2805884208126323,0.19792060400317354,0.19792060323402658,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1986107.8079415457,1986107.7467238326,180.8734322656799,1.0029479998767783,2.6287096759830413,0.655161011539541,40.11791998224818,1409.2933718504269,4.4248326400512665,0.5678978435529211,0.5678978398868914,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,4090887.1209730976,4090887.173525165,315.8270409256252,1.6265787994581866,5.857724174361208,0.7484274827794362,65.06315192337779,2022.5941562688986,6.145199556846908,0.9595697613982404,0.9595697609383956,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3808182.6080141626,3808182.5890396996,336.71120916826123,1.676162846249309,4.417943526964783,0.7771416363823307,67.0465137980102,1951.4565350051132,5.157116972147428,0.8898271933632242,0.889827194801991,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3461109.1042025466,3461109.0965885236,366.0215318521922,1.1838935695926192,4.750315966791302,0.5818634824062303,47.35574285458667,1860.405628942932,5.302760306110951,1.0432802503347338,1.0432802442416689,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1720041.7409097478,1720041.5959452891,132.8633860511598,2.0220116249289974,1.7041207414912158,0.6373388619389192,80.88046530208995,1311.5036183365062,5.366294209335767,0.5436386215261997,0.5436386264995545,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2179712.280214666,2179712.2650011405,162.9722229885207,5.5503837598793995,1.0051730984891523,0.7501320322920956,222.01535111987792,1476.384868594455,6.211903733825851,0.685707217695941,0.6857072099123239,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,4596700.266950508,4596700.21447934,292.8205431527692,4.949673424502498,5.961863732613588,0.7424263211644347,197.98693778974007,2143.9916667166663,8.213149066074704,1.1217295327484487,1.1217295236851454,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,1719492.378523337,1719492.4091193834,187.97285040038398,6.208971863457425,2.7496564642855907,0.6192651024828535,248.3588736514974,1311.2941617056551,5.738864943039437,0.8226611792450779,0.8226611743360682,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,3861022.151111111,3861038.3644444444,769.1527777777778,2.8646931336814268,0.03950527191162109,0.04006628248426649,114.58772519319004,1964.948383828723,0.07578020504111868,0.029663148247372283,0.029663149362115226,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,20368194.56,20368197.973333333,1976.8547916666666,6.924816374331106,0.09275944391886393,0.09516236623128255,276.99265551655753,4513.113621436978,0.17721668902678084,0.0776252694374549,0.07762527149684435,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,20796975.786666665,20796953.03111111,2446.1175,7.635176314186273,0.1018452877468533,0.10578874376085069,305.40705191747355,4560.370137024698,0.17587524786465306,0.09433697456392134,0.09433697184273566,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,22.64520016624814,22.64519769577753,2.935506421043759,0.3022235234282117,0.16089012526167099,0.21829355103628975,12.088940937128468,4.758697318200449,0.16343292113463673,0.10081716850654625,0.10081717133831906,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,129.89271690257777,129.89271690257777,7.6695970246953875,0.7522841094031238,0.5147982995625096,0.8266088054349151,30.09136437612495,11.397048604905473,0.5996523574760471,0.40353358980765797,0.40353358980765797,Web/CloudOps,7
bizitobs_l2c/5T/long,TinyCast,241.2218496459611,241.2218496459611,10.717038611599282,1.0028325236923976,0.809660723640827,1.053835881325506,40.1133009476959,15.531318348612944,0.872060305911975,0.601745696039794,0.601745696039794,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast,174.51494295634922,174.5149119543651,9.239458356584821,0.9087913044768958,1.0209144208071044,0.8897435021778893,36.35165215289086,13.210410400753991,0.7120749530463937,0.49803046808172863,0.4980304829270833,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast,322.5870907738095,322.5870907738095,12.765235537574405,1.2142115739529653,1.0181646638793702,1.1828990391322545,48.568463072960185,17.960709640039546,1.08754824945573,0.772954401079475,0.772954417652571,Web/CloudOps,7
bizitobs_l2c/H/long,TinyCast,240.10848214285716,240.10848214285716,11.735818917410715,1.178210925331247,1.5461947579465678,0.9548428974454365,47.12843692715037,15.495434235375825,0.946505845674025,0.7168576911346967,0.7168576663626475,Web/CloudOps,7
bizitobs_service/10S/short,TinyCast,19301.071153687168,19301.057201967593,40.55804253472222,1.7743972776326231,0.155818439463459,0.0978891838921441,70.97589116709938,138.92829500748638,0.10292252529867248,0.030046695373463276,0.03004669448404495,Web/CloudOps,2
bizitobs_service/10S/medium,TinyCast,107692.43428571429,107692.36825396825,95.4203621031746,3.6954014241614916,0.2629490516299293,0.16331909664093502,147.8160570776945,328.1652545375794,0.24698489643876165,0.07181561096530689,0.07181560919882356,Web/CloudOps,2
bizitobs_service/10S/long,TinyCast,205453.20634920636,205453.16571428571,132.08300264550263,3.931752445345788,0.28381435495205026,0.1818403423652447,157.2700978958305,453.2694632877957,0.335796509064112,0.09785131094724657,0.09785131812035458,Web/CloudOps,2
car_parts/M/short,TinyCast,1.3357787090452033,1.3357787090452033,0.537233237997222,0.9524566603905975,0.6688997692024854,1.8061271007396105,38.09826641355035,1.1557589320637776,2.771391360829581,1.2882301950956005,1.2882302057421695,Sales,1
covid_deaths/D/short,TinyCast,2634222.0804197993,2634212.6612468674,267.06704003661497,45.52190388516943,0.12535132850108854,0.17904878066294164,1820.8761562152708,1623.0286751686797,0.6106724088050454,0.10048526877360522,0.10048526594724333,Healthcare,1
electricity/15T/short,TinyCast,502468.5098987366,502468.42114988033,111.68434158462662,2.176831059886788,0.3157402762799046,0.2958909002638337,87.07324240883274,708.8501321850315,1.3972833549015495,0.22015185497433568,0.2201518559934084,Energy,1
electricity/15T/medium,TinyCast,2858723.8998593045,2858724.095112472,191.46403792317707,2.8115452362182887,0.34204028689978666,0.35001643642943425,112.46180944446475,1690.7761235182215,2.913377500041161,0.329911815286171,0.32991181380360096,Energy,1
electricity/15T/long,TinyCast,4437465.125381945,4437464.6544774305,214.0905557667042,2.829330643300655,0.3730638297941229,0.3419897969637264,113.17322572983143,2106.529165566417,3.3233080968406576,0.3377541071192788,0.33775410162033875,Energy,1
electricity/D/short,TinyCast,2823073653.450955,2823093376.3643966,5813.17161036036,1.78825817044336,0.8936854842224916,0.12679568563925253,71.53032682087303,53132.60442939867,0.8731451503430412,0.09552971577823784,0.09552971711218057,Energy,1
electricity/H/short,TinyCast,14295825.592988458,14295827.101720158,642.3174089861345,3.226251740591005,0.5272937946880208,0.3409874194359715,129.0500696142022,3780.9820937143377,1.7848935589761337,0.303219686764327,0.30321968635813806,Energy,1
electricity/H/medium,TinyCast,71454895.04059684,71454895.5729955,911.5604376055743,3.5432463374784904,0.5913582979091095,0.35826597834021096,141.72985349759426,8453.099729720267,3.2995233177546077,0.35581207078953025,0.3558120774297064,Energy,1
electricity/H/long,TinyCast,68753207.31834234,68753214.18392792,894.8638415915916,3.5571409108938785,0.6496630137274698,0.3637271709034365,142.28563643529392,8291.75538220601,3.270265879941824,0.35293403549153796,0.35293403322709005,Energy,1
electricity/W/short,TinyCast,611247132796.0792,611246703808.346,69056.33600788288,2.341228282787402,0.28996258877069564,0.13814270002347928,93.64913131586154,781822.9548920135,1.7838619797265551,0.15756377002348176,0.15756376418733006,Energy,1
ett1/15T/short,TinyCast,9.52746608824957,9.5274658929734,1.683318265279134,1.086653968455126,0.5706089262879981,0.3713312035515195,43.46615872887469,3.0866593735379304,0.5835071042786857,0.31821722052427753,0.31821720180168883,Energy,7
ett1/15T/medium,TinyCast,20.059127836681547,20.05913054935516,2.356981956845238,1.4600398976049445,0.8532377942404421,0.5395933605375745,58.40159590101046,4.478741769367994,0.8536525591220466,0.44924306487742677,0.44924305026658146,Energy,7
ett1/15T/long,TinyCast,21.11732681516617,21.117326001364088,2.5356153118799605,1.5424596674718842,0.8027853094258055,0.5772425709073505,61.6983867012646,4.595359269433258,0.8758800203815847,0.48329078551527027,0.4832907880568898,Energy,7
ett1/D/short,TinyCast,49467.73968253968,49467.73333333333,144.74565972222223,1.738111813232748,1.6552722749255953,0.4639854794456845,69.52447248011269,222.4134431246,0.5841762858960428,0.38017927652300165,0.3801792758073282,Energy,7
ett1/H/short,TinyCast,378.40423990885415,378.4041788736979,9.593059757777622,1.5099417213838051,1.0286799703325544,0.397516359601702,60.39766885566086,19.452615245998523,0.9079331497925655,0.44774735180242636,0.4477473606186936,Energy,7
ett1/H/medium,TinyCast,538.5522693452381,538.5523065476191,13.037970842633928,2.312348905385517,7786123424870.179,0.5948594956170945,92.49395624177234,23.20672896694487,1.1115473061596752,0.6244878969612937,0.6244878907803044,Energy,7
ett1/H/long,TinyCast,506.40132275132277,506.40132275132277,12.420717592592593,2.228559109873653,9014863924008.553,0.5725796492642196,89.142364408186,22.503362476557204,1.0776372901029867,0.5948012641026327,0.5948012984418966,Energy,7
ett1/W/short,TinyCast,1196357.0,1196357.857142857,841.1786411830357,1.4059036661118742,0.8408565521240234,0.45486061913626535,56.23614661718107,1093.7810567019344,0.43524158855335277,0.33472505836734856,0.3347250747396216,Energy,7
ett2/15T/short,TinyCast,10.869057210286458,10.869056047712053,2.1925329299200147,0.9260838204218437,0.12996996728876387,0.1505079956281753,37.04335275762769,3.2968253229867153,0.1565120307119007,0.10408734089485086,0.10408734267685325,Energy,7
ett2/15T/medium,TinyCast,14.692669890873017,14.692673611111111,2.4716173735119047,1.0374319640823975,0.1634965123695686,0.1831349593874008,41.49727858192931,3.833101862835505,0.2042729366880575,0.1317169637863514,0.13171696915075254,Energy,7
ett2/15T/long,TinyCast,14.136427021329364,14.136426091269842,2.4609095594618053,1.0486380423373358,0.1695164467696976,0.18586344037737165,41.94552169807757,3.7598440155582735,0.20036888677953696,0.1311463206595998,0.13114631877466038,Energy,7
ett2/D/short,TinyCast,125206.26031746031,125206.13333333333,213.68851686507938,1.4068618542679594,0.44916512625558036,0.14092794751364088,56.274474235591775,353.8449665001048,0.20251481021254297,0.12229957618322802,0.1222995732029159,Energy,7
ett2/H/short,TinyCast,167.41242094494046,167.41257905505952,8.466577875046504,1.0074538312719332,0.16451631535501518,0.14566205115545364,40.298153226815835,12.938795189079254,0.16409991668576587,0.10737976014036815,0.10737975864106196,Energy,7
ett2/H/medium,TinyCast,413.98511904761904,413.9852306547619,12.455850074404761,1.3529694396542262,0.2106915988777417,0.21084576561337426,54.11877756937322,20.34662426663497,0.2741838464173479,0.16785058981004758,0.16785059381295436,Energy,7
ett2/H/long,TinyCast,423.7373015873016,423.7375330687831,12.848535672949735,1.3929269388776115,0.2136716041496107,0.22029171898251487,55.71707755645926,20.584880412266223,0.28189409395194387,0.1759508070776619,0.17595080347109152,Energy,7
ett2/W/short,TinyCast,7399211.428571428,7399197.714285715,1794.7548828125,1.0656650986360738,0.16616673128945486,0.17473442213875906,42.62660399169544,2720.1491555742728,0.22817881172446924,0.15055241939862932,0.1505524220500133,Energy,7
hierarchical_sales/D/short,TinyCast,28.990244104291545,28.990244104291545,2.3692485252654762,0.7753535562476335,0.6551505434346703,1.0053118096643758,31.014142247115373,5.384258918764173,1.651831009206272,0.7268592097068051,0.726859204675308,Sales,1
hierarchical_sales/W/short,TinyCast,467.8379485566737,467.8378782110699,9.510420395156084,0.7974470153357094,0.6243744435957472,0.4844536417621677,31.89788061342838,21.629561913193566,0.9930237672403723,0.436628052234238,0.43662805000795046,Sales,1
hospital/M/short,TinyCast,4592.496944263364,4592.487899282921,21.3388659142764,0.8141827664099456,0.20495365661727197,0.18107046535977692,32.56731065639783,67.76796399673937,0.24601344598964225,0.07746503845584973,0.07746503982803488,Healthcare,1
jena_weather/10T/short,TinyCast,1195.4818561251202,1195.4817111121283,7.8665364825536335,0.3497628620190549,0.4642256983918192,0.5890005414448087,13.990514476647954,34.5757408615509,0.2147586851366466,0.04886105082570603,0.04886105113634124,Nature,21
jena_weather/10T/medium,TinyCast,2186.696250450938,2186.696197465729,13.82596359803391,0.7146615490500685,1.2159947665522353,0.7042867553182495,28.58646195431128,46.76212410114555,0.286978360165823,0.08484970341582353,0.08484970213194931,Nature,21
jena_weather/10T/long,TinyCast,2321.947232556217,2321.9471726190477,13.687881711929563,0.721134145517121,1.0079135006898892,0.691680246181589,28.845365809676235,48.18658768325702,0.29486199638790145,0.08375849633576282,0.08375849589281742,Nature,21
jena_weather/D/short,TinyCast,478.76354166666664,478.7630456349206,11.528343563988095,1.41539927011595,0.9105036650010575,0.4981446765718006,56.615970775314,21.880665932888483,0.1317573712062174,0.06941947045908167,0.06941946648758063,Nature,21
jena_weather/H/short,TinyCast,2404.5613253919305,2404.561294185986,12.726420135625522,0.6658044624799297,1.928467490665789,0.6798634236816974,26.632178499443253,49.03632658949822,0.3005895620215126,0.07801214570360376,0.07801214437464317,Nature,21
jena_weather/H/medium,TinyCast,2457.129365079365,2457.129365079365,13.755150979662698,0.9444338018383376,2.794402668976031,0.7412616063678076,37.77735210911023,49.56943983019543,0.303324193614517,0.0841702083631489,0.08417020511994155,Nature,21
jena_weather/H/long,TinyCast,3457.233333333333,3457.2330687830686,18.640988756613755,1.5497080004014818,4.855170981063658,0.757805912078373,61.988319919446056,58.79824260412324,0.3540305645592464,0.11223940514480177,0.11223940959211214,Nature,21
kdd_cup_2018/D/short,TinyCast,2741.1394946056917,2741.139528372066,20.38428309052713,1.1718053578271512,0.5254558464561151,0.45092385854720435,46.87221430338298,52.355892644531345,1.172827606871684,0.4566295931037863,0.45662959298952255,Nature,1
kdd_cup_2018/H/short,TinyCast,4728.203132061976,4728.202824763156,26.86254368912302,1.113587042018623,1.2293360848049024,0.5621346456297859,44.54348168422072,68.76193083430668,1.4393117426637791,0.5622816884351295,0.5622816876103668,Nature,1
kdd_cup_2018/H/medium,TinyCast,5516.366730219884,5516.366585415085,28.950371583374654,1.1854613015547553,1.2334198196401691,0.6088575945248976,47.41845206549885,74.27224737558359,1.5546526553398208,0.605983710544941,0.6059837073040336,Nature,1
kdd_cup_2018/H/long,TinyCast,4291.865567198458,4291.865516665593,25.432568239508207,1.0845641845483855,0.9707254867332401,0.6435082369714922,43.382567387618266,65.51233141324202,1.53718403657465,0.596750826348477,0.596750842225707,Nature,1
m4_daily/D/short,TinyCast,428136.83482037246,428136.63562050083,199.40962418037267,3.7780667623027657,0.043070871378797,0.03517932805769578,151.1226705061875,654.321660057477,0.10107461304294424,0.030803275867865392,0.030803276166152447,Econ/Fin,1
m4_hourly/H/short,TinyCast,48351083.78040081,48350951.86675013,1164.0942171499157,11.120932876066771,0.6774263458743379,0.3429472457959456,444.8373143993279,6953.4943575443285,0.9493055883991839,0.1589245764706214,0.15892457849251718,Econ/Fin,1
m4_monthly/M/short,TinyCast,2107959.7398171294,2107959.7504421296,626.3453928765191,1.1395302552972437,0.17621561698781119,0.14585010967652004,45.58121020924819,1451.8814482653636,0.3017508067806379,0.13017607453393212,0.13017607442020945,Econ/Fin,1
m4_quarterly/Q/short,TinyCast,2157855.566973958,2157855.604299479,660.7214302775066,1.4587042119314646,0.136465700785319,0.12032987212141355,58.34816847731073,1468.9641135759437,0.24587872475398875,0.11059313239367705,0.11059313262193884,Econ/Fin,1
m4_weekly/W/short,TinyCast,488141.63102635526,488141.7724448254,362.6213473591172,2.8412655044005293,0.08904741375916822,0.09444244030024118,113.65062020430516,698.6713326209651,0.12728707869812297,0.06606398434263495,0.06606398367997049,Econ/Fin,1
m4_yearly/A/short,TinyCast,4759849.812976988,4759850.00893764,1084.4785124511222,4.105487233772867,0.19162532561702822,0.18342258647862136,164.21948934267996,2181.708003601075,0.349846989512582,0.1739011554918794,0.1739011561394312,Econ/Fin,1
restaurant/D/short,TinyCast,191.17790566335108,191.17790566335108,8.707164139844261,0.8137856995444052,0.8215840258517719,0.45301590970531835,32.55142798177621,13.8267098640042,0.6363372241063451,0.4007238680122438,0.40072386578227054,Sales,1
saugeen/D/short,TinyCast,1300.1534375,1300.1533333333334,15.8370556640625,3.5184669867273928,0.4691924540201823,0.44022613525390625,140.73867944524991,36.05764048714225,1.1679155666673344,0.5129660063816782,0.512965997011791,Nature,1
saugeen/M/short,TinyCast,991.7861793154761,991.7862723214286,19.15205310639881,1.1214529303960235,0.6043685731433687,0.5526739756266276,44.85811696588426,31.492636906354413,0.9455034369546079,0.5750020898752829,0.5750020813538055,Nature,1
saugeen/W/short,TinyCast,1631.758984375,1631.7587890625,19.851663208007814,1.6096399135781958,0.5431031703948974,0.5295384407043457,64.38559661116521,40.395036630445084,1.2193577701860605,0.5992389610944722,0.5992389727893747,Nature,1
solar/10T/short,TinyCast,33.72428566591583,33.72428504219891,2.6498551862953352,1.1704835445815527,3.011307984031286,1.621045719353767,46.81934179222022,5.807261460095957,1.6893316951896258,0.7708425709142003,0.7708425677553756,Energy,1
solar/10T/medium,TinyCast,55.0284819280856,55.02848210089029,4.279960088596964,1.876913017669467,1.9571659565540265,1.6405740685179233,75.07652071047241,7.418118489757736,1.6461099448361634,0.9497401362715922,0.94974014517004,Energy,1
solar/10T/long,TinyCast,71.90348346892742,71.90348188488443,4.699577704040577,2.051991932401188,1.5069908820530888,1.7375251083188394,82.07967729325327,8.479592175861255,1.8327282196412258,1.0157385520391582,1.0157385443373406,Energy,1
