dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,56.954706125485764,56.95470665458309,4.300353985009917,0.6775978241938737,0.11417676447837838,0.09015456879717154,27.1039129691655,7.54683417901081,0.12941154401672042,0.0737415763773326,0.07374157616371198,Transport,1
loop_seattle/5T/medium,TinyCast,126.12262932146542,126.12262816249033,7.116532255788829,1.1265960169202094,0.23413328153061055,0.1560105183053189,45.063840675476584,11.230433176038465,0.19981248306995983,0.1266177322447885,0.12661773237614443,Transport,1
loop_seattle/5T/long,TinyCast,135.47758311475175,135.4775857663972,7.278444008177101,1.1503466903942963,0.2419912085999536,0.15815510976725988,46.01386761508168,11.639483799325113,0.20578846675554635,0.12868438657869916,0.12868438713692654,Transport,1
loop_seattle/D/short,TinyCast,19.331948455716066,19.331944200891705,2.976658013878223,0.9000616262347823,0.05482096787699728,0.054927294222317,36.00246504965178,4.396811168985549,0.07857688811933479,0.053196854433026755,0.05319685439081392,Transport,1
loop_seattle/H/short,TinyCast,77.48203042916981,77.48203027667309,5.048744188813965,1.022205845122453,0.14530245465643343,0.11438927690078017,40.888233798425844,8.80238776862107,0.15581121462468106,0.08936790619389358,0.0893679058876497,Transport,1
loop_seattle/H/medium,TinyCast,107.79969491240163,107.7996961091694,6.33518560072955,1.2893428259695896,0.15827435541694254,0.14097423932377645,51.57371303725706,10.382663189779471,0.18351241117245076,0.1119736972648117,0.1119736986933906,Transport,1
loop_seattle/H/long,TinyCast,99.04132693579076,99.0413252561167,6.159246914354763,1.2772231711505786,0.18452611824143247,0.13688676422061402,51.08892684403046,9.951950911042054,0.17785465835908953,0.1100739709725055,0.11007396889108637,Transport,1
m_dense/D/short,TinyCast,10880.081481481482,10880.087777777779,58.65309606481482,0.8274426347328909,0.14611396761272819,0.11837192676685475,33.09770538357836,104.3076290665332,0.1805719277975994,0.10153718114871357,0.10153718755929611,Transport,1
m_dense/H/short,TinyCast,75011.48041666667,75011.48555555556,133.8086962890625,1.137079345946683,0.4362667949036253,0.30889353858100044,45.48317383429608,273.882238227795,0.48579889028613765,0.23734330706687068,0.23734330932389755,Transport,1
m_dense/H/medium,TinyCast,104375.05777777778,104375.05333333333,153.42485677083334,1.2838241096693976,0.5506479091722702,0.3449162122938368,51.35296438802408,323.0712890025633,0.5621032441228484,0.26693987567333644,0.2669398674139888,Transport,1
m_dense/H/long,TinyCast,128128.27654320988,128128.28049382716,169.2767052469136,1.412649951151102,0.6066281741985046,0.36322044089988426,56.50599804979827,357.9501034267344,0.619664576787828,0.29304301608711947,0.2930430148173265,Transport,1
sz_taxi/15T/short,TinyCast,18.31593330672081,18.315933944832565,2.933938387986068,0.5878633899728346,1446034925152.6477,0.42808029998062,23.514535600577158,4.279711825195806,0.400171377699108,0.274335799876191,0.2743358046726214,Transport,1
sz_taxi/15T/medium,TinyCast,20.003594918536326,20.003597005208334,3.161216488047543,0.6219818829671787,12114876886767.873,0.45839890700120195,24.87927531450046,4.472537861051187,0.41624426901841444,0.2942039368152035,0.29420392144709173,Transport,1
sz_taxi/15T/long,TinyCast,21.718276186342592,21.71827479522792,3.3483020749866452,0.6368932560656506,7262761553876.104,0.4804523609302662,25.475730239822393,4.660287135611131,0.43134783139057215,0.3099128437494109,0.30991284264573216,Transport,1
sz_taxi/H/short,TinyCast,8.453485863840479,8.453485863840479,2.0477813329452124,0.6321670392172309,1.2171500768416967,0.31828000402858114,25.28668156360513,2.90748789573413,0.2708504392691692,0.1907634677926562,0.19076345821530252,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2130972.0793495476,2130972.1474412894,186.59894305810184,0.911198246732695,2.732743709000667,0.6465360040458915,36.44792989412253,1459.7849428424543,4.583363685350684,0.585874531403237,0.5858745304851275,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3653298.3103704387,3653298.394912146,298.2267754735453,1.2286377162699185,5.405180913128774,0.7512217272422205,49.14550862460438,1911.3603298097507,5.807240476452796,0.9060952948962565,0.9060952850278388,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3955750.2963817976,3955750.2453557225,347.0235080002711,1.136662827665175,4.874191738024085,0.7696945637135312,45.466513074253605,1988.9068093758938,5.2560868657139395,0.9170795202147034,0.9170795334491159,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,4999291.957138053,4999291.866946851,425.15299826417896,1.1585378646351838,4.718797253460911,0.5909482720505557,46.3415145694901,2235.9096486973826,6.3730687268989445,1.2118241356323605,1.211824136334563,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1753044.4334611255,1753044.4399329321,133.6355561285554,1.9012351779238865,1.7169916859756547,0.6377464277734765,76.0494072167464,1324.0258431998695,5.417531538636848,0.5467981185775355,0.5467981125974659,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2257133.211410131,2257133.2290060874,151.93705449067022,4.681060087533273,0.538575490624566,0.7481555675999212,187.24240439506087,1502.3758555734748,6.321261065030756,0.6392766386149895,0.6392766218700793,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,4606542.053637609,4606542.070995021,282.8880067588473,3.6779262743209524,5.41437180661723,0.765005328547866,147.11705144424496,2146.2856412038004,8.221936765536922,1.0836802234745837,1.0836802311277052,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,2268733.0406877194,2268732.985244581,208.04739473083634,6.00933901563044,3.3777878426592336,0.6041458161460888,240.37355984980707,1506.2314034329916,6.5920057068072335,0.9105172088606389,0.910517215490562,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,1198237.1555555556,1198237.8666666667,546.8180902777777,1.911717659078376,0.02648007286919488,0.02644603729248047,76.4687063210451,1094.6401945642028,0.04221589690243789,0.021088588047641525,0.021088587446012167,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,14408736.426666666,14408731.306666667,1612.4054166666667,5.501522047122096,0.07390078226725261,0.0750100326538086,220.06088204645363,3795.884142945707,0.14905319833891345,0.06331441511980641,0.06331441231176936,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,14243415.608888889,14243408.782222223,1988.1706944444445,6.413771256158361,0.08555364820692274,0.08806410895453559,256.5508501997889,3774.0449929603237,0.14554983008951647,0.07667579673933873,0.0766757916210348,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,24.45176042829241,24.45176231747582,3.071519125075567,0.3156473228003025,0.1634333459115626,0.22551904632931663,12.625892912012096,4.94487213467572,0.16982691765588737,0.10548839511436617,0.10548839644008423,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,151.3674107142857,151.3674107142857,8.309177030187074,0.8174620131451107,0.6011065345990698,0.9316806507759354,32.69848052236886,12.303146374577754,0.6473264249055664,0.4371849035278222,0.4371849178812615,Web/CloudOps,7
bizitobs_l2c/5T/long,TinyCast,325.8808134920635,325.88079365079363,12.392047371031746,1.1679915885118057,0.9603738623068988,1.2504864986359128,46.71966354915796,18.052169218464122,1.0136023135752985,0.6957949337393331,0.6957949546095591,Web/CloudOps,7
