dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,52.72384442623678,52.72384503091944,4.152166538612516,0.6543366051267859,0.11186959797629877,0.08725850067886652,26.1734642088026,7.261118675950475,0.12451215395149462,0.07120048884482552,0.07120048875837917,Transport,1
loop_seattle/5T/medium,TinyCast,115.1274836937242,115.1274835123194,6.807320751902735,1.0744587879100935,0.2268615821074652,0.15041778737669512,42.97835151669421,10.729747606245182,0.1909042579490314,0.12111622420704857,0.12111622502787152,Transport,1
loop_seattle/5T/long,TinyCast,124.29111057361541,124.29110722322555,6.922561977733345,1.0899745216440682,0.23408332477399427,0.15196354499802023,43.598980865137946,11.148592313544137,0.1971094043551952,0.12239231910787904,0.12239231930222233,Transport,1
loop_seattle/D/short,TinyCast,19.51293097182078,19.512933903901814,3.0304185298451207,0.9132504815836358,0.05595540585778692,0.05583986412999062,36.5300192608442,4.417344334758247,0.07894384321648291,0.05415762665771688,0.05415762692154712,Transport,1
loop_seattle/H/short,TinyCast,76.58615232810251,76.58615468848659,5.1304861492131915,1.0369679067226107,0.15146291004077517,0.11631268581104243,41.47871627354575,8.751351457238048,0.15490782001453907,0.09081482201609908,0.09081482235012207,Transport,1
loop_seattle/H/medium,TinyCast,101.30192840859617,101.3019252592073,6.2842530052728325,1.2770394595172754,0.16104848653047324,0.1395305692595963,51.081578386779555,10.064885911355189,0.17789573330151062,0.11107346933401124,0.1110734691008457,Transport,1
loop_seattle/H/long,TinyCast,101.11463449620528,101.11463557119669,6.312774950046493,1.304428454683761,0.18789927945499532,0.14183817444530022,52.1771381870767,10.055577283090479,0.17970660007005748,0.11281772208026047,0.11281772209408408,Transport,1
m_dense/D/short,TinyCast,11912.944814814815,11912.938518518518,61.5579224537037,0.8573822327315358,0.149453199201376,0.12329510724103009,34.2952892768791,109.14643748109607,0.18894862058105377,0.106565865106475,0.10656587022564679,Transport,1
m_dense/H/short,TinyCast,72477.92680555556,72477.92694444445,136.6493674045139,1.1568659815923932,0.417943252362381,0.3320431264241536,46.27463925978012,269.21724834333247,0.4775243598757973,0.24238195026068884,0.2423819521323231,Transport,1
m_dense/H/medium,TinyCast,81329.94222222222,81329.94222222222,147.12014322916667,1.2164551429289436,0.4677595556276566,0.3621300082736545,48.658205722204706,285.18404973318934,0.4961842323470768,0.255970470295417,0.25597047961559016,Transport,1
m_dense/H/long,TinyCast,85582.45925925925,85582.45925925925,152.3483101851852,1.2602662969934908,0.4975689794962692,0.37562114197530866,50.41065187466477,292.54479872193804,0.5064383196319276,0.26373746019762334,0.2637374441123385,Transport,1
sz_taxi/15T/short,TinyCast,18.08346205957061,18.08346201299311,2.9362026221586235,0.5882441112952906,1401881225761.1453,0.42548148375873307,23.529764453719,4.2524654095677965,0.39762372119218325,0.2745475154648273,0.2745475209335431,Transport,1
sz_taxi/15T/medium,TinyCast,19.74900424011752,19.74900424011752,3.220196533203125,0.6303282085890545,12286922160664.768,0.45383242093599757,25.213128343407234,4.443985175506048,0.41358696524760735,0.2996930140561703,0.29969300665937626,Transport,1
sz_taxi/15T/long,TinyCast,21.845456619480057,21.845455784811254,3.4669111898482017,0.6541961786010982,7694490886401.681,0.48020182987224,26.1678471479809,4.6739123461485725,0.43260895647719083,0.3208910910097009,0.3208910777208602,Transport,1
