dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,45.38381862266391,45.38381862266391,3.781800228154327,0.6003705411304003,0.10220736817555777,0.07980357660720715,4.845329931021895,6.736751340420983,0.11552041186293321,0.06484952432761487,0.051761942723223604,Transport,1
loop_seattle/5T/medium,TinyCast,91.55502869219234,91.55502869219234,5.776353398215783,0.918799610026845,0.190078447930461,0.1292075337664877,7.71976986242762,9.568439198332836,0.17024219505638338,0.1027731965005321,0.08330845898699366,Transport,1
loop_seattle/5T/long,TinyCast,104.6831669246646,104.6831669246646,6.132317968122922,0.9723357168385561,0.2036055042541105,0.13560127638851935,9.942125461887628,10.231479214886996,0.18089465620416253,0.10842064253662823,0.09000976962534485,Transport,1
loop_seattle/D/short,TinyCast,19.577314511073755,19.577314511073755,2.9861688178882266,0.9017649033425061,0.05527676272564505,0.05514263919755524,7.073952114973812,4.424625917642502,0.0790739748281527,0.05336682520363672,0.04351419704677164,Transport,1
loop_seattle/H/short,TinyCast,67.16080070447121,67.16080070447121,4.506309974640988,0.9153138493318216,0.1205065640055902,0.10301354401374872,7.142898845991686,8.195169351787138,0.14506283116824625,0.07976626900340704,0.063761416198956,Transport,1
loop_seattle/H/medium,TinyCast,80.94589828632934,80.94589828632934,5.104092561546617,1.0498031842664963,0.1303831990166222,0.11573098500569662,8.019888179640633,8.996993847187477,0.1590208604499812,0.09021426542458083,0.07277165525782192,Transport,1
loop_seattle/H/long,TinyCast,71.58677159254601,71.58677159254601,4.790594215773617,1.0029191217576123,0.13842707529976722,0.10923735418801953,9.235909573251133,8.46089661871282,0.15120752614073915,0.08561431876016282,0.06988080086398506,Transport,1
m_dense/D/short,TinyCast,12011.895555555555,12011.895555555555,57.70679398148148,0.7929497510068978,0.1404012647534053,0.11470081470630787,7.46346326137467,109.59879358622318,0.189731715879881,0.09989899233169626,0.08007546962822966,Transport,1
m_dense/H/short,TinyCast,57475.969722222224,57475.969722222224,112.8647488064236,0.967295256351163,0.34718197946992013,0.26831733915540906,7.770621843145034,239.74146433652695,0.4252416589110481,0.20019395955491306,0.16091499437223974,Transport,1
m_dense/H/medium,TinyCast,49135.65777777778,49135.65777777778,108.37629340277778,0.9125644749394565,0.3428878268500453,0.26357264200846353,7.666191929153557,221.66564410791713,0.38567022791880584,0.1885610643266654,0.15103061793988837,Transport,1
m_dense/H/long,TinyCast,54201.125925925924,54201.125925925924,115.38668981481482,0.9694003652348032,0.3702989305009443,0.2783802776572145,8.80490521917315,232.81135265687954,0.4030308887592076,0.19975142799666915,0.16155598596676582,Transport,1
sz_taxi/15T/short,TinyCast,17.1801145830725,17.1801145830725,2.81583495367141,0.5628475741787394,1181112564922.0276,0.40952193664252684,4.058497956299615,4.14489017744409,0.3875649764440423,0.26329262315049395,0.2075653639150131,Transport,1
sz_taxi/15T/medium,TinyCast,17.179806648971688,17.179806648971688,2.872043029263488,0.5602627181889077,8705491295094.487,0.41906612428844486,4.531365988545762,4.144853031046058,0.3857477284029146,0.2672915218260981,0.21529516594579737,Transport,1
sz_taxi/15T/long,TinyCast,16.87833589298433,16.87833589298433,2.8748723652288106,0.542923000080349,6574582752609.545,0.4166327147741943,6.180148489870817,4.1083251931881355,0.38025922248169963,0.2660930376564693,0.22415734395687853,Transport,1
sz_taxi/H/short,TinyCast,8.220188629932892,8.220188629932892,2.008823720817892,0.6182695903663202,1.3115772671169705,0.31301118573571884,4.405391137546632,2.867087133299735,0.26708685893983397,0.1871343258199436,0.14779809714725442,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1989312.0283092642,1989312.0283092642,186.9070522048584,0.9554083309931596,2.853492214505666,0.6422816459562412,17.674114141176577,1410.4297317871828,4.428400529207236,0.586841917922253,0.46069487380459884,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3497938.1559779607,3497938.1559779607,308.81389681002275,1.110179903397737,5.801451278898505,0.7036908350526149,24.276129821379218,1870.2775612132978,5.68241968104484,0.9382618929967981,0.7000521462766853,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,5028244.868718931,5028244.868718931,418.8102228246929,1.047717105912055,5.759612431841173,0.7172439428692494,22.66970328410132,2242.3748278820226,5.925927160225603,1.106790374007695,0.8944620374901587,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3223562.5153030185,3223562.5153030185,343.3887047634568,1.098964430607395,4.114623203304902,0.5720284701646037,19.95995622604412,1795.4282261630563,5.1175536033925315,0.9787693419424542,0.7305900307251655,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1682481.2596778513,1682481.2596778513,132.7054954077212,1.8450820211427195,1.6348841787810933,0.6221832964662874,58.31159759730539,1297.104953223852,5.307379028213959,0.5429925785921608,0.4509766170945404,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2185991.6127332044,2185991.6127332044,150.09348598777768,4.572719939961355,0.5790288801076874,0.6825953981284382,164.30718597335485,1478.5099298730477,6.2208449498813,0.6315198061587043,0.5813544267014973,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,3111082.9622057118,3111082.9622057118,219.49772706186926,3.5318144524325383,3.029066651665467,0.6577453698957809,122.10643378258216,1763.8262278936982,6.75682091550668,0.8408463428332682,0.741582394692687,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,2140259.6534590535,2140259.6534590535,195.32460784424316,5.967365349880723,3.131889910780802,0.5817238473065754,196.96947242264724,1462.9626288661832,6.402640375410699,0.8548360674558312,0.7028202941116789,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,1599027.2,1599027.2,577.4415625,1.6671043777665393,0.02425587124294705,0.024632763332790797,17.149559938144538,1264.5264726370895,0.048767731592848786,0.022269612965735906,0.017349561686081955,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,4373678.933333334,4373678.933333334,1203.5978125,3.0278315569143177,0.04331395785013835,0.043965972264607744,48.150093423218614,2091.334247157382,0.0821205407214058,0.047261743696852036,0.04146829384366398,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,6745416.817777778,6745416.817777778,1540.2744444444445,3.7028341676057748,0.05205690171983507,0.05321922302246094,81.48326895117194,2597.1940277495205,0.10016339236908078,0.05940222866931521,0.05437138816726027,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,19.513819085984004,19.513819085984004,2.6740856170654297,0.2769931267981364,0.13987588365909598,0.20757829461778912,2.6666884782809803,4.417444859416357,0.15171293088223042,0.09183892030485133,0.07460743463807787,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,73.20587171107951,73.20587171107951,5.257895125705085,0.5261547136089437,0.41808626580763764,0.6369646512656592,3.4588920474622156,8.55604299376058,0.450173683533001,0.27664260430843546,0.2169039125951696,Web/CloudOps,7
