dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,45.2895893108734,45.2895893108734,3.7227160458717306,0.5894046478715822,0.10249175530838155,0.07882883529052892,4.859795058775288,6.729754030488292,0.11540042344648284,0.06383636104950528,0.05105039235149042,Transport,1
loop_seattle/5T/medium,TinyCast,99.50620656362874,99.50620656362874,5.911313977945207,0.9368419578854554,0.2030804374860167,0.13141370716232756,10.148163346191987,9.975279773702026,0.1774807248890149,0.10517442253781752,0.08725859623007198,Transport,1
loop_seattle/5T/long,TinyCast,114.7003499634503,114.7003499634503,6.336319695275771,1.0018777546937965,0.2208231430657344,0.13887445443486582,13.546536867598224,10.709824926834719,0.18935190674361685,0.11202743501729669,0.09557064367184157,Transport,1
loop_seattle/D/short,TinyCast,19.295264298603385,19.295264298603385,2.9745232092952825,0.8984012691713764,0.05521560971335853,0.054912399076947976,7.247378052129254,4.392637510494508,0.07850229926762058,0.053158702623812476,0.04318798530933401,Transport,1
loop_seattle/H/short,TinyCast,71.81132712780403,71.81132712780403,4.743830609105332,0.9579009654005346,0.13614781788239674,0.10758511038905515,7.268641804418035,8.474156425733716,0.15000118607816765,0.08397062576740266,0.06674050567522888,Transport,1
loop_seattle/H/medium,TinyCast,83.31266718215863,83.31266718215863,5.308902994791667,1.087262356825476,0.1534658109686569,0.11854836175562304,9.405355537093845,9.12757728984853,0.16132890820072773,0.09383426693585702,0.07625692892246272,Transport,1
loop_seattle/H/long,TinyCast,84.11146726080098,84.11146726080098,5.278763721257418,1.0976217876778984,0.1722360543381278,0.11908276862691348,11.399084301384176,9.17123041149883,0.16390214000752354,0.09433856000645084,0.07761201730007719,Transport,1
m_dense/D/short,TinyCast,10557.204814814815,10557.204814814815,54.11262586805555,0.7699627289139235,0.13627070829194948,0.1115225671838831,7.510948192970462,102.74825942474556,0.17787242839485637,0.09367695592958412,0.07628279391909559,Transport,1
m_dense/H/short,TinyCast,62441.84326388889,62441.84326388889,123.13062228732639,1.0489203554791884,0.37027849591465795,0.2848464510175917,8.195582974274226,249.88365945753415,0.4432313875138676,0.2184030627706262,0.17572669927729512,Transport,1
m_dense/H/medium,TinyCast,62872.2,62872.2,126.3347048611111,1.0451507475174198,0.3696254527940126,0.2945539855957031,8.926127733521728,250.74329502501158,0.4362616684718561,0.2198064324037464,0.17758153442099073,Transport,1
m_dense/H/long,TinyCast,75682.89580246914,75682.89580246914,139.16854552469135,1.1287305169979336,0.4092771048929533,0.3192158112702546,10.85356153800123,275.105244956306,0.47624787241569755,0.2409213380277363,0.19739940972791215,Transport,1
sz_taxi/15T/short,TinyCast,17.209748963296633,17.209748963296633,2.8107158011132545,0.5624902164977438,1324612292795.1558,0.41060883367163503,4.117426339031973,4.148463446060075,0.38789909235729825,0.26281396047050026,0.206957902955304,Transport,1
sz_taxi/15T/medium,TinyCast,17.573976070045408,17.573976070045408,2.9103153587406516,0.5686427734423749,9097019779615.295,0.42409151517427884,7.245489539649056,4.192132639843998,0.39014788482751556,0.27085340062998364,0.23052275170372585,Transport,1
sz_taxi/15T/long,TinyCast,17.1559077857906,17.1559077857906,2.900720075732283,0.5483605169757303,7211665132497.1,0.4236170755152689,8.890468556992674,4.141969071080879,0.38337323956826724,0.268485455451263,0.23594906897396628,Transport,1
sz_taxi/H/short,TinyCast,7.926490457648905,7.926490457648905,1.9522437071188903,0.5966034759812597,1.1417484283447266,0.30969841459877473,4.254487157305985,2.8154023615904182,0.2622721035141848,0.1818635483949663,0.14350522344165195,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2037589.0906367525,2037589.0906367525,189.37191459087418,0.9443062193942929,2.9354026365382526,0.6418006794706007,16.354249383257574,1427.4414491098235,4.481813114248851,0.5945809762026143,0.4653610206066248,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3804671.0182524347,3804671.0182524347,316.3756820468918,1.13263763830276,5.936098605230001,0.7129812044839039,27.39918204972482,1950.5565919122764,5.926329544200737,0.9612366846239531,0.7578747388100676,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,4509240.043308038,4509240.043308038,389.7416205903268,1.0411139944351584,5.795892513206771,0.7343266889012076,24.531302307678008,2123.4971258063993,5.61176888716805,1.029970737366872,0.8676728237479264,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3543523.9148844564,3543523.9148844564,356.79111545345285,1.0583758581359821,4.439259274677903,0.5714585743776248,19.545025324034942,1882.4250090998198,5.365522691498624,1.016970565539853,0.7503526720104305,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1597114.0759839392,1597114.0759839392,128.55719990296535,1.8114979714864579,1.4620339937670324,0.6184295561713131,56.20854294174661,1263.7697875736465,5.170981153366428,0.5260189508914455,0.44140745552163163,Web/CloudOps,2
