dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,45.920772247786864,45.920772247786864,3.837013298168517,0.6086286123386336,0.10427035352886031,0.08096903376781042,4.8372542165204315,6.776486718631334,0.11620178587014161,0.06579630657709265,0.05260353574904715,Transport,1
loop_seattle/5T/medium,TinyCast,97.29521059081527,97.29521059081527,5.960127746770994,0.9463045740072598,0.19906373641070196,0.13385084606914696,9.589254866605387,9.863833463254299,0.17549786602057352,0.10604291979025601,0.08726285185713754,Transport,1
loop_seattle/5T/long,TinyCast,112.00021182705538,112.00021182705538,6.33233832577256,1.0028208278257305,0.21258900585859114,0.1408456412150135,12.42714066204692,10.5830152521413,0.18710988562181752,0.11195704358587423,0.09425846904287877,Transport,1
loop_seattle/D/short,TinyCast,18.85178753643213,18.85178753643213,2.959794878885842,0.8927661364188269,0.05446659258890693,0.054648928573380065,8.4577818074247,4.341864523039858,0.07759491816768835,0.052895487687740016,0.04341010077351629,Transport,1
loop_seattle/H/short,TinyCast,65.96204872373768,65.96204872373768,4.46610054512142,0.9049006341806392,0.12421137401731443,0.10281190656707881,6.797273766787592,8.121702329175681,0.14376239015964215,0.07905452121206986,0.06287399207174477,Transport,1
loop_seattle/H/medium,TinyCast,72.88852132161459,72.88852132161459,4.844992997648792,0.99893391382036,0.12566982826335266,0.10993832006543044,8.470310480634263,8.537477456580168,0.15089895961661706,0.08563470959815031,0.06977193159417182,Transport,1
loop_seattle/H/long,TinyCast,66.52805754428965,66.52805754428965,4.605912482094674,0.9649835345095352,0.1448519959005245,0.10578666433748364,10.12758374806548,8.156473352147339,0.14576707566469352,0.08231380944874847,0.06793203584435635,Transport,1
m_dense/D/short,TinyCast,10366.26148148148,10366.26148148148,56.205455729166665,0.8150101943761536,0.14265472434731746,0.11876887851291233,7.574745684832936,101.8148392007839,0.17625653998099441,0.0972999538440719,0.07870368477324906,Transport,1
m_dense/H/short,TinyCast,52323.657118055555,52323.657118055555,103.32272650824653,0.9041435337641125,0.33071531696504447,0.24779093424479168,8.591678536907885,228.74364935021813,0.4057342737279411,0.1832687880887571,0.14958837130375027,Transport,1
m_dense/H/medium,TinyCast,42590.03111111111,42590.03111111111,99.01682725694444,0.8488636143833378,0.32594086771501113,0.2425688764784071,8.950084924499864,206.37352328026748,0.3590638688292111,0.17227677518393955,0.14069021296383785,Transport,1
m_dense/H/long,TinyCast,46375.24938271605,46375.24938271605,105.4979513888889,0.9048135508291488,0.3668734634537834,0.2579900670934607,10.677621895519193,215.3491336939066,0.3728012047337585,0.1826325590453681,0.15131629170548744,Transport,1
sz_taxi/15T/short,TinyCast,17.299811320136026,17.299811320136026,2.813391812409528,0.5622412971917036,1298855763299.8843,0.41080893614353275,4.029939630970062,4.159304187016866,0.38891274804748244,0.26306417898307943,0.20734419403930715,Transport,1
sz_taxi/15T/medium,TinyCast,17.138111186231303,17.138111186231303,2.8763113690237714,0.5622341489144297,10471214928061.746,0.42157362587431557,6.520236534433058,4.13982018766894,0.3852793383573354,0.26768876205494296,0.22523526858996806,Transport,1
sz_taxi/15T/long,TinyCast,16.585698784722222,16.585698784722222,2.8391236047119834,0.5366219805108522,7612183948712.653,0.41623283886162304,7.956143466263868,4.07255433170906,0.37694833560349256,0.2627841964037485,0.2280494682106245,Transport,1
sz_taxi/H/short,TinyCast,7.659020709176349,7.659020709176349,1.9177854815099993,0.5855354875621086,1.1228758331037993,0.3076122805603549,4.136857755571883,2.7674935788862003,0.257809104765565,0.17865355204165467,0.14050011279380087,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2094857.6049828748,2094857.6049828748,188.28418419716,0.8913284764097413,2.7525017208929654,0.6340331413927741,16.565001430131744,1447.3622922346965,4.5443596348221655,0.591165771784699,0.4569841118009387,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3370191.2436747802,3370191.2436747802,298.9751887392941,1.144012940891489,5.190624903844738,0.7146857904082128,27.38202566443464,1835.8080628635391,5.577691826805203,0.9083691810610924,0.7071218916751092,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,5560992.639401612,5560992.639401612,421.87318823115237,1.0561139950555383,5.481171235177849,0.7377017822245612,25.007918776637837,2358.1757015544054,6.231954294467555,1.1148848770619026,0.9514289249311564,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3252639.505318784,3252639.505318784,326.3958931986086,1.0114026532525418,4.328225514339663,0.5632358800864995,18.92522717313921,1803.5075562133873,5.140582318219205,0.9303343096820437,0.7125093793518243,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1726338.9534076904,1726338.9534076904,131.62674067747253,1.7921097272136357,1.6745491408447941,0.6160132090942114,55.492792185958876,1313.9021856316742,5.376108454303759,0.5385786256443452,0.4471828772046274,Web/CloudOps,2
