dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,44.97188357893528,44.97188357893528,3.810421656873327,0.6049023253530281,0.10299888100048336,0.08028471364079368,4.950046833092336,6.706107930755013,0.11499494504270823,0.0653403186387966,0.05229804010222002,Transport,1
loop_seattle/5T/medium,TinyCast,92.32335019390158,92.32335019390158,5.859197875850587,0.930789752492564,0.19545112432710157,0.1312805651338969,8.71202429507708,9.608504055986112,0.17095503120135294,0.10424716999072325,0.08540297939382484,Transport,1
loop_seattle/5T/long,TinyCast,106.4388234039961,106.4388234039961,6.247876598601795,0.9902932559636161,0.2069893143825227,0.13826893214525507,11.079635839209889,10.316919278738014,0.1824052541003009,0.11046374288339762,0.09242302426369364,Transport,1
loop_seattle/D/short,TinyCast,18.368514854029605,18.368514854029605,2.9368720181586205,0.8849692906829162,0.05423961738806883,0.054221122528131285,7.882845790151371,4.285850540327976,0.07659387348245904,0.05248582554999723,0.042766989934404726,Transport,1
loop_seattle/H/short,TinyCast,66.89450589907719,66.89450589907719,4.5017663214856904,0.9140165239915516,0.1256533356183227,0.10341561633781311,7.128932262734124,8.178906155414499,0.14477495605445792,0.07968584172213185,0.06363251391247556,Transport,1
loop_seattle/H/medium,TinyCast,72.17629958901735,72.17629958901735,4.8503884708180145,1.0022553887234924,0.12518291933494702,0.10979851131222688,8.939231909337613,8.495663575555316,0.15015990394399328,0.0857300739832413,0.07030872714150671,Transport,1
loop_seattle/H/long,TinyCast,64.45034639918192,64.45034639918192,4.581956638878139,0.9627892338459968,0.14456064974191388,0.10491289533123677,10.445990331386602,8.02809730877634,0.1434728242621964,0.08188568652601043,0.06782116704031803,Transport,1
m_dense/D/short,TinyCast,11148.167037037038,11148.167037037038,57.69344039351852,0.8147516708755659,0.14273272628162065,0.11836470427336516,7.659482205555726,105.58488072180144,0.18278303925453174,0.09987587529660433,0.08117937868631928,Transport,1
m_dense/H/short,TinyCast,51536.690833333334,51536.690833333334,102.32325900607638,0.8993399308344289,0.3189987226241088,0.24622027397155763,8.55772891443901,227.01693952948386,0.40267152047973226,0.1814959816206448,0.14890896017908953,Transport,1
m_dense/H/medium,TinyCast,44632.82666666667,44632.82666666667,102.32594184027778,0.871709560874816,0.29369016504729634,0.2447178226047092,9.085675204446204,211.2648259097256,0.3675741177111017,0.1780342166706423,0.1457772371495574,Transport,1
m_dense/H/long,TinyCast,51839.73728395062,51839.73728395062,111.61363425925926,0.9445083825802205,0.32294490118211866,0.2618356586974344,11.527422383929528,227.68341460007713,0.39415366946148206,0.19321971072197686,0.16216719637870536,Transport,1
sz_taxi/15T/short,TinyCast,17.315724266899956,17.315724266899956,2.8121307941292377,0.5619837951020181,1247343114009.5186,0.410401656223013,4.133163103599672,4.161216681080181,0.38909157443005626,0.2629462683752772,0.20765635023070148,Transport,1
sz_taxi/15T/medium,TinyCast,17.35765140892094,17.35765140892094,2.897821462256277,0.567487498111462,10208781356181.445,0.4273458497137086,6.600462096049195,4.1662514817184215,0.3877392112555944,0.269690635110519,0.22660789232855003,Transport,1
sz_taxi/15T/long,TinyCast,16.970252960292022,16.970252960292022,2.887655457064637,0.5475679708846877,7378036036473.583,0.42321723438056447,8.123241848547288,4.1194966877389305,0.38129323601083487,0.26727621774417587,0.23196237513028692,Transport,1
sz_taxi/H/short,TinyCast,7.582894349709536,7.582894349709536,1.9100086179553952,0.582743899864359,1.1279962164723976,0.30623983725523335,4.204610546850984,2.753705566996867,0.25652466637379945,0.177929089211391,0.1399211646013724,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2142187.3946952466,2142187.3946952466,192.32750634060864,0.9370348800235516,3.022110230055744,0.6301682346086837,16.85530929997769,1463.621328997103,4.595408989058202,0.6038608033174752,0.4606256230113666,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3837591.4823938836,3837591.4823938836,312.5251414490315,1.1734843769571548,5.707323322389795,0.7225465755407218,28.07527781919593,1958.9771520857214,5.951913531223479,0.9495376790165986,0.7564213129683555,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,5735898.493681859,5735898.493681859,432.827433904106,1.0374043810093088,5.678944977827536,0.7513784093580098,24.899963085468716,2394.9735893495485,6.329200125098885,1.1438336777467786,0.9632340824961384,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3246050.597781662,3246050.597781662,347.4306405247239,1.0281285511009834,4.225226730268458,0.5641315374262384,18.851433146459005,1801.6799376641961,5.1353730117396985,0.9902901716912202,0.741504026157871,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1696358.8301017059,1696358.8301017059,131.3611297751084,1.779870899346763,1.6542683610079947,0.6179721404781577,55.639125989159034,1302.4434076387756,5.329222442607238,0.537491822506813,0.44335392128183976,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2189784.858001313,2189784.858001313,154.50457499904775,4.547147612886607,0.7241916678803059,0.7281793426205502,165.7785028204549,1479.792167164468,6.226239975790641,0.650079506195073,0.5997979882783021,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,3087010.421004921,3087010.421004921,223.6825906987145,3.506017700013196,3.6281270720357153,0.7094595527762035,124.04505532511988,1756.9890213102988,6.730629117405615,0.8568776126391073,0.7783622977723064,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,1838133.3798487738,1838133.3798487738,178.8248024759154,5.881538694437031,2.4448230915992597,0.5709880543667931,196.15289490480356,1355.7777767203495,5.933547010727004,0.7826248448632569,0.6718111743855804,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,2260178.9155555554,2260178.9155555554,629.8463888888889,1.862175185999277,0.027046970791286894,0.027341416676839193,14.543152062084465,1503.3891430882277,0.05797971003076902,0.024290657651477834,0.018903639099711725,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,4765989.546666667,4765989.546666667,1193.2047916666668,2.873948985960727,0.0414029343922933,0.0419601313273112,32.4708986267935,2183.1146435005803,0.08572448675995657,0.04685364035721503,0.04039588641409965,Web/CloudOps,2
