dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,47.009735579830206,47.009735579830206,3.8409059412339155,0.6093105322768781,0.10376772408145869,0.08096057222108477,4.963192287978669,6.856364603770004,0.11757151524319913,0.06586305681135647,0.052650987431294934,Transport,1
loop_seattle/5T/medium,TinyCast,92.61542612995034,92.61542612995034,5.765713253434598,0.9169765237037673,0.1917114988864391,0.12907818785392833,8.833328582146752,9.623690878761138,0.17122523598518052,0.10258388646096134,0.08433381906453158,Transport,1
loop_seattle/5T/long,TinyCast,106.29890746832359,106.29890746832359,6.107120104757912,0.9674890892199478,0.20473489263355424,0.13527893451331555,11.345114130022921,10.31013615178401,0.18228532702108166,0.10797513913142551,0.09095774169067412,Transport,1
loop_seattle/D/short,TinyCast,19.715944990506483,19.715944990506483,3.0035538475579893,0.9062381704694848,0.055655769371764946,0.05542464775443692,7.072665060472843,4.440264067654815,0.07935344945571429,0.05367751890386843,0.043726190169264954,Transport,1
loop_seattle/H/short,TinyCast,67.49693010170762,67.49693010170762,4.533355477515246,0.918900839539481,0.12127613963027216,0.10368643182032747,7.151171356204251,8.215651532392767,0.14542538659323012,0.08024500190676714,0.06414587072635815,Transport,1
loop_seattle/H/medium,TinyCast,80.7909689762521,80.7909689762521,5.104865298748509,1.0468917960143915,0.13157945656062894,0.1155647083947779,8.823739698119503,8.988379663557392,0.15886860571732309,0.09022792346823781,0.0735836086993919,Transport,1
loop_seattle/H/long,TinyCast,71.55019541328045,71.55019541328045,4.818193062072691,1.0091309649026727,0.14147254830994554,0.10957355551757393,10.480470907476171,8.458734858906528,0.15116889260493907,0.08610754701495459,0.07122859972128037,Transport,1
m_dense/D/short,TinyCast,12180.26148148148,12180.26148148148,58.574641203703706,0.8182839522744118,0.14300335204716166,0.11881141380027488,7.365369355626368,110.36422192668003,0.1910567855057954,0.10140136418457867,0.08192386333114526,Transport,1
m_dense/H/short,TinyCast,54783.780069444445,54783.780069444445,111.64095187717014,0.9595757929848481,0.34323424207691233,0.2665371015336778,7.8658797279121995,234.059351595796,0.41516300583084376,0.19802324854417405,0.15903797219699087,Transport,1
m_dense/H/medium,TinyCast,51979.54,51979.54,114.45127170138889,0.9576404763676173,0.3374612226227702,0.2810772365993924,8.490616737549093,227.99021908845125,0.3966741896921723,0.19913075939355857,0.16029790286613857,Transport,1
