dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,52.826653907862486,52.826653907862486,4.060895291890399,0.6402352021231127,0.1098942425720955,0.08612978694608706,5.434414406523195,7.2681946801019635,0.12463349180005363,0.06963538847525727,0.05599511332308224,Transport,1
loop_seattle/5T/medium,TinyCast,117.48421512190403,117.48421512190403,6.591379661599426,1.0404658674741483,0.21966768782451304,0.1464027988209444,10.96760318987764,10.839013567751635,0.19284832392951504,0.11727418848376056,0.09744434250766594,Transport,1
loop_seattle/5T/long,TinyCast,129.8751901122291,129.8751901122291,6.871045111118278,1.0813936748332529,0.22955086131446364,0.15122463580187193,13.24016219826588,11.396279661022236,0.20148856758537398,0.12148149031378945,0.10303516816665814,Transport,1
loop_seattle/D/short,TinyCast,19.420327692651895,19.420327692651895,3.0854153832907034,0.926285193715562,0.05712971078353032,0.05691541157762825,6.341426347980444,4.4068500873812235,0.07875629699938412,0.05514049388444521,0.043890953089733176,Transport,1
loop_seattle/H/short,TinyCast,74.14919182836093,74.14919182836093,4.8594479100098535,0.9845314172029785,0.13201270674022325,0.11033947819649742,7.375838223193831,8.610992499611234,0.15242332373396744,0.08601716956427775,0.06843148307870323,Transport,1
loop_seattle/H/medium,TinyCast,107.76199991484053,107.76199991484053,5.849635281872823,1.191296097763871,0.14618668772733864,0.1363509313979016,9.79880518072683,10.38084774548016,0.18348032339741402,0.10339164966004462,0.0840399760655246,Transport,1
loop_seattle/H/long,TinyCast,98.64137710765502,98.64137710765502,5.645328566082409,1.171374010580251,0.16433168692731512,0.12980498992006598,11.234666386633755,9.931836542536079,0.17749518772155154,0.10088956350572102,0.08261529512640137,Transport,1
m_dense/D/short,TinyCast,11790.375925925926,11790.375925925926,60.43461516203703,0.8252709517094293,0.1433287013275169,0.11857462282534,7.823437919355748,108.58349748431354,0.18797408821594214,0.10462125410361184,0.0846135908359487,Transport,1
m_dense/H/short,TinyCast,65947.31458333334,65947.31458333334,124.9290597873264,1.0568726358514198,0.40984318361281685,0.30259916729397246,8.19803173236916,256.8020922487458,0.4555029645034438,0.2215930430607037,0.17603197401903822,Transport,1
m_dense/H/medium,TinyCast,76927.44666666667,76927.44666666667,137.55138020833334,1.1546164583946539,0.4744468243992143,0.32611360337999135,9.175590633150987,277.3579756680285,0.48256785178180256,0.23932203102104216,0.19080597601949595,Transport,1
m_dense/H/long,TinyCast,91687.60098765432,91687.60098765432,150.86455246913582,1.25752026170952,0.5420815623645469,0.3430360092351466,11.05537920127528,302.799605329423,0.5241909067540846,0.2611688561146255,0.21125355283065284,Transport,1
sz_taxi/15T/short,TinyCast,17.79032827384306,17.79032827384306,2.863993064824478,0.5733916399082439,1181112564921.9407,0.41744300384661215,4.255421891042974,4.2178582567273475,0.3943878042435526,0.26779561271489727,0.21115672701780516,Transport,1
sz_taxi/15T/medium,TinyCast,17.56208266559829,17.56208266559829,2.9225645407652245,0.572497968611503,10514025966727.65,0.4255790514823718,5.6469817404457885,4.190713861097926,0.39001584379390003,0.27199339138608053,0.2259244268744131,Transport,1
sz_taxi/15T/long,TinyCast,17.9340578258547,17.9340578258547,2.973666129696403,0.566510499846112,7382931236155.994,0.4294196843421697,6.692966200813903,4.234862196796337,0.3919712609267087,0.2752372115706414,0.23409344403556537,Transport,1
sz_taxi/H/short,TinyCast,8.198861407418537,8.198861407418537,1.998714088374733,0.6148461346524318,1.1273624876625516,0.3141836060418023,4.41148775037191,2.8633653988652124,0.26674015641085264,0.186192551172456,0.14639322496506135,Transport,1
