dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,47.20002329288006,47.20002329288006,3.8495908691910152,0.6104948166986596,0.10324132595022889,0.08119218182145503,5.037142746333574,6.870227310131744,0.11780923005075547,0.06601198415094585,0.052776200153671224,Transport,1
loop_seattle/5T/medium,TinyCast,94.48402178470072,94.48402178470072,5.858555730577593,0.9317716053379131,0.19358741398074186,0.13117932936724494,9.396124030183026,9.720289182154033,0.17294391829767244,0.10423574490680375,0.08595098387933622,Transport,1
loop_seattle/5T/long,TinyCast,107.90358425424263,107.90358425424263,6.1917550959071495,0.9814206586472385,0.20805151062046712,0.13706387990823157,12.039938090393324,10.387665004910518,0.18365605308499397,0.10947150317666614,0.09243681499174272,Transport,1
loop_seattle/D/short,TinyCast,19.292844103487408,19.292844103487408,2.9674378984606795,0.8973044804212674,0.054914512218459596,0.054743820742556924,6.9782535804699375,4.392362018719246,0.07849737586164053,0.053032078655817556,0.04309128998962859,Transport,1
loop_seattle/H/short,TinyCast,69.31813905701543,69.31813905701543,4.602037074778134,0.9323083839018138,0.1239094938280581,0.10516758528662741,7.105345576156783,8.325751561091373,0.14737426906156395,0.08146073602041778,0.06486628661537784,Transport,1
loop_seattle/H/medium,TinyCast,82.79516659511255,82.79516659511255,5.244821918121432,1.072786382307879,0.1345111329243033,0.118534965682448,9.414327992082681,9.099184941252297,0.16082707661334922,0.09270164106951306,0.07573574902725777,Transport,1
loop_seattle/H/long,TinyCast,75.55685784044978,75.55685784044978,4.991308770115777,1.0403341424263672,0.14547993571724643,0.11373575379194818,11.129798158419991,8.692344783799696,0.15534381406029585,0.08920135599631049,0.0738008606958189,Transport,1
m_dense/D/short,TinyCast,11279.871851851853,11279.871851851853,57.37588541666667,0.8100576335300848,0.1417525272355246,0.11739179257993344,7.4200692025150135,106.20674108479109,0.18385957148492432,0.09932614068116902,0.08037542750440335,Transport,1
m_dense/H/short,TinyCast,56041.662777777776,56041.662777777776,112.89030409071181,0.9711977617586264,0.3432769019952355,0.27648326873779294,7.858716527273302,236.73120364197402,0.4199022060339707,0.20023928826563372,0.1603596159203754,Transport,1
m_dense/H/medium,TinyCast,53783.62,53783.62,116.08876736111111,0.9708906852959185,0.35165724037632395,0.3022523159450955,8.588367329529675,231.9129578096058,0.4034992596877602,0.2019797950519381,0.16303352207691346,Transport,1
m_dense/H/long,TinyCast,58902.1037037037,58902.1037037037,123.21923225308642,1.0336171048344354,0.3821573060504969,0.3303479908130787,10.060177659964316,242.69755603158367,0.42014536916186057,0.21331071754211192,0.1748475431741713,Transport,1
sz_taxi/15T/short,TinyCast,17.270388713832013,17.270388713832013,2.8251441244095092,0.5649014563201181,1181112564921.9624,0.41194312985854564,4.090509260959432,4.155765719314795,0.388581886168665,0.2641630704683647,0.20814085007301117,Transport,1
sz_taxi/15T/medium,TinyCast,17.523674963274573,17.523674963274573,2.921906456580529,0.5712276338128605,9241567569315.008,0.4257510062975761,6.834146193045001,4.1861288756170145,0.38958913439774673,0.2719321456730377,0.23022482676983522,Transport,1
sz_taxi/15T/long,TinyCast,16.90147736378205,16.90147736378205,2.877117798199341,0.5445127454750256,7289443808770.437,0.41920757239360756,8.037643977513646,4.111140640233809,0.38051981521819994,0.2663008709109849,0.2314608046275641,Transport,1
sz_taxi/H/short,TinyCast,8.166478474934896,8.166478474934896,1.995596926436465,0.6135042264575944,1.3262827946589544,0.311642328898112,4.335895976363837,2.8577051063633028,0.2662128652352699,0.18590216830224982,0.14655559563068188,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2036271.5687761817,2036271.5687761817,189.03820719655354,0.9352351266190451,2.789645883488692,0.6438980894390699,17.139686925294875,1426.9798767944073,4.480363891334877,0.593533217517226,0.45909488528181114,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3483118.4456507955,3483118.4456507955,300.9646211128797,1.1474235358466158,5.172991936683899,0.7198469165626289,27.853865231185495,1866.3114546213328,5.67036955403552,0.9144136259650011,0.7084883074405546,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,5502635.43681687,5502635.43681687,414.8344614897558,1.0485948760930681,5.424973951367,0.7352358324707691,24.873544640316762,2345.7696896364037,6.199168909053464,1.0962836238496354,0.9403652006818564,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3492259.4439674746,3492259.4439674746,356.16455939559074,1.0742886215349017,4.371011592807275,0.5697087422591876,19.719810272467946,1868.7587976963412,5.326569550184779,1.0151846772682331,0.7450626680637328,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1755295.8255318548,1755295.8255318548,135.14765148186697,1.816119994469276,1.7155651754822236,0.6206766516071703,57.27461041127718,1324.8757773964526,5.4210092240154255,0.5529851762607858,0.46226760308144726,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2250848.114060692,2250848.114060692,153.37561868471246,4.601841197410859,0.6458442119925483,0.6816305471834323,166.79472538523896,1500.2826780512705,6.3124540001912735,0.6453294114917711,0.6064978235052347,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,3498227.460899659,3498227.460899659,239.10398514985263,3.567833679699716,3.919210410232118,0.6737353626683813,124.76044527884618,1870.3549023914309,7.164908268197335,0.9159535005728979,0.8442963556173253,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,2483683.3996261833,2483683.3996261833,217.42637382251397,5.982877362147505,3.6647167450884144,0.5879899926500978,196.7576983978072,1575.9706214349883,6.897218652181791,0.9515642110380271,0.7620111141347198,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,1479090.7733333334,1479090.7733333334,573.6909375,1.629949894295826,0.023722949557834203,0.02400050269232856,14.785104940184254,1216.1787587905544,0.046903153521123155,0.022124966351162484,0.01706789009098072,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,4996580.693333333,4996580.693333333,1256.5708333333334,3.009431031746967,0.043055696487426756,0.04389782587687174,39.308039714867434,2235.303266524105,0.0877737803857951,0.049341838316061065,0.04328267966032299,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,8047943.111111111,8047943.111111111,1656.6643055555555,3.7573230335445693,0.0530414538913303,0.05435198465983073,74.33395336361403,2836.8896896268475,0.10940749595674723,0.06389092038880016,0.05796864831346603,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,20.028963506789434,20.028963506789434,2.711740639096215,0.28265011835805326,0.13978223644222354,0.20923150493985132,2.4361581962769665,4.475373001973068,0.15370241769361837,0.09313214612577989,0.07440463090479561,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,73.09782414073037,73.09782414073037,5.381954642279355,0.5435506394551397,0.4163001225967727,0.6743363692665285,3.462957510821202,8.549726553564762,0.44984134589142527,0.28316995925444144,0.21973869608538038,Web/CloudOps,7
bizitobs_l2c/5T/long,TinyCast,72.1540493719646,72.1540493719646,5.1903340459370755,0.5205419910923377,0.4342358441836603,0.7624309651864194,3.5726887459298196,8.49435397025369,0.4769452763477469,0.2914294971160291,0.22699629511923375,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast,77.42474268353175,77.42474268353175,5.42279052734375,0.5451371262680417,0.43819561050378447,0.6938457186259921,3.140014987318374,8.799133064315583,0.4742958071358536,0.29230229743039143,0.22841278620741567,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast,106.07072172619047,106.07072172619047,5.787786574590774,0.60110617071611,0.5974503745623511,0.8670862107049851,5.1147685428440095,10.299064118947433,0.6236239757823366,0.3504592682344434,0.28859697602022494,Web/CloudOps,7
bizitobs_l2c/H/long,TinyCast,101.69006696428572,101.69006696428572,5.982554408482143,0.641551346411238,0.6731667362397621,0.8501619853670634,8.589356706118718,10.084149293038344,0.6159689434659384,0.36543168998541575,0.3101222786786424,Web/CloudOps,7
bizitobs_service/10S/short,TinyCast,5696.454398561508,5696.454398561508,26.55783572565311,1.0616261995537932,0.07423837550733456,0.062388314948510874,9.579914308106328,75.47485938086608,0.05591419029235435,0.019674894298560463,0.014928640747637743,Web/CloudOps,2
bizitobs_service/10S/medium,TinyCast,46512.82349206349,46512.82349206349,55.905333581349204,1.5362737811480702,0.12129515511648996,0.10095059833829365,16.142574890921164,215.66831823905775,0.1623170537065367,0.04207567021201136,0.0357574254809891,Web/CloudOps,2
bizitobs_service/10S/long,TinyCast,139539.08486772486,139539.08486772486,88.25224206349206,1.8710661375210067,0.16097390149636243,0.12378939835482804,27.967437486383556,373.5493071439497,0.27673726880341876,0.06538008227389788,0.06036129805536314,Web/CloudOps,2
car_parts/M/short,TinyCast,1.443913783877593,1.443913783877593,0.6039976984345614,1.1349088694786484,0.6017925879786267,1.7670857961854318,18.852240977643504,1.201629636734045,2.881384605191831,1.448324522496637,1.2630695404005514,Sales,1
covid_deaths/D/short,TinyCast,573164.3243107769,573164.3243107769,135.72952106829575,38.2654943268643,0.10340572122232439,0.1460410929478737,749.7639696458328,757.0761681038289,0.28485357917463144,0.05106889042987305,0.05334023633442831,Healthcare,1
electricity/15T/short,TinyCast,176651.33568225207,176651.33568225207,64.58836123629733,1.1953114629045902,0.18861072987049549,0.18707393586581747,11.16438998151306,420.29910264269193,0.8284923900520542,0.12731639309660053,0.10429839124458319,Energy,1
electricity/15T/medium,TinyCast,365872.41052571614,365872.41052571614,67.5151015119123,1.0266142131774751,0.1609787233287367,0.15605588276882798,9.069093209350761,604.8738798507637,1.042258597934846,0.1163353177997965,0.09484709440758922,Energy,1
electricity/15T/long,TinyCast,560844.9087951272,560844.9087951272,77.99612926842859,1.1125315135932523,0.17548991400478237,0.16377064036636935,10.457654770639575,748.8957930147072,1.1814749557224737,0.12304845912271174,0.1006234557694774,Energy,1
electricity/D/short,TinyCast,1904426526.7592072,1904426526.7592072,4907.931826576577,1.5714064237697654,0.5003467362892997,0.10478940011789133,12.52655625594225,43639.73564034511,0.7171457892159446,0.08065361972390897,0.06293722853897352,Energy,1
electricity/H/short,TinyCast,2009283.224460867,2009283.224460867,208.33752429309192,1.1173016703974927,0.2240207106722758,0.1417137992198982,10.898001893659195,1417.4918780934397,0.6691573936084122,0.09835018944468678,0.08059252066587913,Energy,1
electricity/H/medium,TinyCast,7323641.396773648,7323641.396773648,299.69768176379506,1.3289203226760185,0.2528501868831051,0.1538463337096203,13.746477428936124,2706.22271751119,1.0563278850326425,0.11698187894079955,0.09621370960902714,Energy,1
electricity/H/long,TinyCast,10850489.305333333,10850489.305333333,343.64645279654655,1.4835587394653673,0.33136231127767124,0.17022981105529914,17.908060111527387,3294.008091267132,1.299155820761471,0.1355340597426784,0.11347598941524091,Energy,1
electricity/W/short,TinyCast,165068806236.25226,165068806236.25226,44445.593862612615,1.8453733290810266,0.2656671164479868,0.11381543305543092,13.440335706176722,406286.60602615523,0.9270119594560958,0.10141017804834536,0.07767633783852398,Energy,1
ett1/15T/short,TinyCast,6.306045859200614,6.306045859200614,1.254006172361828,0.7930872531650432,0.5816189758546157,0.26750659147898354,5.2419340790867,2.51118415477651,0.47471833368663535,0.2370593647797778,0.184696191762128,Energy,7
