dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,48.213353988285284,48.213353988285284,3.9089906832259014,0.6192034484630705,0.10724925251814112,0.08215280496914197,5.029895961356546,6.9435836560298805,0.11906712942431064,0.06703055981674486,0.05348449295115985,Transport,1
loop_seattle/5T/medium,TinyCast,102.21142805888803,102.21142805888803,6.119860177212332,0.9707890406338535,0.20625692054583192,0.1359994940664254,9.820128783742245,10.109966768436385,0.17987708328706167,0.10888488795417166,0.08991497127825508,Transport,1
loop_seattle/5T/long,TinyCast,113.12750286664374,113.12750286664374,6.420412200973225,1.0147766175797435,0.21807028825670435,0.14123861373448204,12.739326356154308,10.636141352325275,0.1880491659962784,0.11351420780820985,0.09611895545959413,Transport,1
loop_seattle/D/short,TinyCast,19.77734296895156,19.77734296895156,2.9919715007392247,0.9031218733461026,0.05544230017745704,0.05522821584353137,7.243811171554484,4.447172468991006,0.07947691181468629,0.05347052689644334,0.04345051611865169,Transport,1
loop_seattle/H/short,TinyCast,70.00260389482467,70.00260389482467,4.599161778881448,0.9324107644231517,0.12326566576407337,0.10507038957777019,7.2242539577692995,8.366755876373151,0.14810008713920905,0.08140984035916718,0.06503929490404256,Transport,1
loop_seattle/H/medium,TinyCast,82.21848118076383,82.21848118076383,5.234056099182066,1.076841653290437,0.13274779942259576,0.11751619034876395,9.113350020717526,9.06744071834847,0.16026600102229938,0.09251135642330072,0.07517362557517582,Transport,1
loop_seattle/H/long,TinyCast,72.14796111924073,72.14796111924073,4.9174379855937715,1.029396478166779,0.14572661271569323,0.11143428168019602,10.805671155128689,8.49399559213688,0.15179904901529848,0.0878811863872239,0.07253656636810707,Transport,1
m_dense/D/short,TinyCast,10394.517407407408,10394.517407407408,54.76978732638889,0.7909729131081201,0.13851282842252943,0.1135779204191985,7.514817903560971,101.95350610649645,0.17649659289668548,0.09481459957528371,0.0771067503500435,Transport,1
m_dense/H/short,TinyCast,57697.23347222222,57697.23347222222,114.3082568359375,0.9752396421927424,0.34397213502738544,0.27036084175109865,7.756970785252066,240.20248431734052,0.4260593935568877,0.2027543833465199,0.16234559041717467,Transport,1
m_dense/H/medium,TinyCast,52960.61555555555,52960.61555555555,113.94189670138888,0.9562958173060563,0.34086078428223643,0.2803029971652561,8.255008003187765,230.13173522040708,0.40040015732250617,0.19824451121948203,0.15957428945258367,Transport,1
m_dense/H/long,TinyCast,59600.14617283951,59600.14617283951,122.0673688271605,1.0202681607939212,0.37068439739813924,0.29780828028549383,9.791938839686685,244.13141168813058,0.4226275853983781,0.21131667156891426,0.1725860435685578,Transport,1
