dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,48.22430878472894,48.22430878472894,3.9034991426733625,0.6191868923155703,0.10541859251303816,0.08226033228961799,4.961852217699544,6.94437245434956,0.11908065557395779,0.06693639202067601,0.05329793089424333,Transport,1
loop_seattle/5T/medium,TinyCast,99.28105744888416,99.28105744888416,6.050148966093428,0.9605553830701473,0.2004339925177449,0.13466972654202897,9.715619861859452,9.963988029342676,0.17727982155400848,0.10764458226220582,0.08883858535260694,Transport,1
loop_seattle/5T/long,TinyCast,112.5274763501892,112.5274763501892,6.461992122552603,1.0219990721189458,0.21399620578425999,0.14210396672946407,12.679057510849736,10.607896886291325,0.1875497980294797,0.11424934937094239,0.09660285913371323,Transport,1
loop_seattle/D/short,TinyCast,19.95331072576029,19.95331072576029,3.0360898201925712,0.914128856222139,0.05640519199233552,0.056113823033461754,7.052647262517647,4.466912885400866,0.07982969942189766,0.05425898019099284,0.04400953754399441,Transport,1
loop_seattle/H/short,TinyCast,68.80854455986103,68.80854455986103,4.561464553873618,0.9238837126803549,0.12283394005315319,0.10418871754275472,7.210086385397491,8.295091594422633,0.14683155647350482,0.08074256114234056,0.0646061762918779,Transport,1
loop_seattle/H/medium,TinyCast,82.95425076794699,82.95425076794699,5.164156118733472,1.0589911415269837,0.13378041164547788,0.11690170518877091,9.193773521149021,9.10792241776065,0.16098151053384746,0.09127588208318577,0.07450562055912395,Transport,1
loop_seattle/H/long,TinyCast,76.78478988789183,76.78478988789183,4.964454185294252,1.0363081147677973,0.14645541079232158,0.11299069233682092,10.849875084845387,8.762693072788288,0.1566010319682269,0.08872142868843881,0.0733775333936964,Transport,1
m_dense/D/short,TinyCast,10997.258148148148,10997.258148148148,55.4695703125,0.7991559609545542,0.13997645056450958,0.11566939742476852,7.549066217068135,104.86781273655015,0.1815416885535569,0.09602602738715972,0.07899281490417892,Transport,1
m_dense/H/short,TinyCast,56618.54576388889,56618.54576388889,112.69886501736111,0.9641115323433154,0.34914468683197974,0.2666390493181017,7.863611944151416,237.94651870512604,0.42205787232634356,0.199899723020392,0.16049071262991055,Transport,1
m_dense/H/medium,TinyCast,51052.05333333334,51052.05333333334,111.30012586805556,0.9331533779123757,0.34903099767655565,0.2675613657633464,8.263595908833626,225.94701443775116,0.3931192716240542,0.19364816358292677,0.1562391811043587,Transport,1
