dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,43.81263573236141,43.8126346300753,3.7095028084990163,0.5884488839715094,0.10260587560380083,0.07869118381949032,23.537955359245412,6.619111400509997,0.11350314662286001,0.06360978320119133,0.06360978366966155,Transport,1
loop_seattle/5T/medium,TinyCast,97.74159024485617,97.74158885408605,5.953324588110326,0.9469243151722689,0.20766593586672694,0.13250530884607903,37.87697260706844,9.886434657896453,0.17589998771534768,0.1059218776182045,0.10592187737994878,Transport,1
loop_seattle/5T/long,TinyCast,111.77894168888315,111.77894265637542,6.335752122212189,1.0041226055069408,0.21934622865302233,0.1391921385389008,40.164904221638075,10.572556062224647,0.18692496499358674,0.11201740020883438,0.11201740047634891,Transport,1
loop_seattle/D/short,TinyCast,19.591884805937177,19.591885445263117,3.03356938396568,0.9167436590647416,0.056079378142814516,0.05593055999684998,36.669746363717316,4.426272111601046,0.07910339451290414,0.054213936629238506,0.05421393600132253,Transport,1
loop_seattle/H/short,TinyCast,72.62608122166478,72.62608145372502,4.9763473635888955,1.0073071837603216,0.15527172688457308,0.11328440358459926,40.2922873544229,8.522093711152488,0.15084972477735278,0.08808640876730885,0.08808640896616106,Transport,1
loop_seattle/H/medium,TinyCast,83.00423638153863,83.00423187161378,5.520459015868889,1.1312438296579064,0.17656452557373833,0.12280557074413949,45.24975318535813,9.110666077819921,0.16103000441867366,0.09757349595795875,0.09757349636013092,Transport,1
loop_seattle/H/long,TinyCast,95.63501861750731,95.63502024679116,5.645466080997915,1.1753096955681528,0.20433409608513536,0.12666284805890987,47.012387821875365,9.779315856311591,0.17476943929457203,0.10089202108097789,0.1008920185396605,Transport,1
m_dense/D/short,TinyCast,11389.152962962962,11389.154074074075,58.79171875,0.8394425893863066,0.14844121006880096,0.1215819803873698,33.57770357822037,106.71997452662254,0.18474805445430126,0.10177715751213376,0.10177716274992944,Transport,1
m_dense/H/short,TinyCast,74478.41361111111,74478.41152777777,131.73103352864584,1.110154875867296,0.3704012046256962,0.30805784225463867,44.406195023419365,272.907335209428,0.484069655095408,0.23365805069562776,0.23365804744249186,Transport,1
m_dense/H/medium,TinyCast,78860.9,78860.89555555556,138.39585069444445,1.198120802388603,0.3707938947525434,0.37612921820746525,47.924832099425,280.82182963580306,0.48859452025632133,0.24079130302374646,0.240791277991541,Transport,1
m_dense/H/long,TinyCast,86117.84691358024,86117.85086419753,146.8642515432099,1.2802378909583068,0.41017839718818694,0.4251524371865355,51.20951563327619,293.4584245060623,0.5080199410072032,0.2542437434898286,0.2542437436727835,Transport,1
sz_taxi/15T/short,TinyCast,17.364530554038993,17.364530700758117,2.83173400287372,0.5664750076684246,1103843386136.4167,0.4113894376417074,22.659000307294473,4.1670769796152065,0.3896395374318366,0.26477925231695737,0.2647792497061128,Transport,1
sz_taxi/15T/medium,TinyCast,17.942305188301283,17.94230497963408,2.9545481624766294,0.5784827231014624,11572815878470.139,0.42791218553852833,23.13930892509968,4.235835831131948,0.3942151959328818,0.27497000100983815,0.2749700008555511,Transport,1
sz_taxi/15T/long,TinyCast,17.337644675925926,17.33764495414886,2.915370843349359,0.5514477397646645,8004560949297.36,0.42901362666377313,22.057909588519813,4.163849742236855,0.3853984753054344,0.26984150426455233,0.2698414996745078,Transport,1
