dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,45.79471893468016,45.79471982280782,3.826926057577379,0.6063196580363936,0.105720125041879,0.08109619181960728,24.252786323748474,6.767179540597409,0.11604218831555925,0.06562333267190233,0.06562333265075386,Transport,1
loop_seattle/5T/medium,TinyCast,99.64930501805985,99.64930519946465,6.1427802754531085,0.9761451283314885,0.21343172232802068,0.13671606483105167,39.04580513227273,9.982449850515646,0.1776082952889696,0.10929268359926471,0.1092926840415182,Transport,1
loop_seattle/5T/long,TinyCast,112.77064829148034,112.77064752106983,6.531183567771041,1.035683688188858,0.2257765087700262,0.14334931291252795,41.42734752599292,10.619352536359283,0.18775233627806678,0.11547266834879331,0.11547266783217748,Transport,1
loop_seattle/D/short,TinyCast,19.21088574924213,19.21088474143769,2.9840266768039196,0.9027231507269732,0.055145697180331674,0.05508774131444216,36.108926035775575,4.383022444528676,0.07833046519660417,0.05332854228134414,0.053328542706990265,Transport,1
loop_seattle/H/short,TinyCast,76.53924588725617,76.53924653702482,5.119606202471412,1.0358738600667787,0.16274654751954232,0.11620024260533937,41.43495440589234,8.748671092643509,0.1548603748355615,0.0906222358949864,0.09062223589225002,Transport,1
loop_seattle/H/medium,TinyCast,86.7004536253749,86.700455691374,5.548304221012521,1.1405257930299586,0.1811026285307326,0.12320555009339985,45.62103171955728,9.311307836462873,0.16457632507238557,0.09806565684597925,0.09806565606121825,Transport,1
loop_seattle/H/long,TinyCast,101.48849544203647,101.4884969873366,5.770379183060285,1.192736673227226,0.21052876765431922,0.12892205009027408,47.70946693002993,10.074149862000091,0.18003851686771283,0.10312438509587946,0.10312438550348803,Transport,1
m_dense/D/short,TinyCast,11136.477777777778,11136.46962962963,57.321927083333335,0.8178141573692078,0.1457367622030497,0.11815178200050637,32.712566268196916,105.52951140689403,0.18268718678407356,0.09923273082842918,0.09923272358258763,Transport,1
m_dense/H/short,TinyCast,74136.75291666666,74136.76611111111,132.03000325520833,1.1066220899238466,0.3788124713827215,0.3075691604614258,44.264883586064705,272.28065101410834,0.48295807338563335,0.2341883485431005,0.23418834118527482,Transport,1
m_dense/H/medium,TinyCast,86067.80666666667,86067.81555555556,146.37843315972222,1.256321151810126,0.39332747391296774,0.36168611314561633,50.252846067584365,293.37315260034734,0.510432237183089,0.254679988440714,0.2546799982077098,Transport,1
m_dense/H/long,TinyCast,95309.98518518519,95309.9812345679,156.5820524691358,1.3489154234679488,0.42740048913085543,0.3919252296730324,53.95661693414314,308.7231529788221,0.53444544394267,0.2710666943436612,0.271066661560902,Transport,1
sz_taxi/15T/short,TinyCast,17.449401506137498,17.44940180889125,2.8311311456310007,0.5660511316079132,1203189414617.9258,0.41009675015460006,22.64204526286456,4.177248078117637,0.39059057868570535,0.26472288258384713,0.26472288279664935,Transport,1
sz_taxi/15T/medium,TinyCast,18.010111595219016,18.01011180388622,2.983247779780983,0.584550879937587,11776602325805.04,0.43074145194811697,23.382035200784614,4.243832182735201,0.3949593898628864,0.27764097923229,0.27764098486983874,Transport,1
sz_taxi/15T/long,TinyCast,17.550119357638888,17.550119635861822,2.9893113008591525,0.5660535573153612,7731521748749.814,0.4322518547036369,22.642142289980118,4.189286258736551,0.38775283371962593,0.2766853005952893,0.27668531033616267,Transport,1
sz_taxi/H/short,TinyCast,8.192279913486578,8.192281348073584,1.9905204446906717,0.61105509069373,1.3926202659932976,0.3133030508318518,24.442203636929566,2.862215909655765,0.2666330743976237,0.18542926270123,0.18542925918899603,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2032932.2929491461,2032932.3037458127,178.96467702948868,0.8591317771962426,2.711474543763667,0.6287530497624385,34.36527109469976,1425.8093466340954,4.476688716127949,0.5619048241861458,0.561904824848772,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3829662.152951812,3829662.040279521,306.2239571305468,1.1567906416166,5.891889834413424,0.7180368184011002,46.27162562178627,1956.9522612858525,5.94576135382919,0.9303929410761935,0.9303929431105327,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,4695725.86288689,4695725.825027282,398.1535025425723,1.0800858678436571,4.660293817493824,0.749534571573167,43.2034346865962,2166.9623584379333,5.726634519520878,1.0522008298160037,1.0522008357658386,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3005435.8070639367,3005435.8148525394,311.29742415062515,1.1079688530278018,3.9068477476944286,0.5699631966065523,44.31875417319387,1733.6192797335684,4.94137803039394,0.8872987688810934,0.8872987673846878,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1728463.7872757695,1728463.8337803714,128.61533173534178,1.8471433043707954,1.4015156198602563,0.6207486494336119,73.8857323222032,1314.710533644486,5.379415981023191,0.5262568095683856,0.526256813245356,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2214566.1274518967,2214566.110911017,148.69534121784415,4.60603573090892,0.4638758802046695,0.691481316182689,184.24142886243217,1488.141837141842,6.2613712936549595,0.6256370984030717,0.6256370855030498,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,3817323.490570927,3817323.5752153737,252.27969735928178,3.567454190535197,4.316441012899625,0.6756258068807612,142.6981676927826,1953.7971979125487,7.4845569040429725,0.9664266857571773,0.9664266819641948,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,1863448.5096719845,1863448.497993002,173.4831792445171,6.054266545796173,2.271889320711192,0.5909797936212794,242.17066244505205,1365.081869219566,5.97426627252948,0.7592472876401524,0.7592472942606339,Web/CloudOps,2
