dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,51.75724229684678,51.757241755151895,4.081180266231698,0.6452181348965875,0.11014425584775375,0.08568773980726276,25.80872539570953,7.194250641786591,0.12336551479906988,0.06998323099936467,0.0699832310510492,Transport,1
loop_seattle/5T/medium,TinyCast,105.71892145776896,105.71892056082301,6.281279931791795,0.9946430672594725,0.21655877057243797,0.13968083073603232,39.785722691021434,10.281970699130053,0.18293738665657236,0.11175687708170445,0.11175687693959795,Transport,1
loop_seattle/5T/long,TinyCast,117.83341859806788,117.83341908181401,6.560929786936705,1.0354404713627812,0.2271030968682589,0.14412776611524086,41.417618855961635,10.855110252690567,0.19192058117672947,0.11599858761973479,0.11599858585715012,Transport,1
loop_seattle/D/short,TinyCast,19.67153042536402,19.671532749613004,3.0824640783855175,0.9257605528807004,0.05629108115738513,0.05669567166713246,37.030422116127184,4.435259905052241,0.07926401838627764,0.05508775012392699,0.05508775077470826,Transport,1
loop_seattle/H/short,TinyCast,76.83527257450115,76.83527154680583,5.0347157681851415,1.0194295697355646,0.14524620297122032,0.11426385860143716,40.77718278872376,8.765573145807474,0.15515955836420772,0.08911958888330714,0.08911958865373887,Transport,1
loop_seattle/H/medium,TinyCast,100.23160530145447,100.23160525106424,6.263489386811468,1.276987176897529,0.1594410919429594,0.13876343846198083,51.0794870800845,10.011573567699259,0.17695344358732776,0.1107064746989295,0.11070647527399508,Transport,1
loop_seattle/H/long,TinyCast,94.31674504025843,94.31674601446939,6.031814150027816,1.2587695439920572,0.1831726239889727,0.13503496339323598,50.35078175934491,9.711680855560402,0.17356071147233443,0.1077965772267248,0.10779657719501021,Transport,1
m_dense/D/short,TinyCast,11315.425925925925,11315.423703703704,59.113622685185184,0.8250522374832813,0.14698489495256903,0.11898113674587674,33.002089513996786,106.37399083387783,0.18414910552846964,0.1023344208174376,0.10233442263226104,Transport,1
m_dense/H/short,TinyCast,73260.76513888889,73260.77180555556,135.95136881510416,1.149118237981549,0.46214900380206336,0.31418844646877714,45.96472951396043,270.667259081864,0.4800963178539402,0.2411438745740337,0.24114387702095227,Transport,1
m_dense/H/medium,TinyCast,83257.43777777778,83257.43777777778,151.42996527777777,1.276717157656562,0.6284322078764111,0.3576763576931424,51.06868630398796,288.5436496923434,0.5020295120122114,0.26346901639834,0.2634690313066763,Transport,1
