dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,55.84297447558896,55.842973404796744,4.2605673318553885,0.6711398525373926,0.11275295556760302,0.08936045575806231,26.84559410406236,7.4728156992922665,0.12814229051002649,0.0730593231180381,0.07305932358592818,Transport,1
loop_seattle/5T/medium,TinyCast,119.71543654057018,119.71543616768254,6.9222502836969495,1.0898490670510335,0.2305906038707501,0.15294724400444543,43.593962681995755,10.9414549553782,0.19467096671719214,0.12316105674074523,0.12316105675190145,Transport,1
loop_seattle/5T/long,TinyCast,126.91429989393419,126.91430041351336,6.954978056738046,1.0935854353628425,0.23750242856374207,0.1526313101645252,43.7434174138694,11.265624700562956,0.19917856102060855,0.12296544204972212,0.12296544227373521,Transport,1
loop_seattle/D/short,TinyCast,19.863688343154386,19.863688119547778,3.1197985283976615,0.9364061352439546,0.05678807266971521,0.05727603345709566,37.456245408302614,4.4568697920350315,0.07965021592955535,0.05575496661079695,0.055754967024131,Transport,1
loop_seattle/H/short,TinyCast,78.02159752756928,78.02159844254963,5.111449514049961,1.033521223851615,0.1528598239851648,0.1157117528378248,41.34084895569867,8.83298350092251,0.15635279019911927,0.09047785421541622,0.09047785379209598,Transport,1
loop_seattle/H/medium,TinyCast,96.68875544718298,96.68875585030476,5.9085248051536094,1.2035476772199887,0.16048128061127245,0.131852192824593,48.14190709041949,9.833044058031215,0.17379795446225735,0.10443251540060831,0.10443251360505562,Transport,1
loop_seattle/H/long,TinyCast,99.75727513867389,99.75727614647833,5.933985491983251,1.232306490110417,0.1992509655580104,0.13237190955194528,49.292259604928375,9.987856383562686,0.17849633712192317,0.1060482484106191,0.10604824920838501,Transport,1
m_dense/D/short,TinyCast,11745.498148148148,11745.496666666666,59.442824074074075,0.830572170093191,0.1460444830010077,0.12019110220449943,33.22288678356089,108.37664945987281,0.18761600370315387,0.1029043170940311,0.10290431780699746,Transport,1
m_dense/H/short,TinyCast,76145.02715277778,76145.03027777778,137.26952853732638,1.1578323108188089,0.41515459986745823,0.32294136259290906,46.31329242839237,275.9438840648181,0.4894557366237079,0.24348196168190533,0.24348196102816702,Transport,1
m_dense/H/medium,TinyCast,79730.14888888889,79730.15111111112,143.53864583333333,1.2043713048651625,0.47681841299713434,0.3375362481011285,48.17485219131053,282.36527564289645,0.49127992139609505,0.24973911711256117,0.24973911071749016,Transport,1
m_dense/H/long,TinyCast,82325.44790123457,82325.44790123457,149.899375,1.2628959636935686,0.5266576558097774,0.3495666202498071,50.515838553863716,286.92411523124815,0.4967080851015455,0.25949799114710187,0.2594979902089513,Transport,1
sz_taxi/15T/short,TinyCast,18.094747275514337,18.094747801840086,2.9216920581347194,0.5848989399460537,1449714359132.1233,0.4225893496593713,23.395957594479945,4.2537921053472205,0.39774777292732905,0.2731907156068436,0.27319071429500835,Transport,1
sz_taxi/15T/medium,TinyCast,19.196774005074786,19.196773170405983,3.111441639957265,0.607161846471424,11194024598978.555,0.4397504366361178,24.286473859802122,4.381412329954211,0.4077635179865024,0.2895715567431943,0.2895715660697873,Transport,1
sz_taxi/15T/long,TinyCast,20.184415064102563,20.18441478587963,3.2560070418224716,0.6126362330247266,7750248907434.093,0.4631439122039708,24.505449321721,4.492706874936597,0.41583690257387645,0.30137018076642147,0.3013701712223381,Transport,1
sz_taxi/H/short,TinyCast,8.357594025440704,8.357594155857706,2.033726586235894,0.6260843454138462,1.226975473583254,0.3172161028935359,25.04337381617718,2.89095036717006,0.26930986643219307,0.18945418140641845,0.1894541825146278,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1999653.442947761,1999653.4430161691,182.78814942098765,0.9705942107200292,2.4620854380724246,0.6524078505712849,38.8237683895487,1414.0910306439825,4.439896102102238,0.5739095818712157,0.5739095782447318,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,4012653.147644163,4012653.1286826422,312.97518900707587,1.4752379905383923,5.728040283379244,0.7422794877744043,59.009519589870045,2003.160789263848,6.086155621642537,0.9509050477720568,0.950905046904442,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3191895.512545246,3191895.3997542597,309.9057154217753,1.4936088815409905,4.022463583846258,0.7641798515616551,59.74435522285489,1786.587672784419,4.721417794489469,0.8189882767555161,0.8189882848401037,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,4401411.993783684,4401412.329859951,422.259392066352,1.1592042824081592,4.946897951615415,0.5858028477037889,46.36817126531993,2097.954240154843,5.979851004348644,1.203576418119233,1.203576421379881,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1770257.7997937668,1770257.8361656247,135.80754897503414,1.9642776392055492,1.7348318580616837,0.6444389856984103,78.57110588170083,1330.5103531328746,5.4440642813737705,0.5556852863076264,0.5556852784612061,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2318809.1456444585,2318809.137603753,161.47865742045911,5.154849422310626,0.8473749890385369,0.7454210606617153,206.1939778628948,1522.763653901832,6.407042925339971,0.6794230260015433,0.6794230369897509,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,4858089.428942208,4858089.466734136,292.62656618283154,4.452147540319557,5.711858690177495,0.7325530666131199,178.08590344905394,2204.107399593361,8.443438895553726,1.1209864506767153,1.1209864438691457,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,2518705.241643249,2518705.1752722813,212.42631686399938,6.032288990797361,3.5131974207834404,0.6111134855338312,241.29155836871047,1587.0429236927555,6.945676465174098,0.9296815149730225,0.9296814916482776,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,2371642.88,2371644.728888889,653.2159722222223,2.355275841843222,0.03240625169542101,0.03330146365695529,94.21103362634449,1540.0139220149927,0.05939218136054916,0.0251919290697503,0.025191927250068732,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,18411849.386666667,18411856.213333335,1846.9460416666666,6.329461272242899,0.08398088455200195,0.08636505126953126,253.17845097219694,4290.9030968627885,0.16849113573140345,0.07252413516925149,0.07252413692206677,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,18174902.044444446,18174908.87111111,2150.6183333333333,6.862923061816321,0.09081231011284722,0.09406723022460937,274.5169222640279,4263.203260981635,0.16441470926562238,0.0829407528495134,0.08294075214351225,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,23.129051571800595,23.12905825660342,2.947998809814453,0.3003182167411539,0.16263727136751846,0.21939827998479208,12.0127286679615,4.809267259344255,0.16516969753584398,0.1012462076851751,0.101246204647325,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,150.31998299319727,150.31998299319727,8.312819541879252,0.8091318546332105,0.5969544845115501,0.8783364224596089,32.365274182178844,12.260505005634853,0.645082861830683,0.43737655320828484,0.43737655693941746,Web/CloudOps,7
bizitobs_l2c/5T/long,TinyCast,325.10061507936507,325.10061507936507,12.545230654761905,1.1723721028610616,0.9277877412192422,1.172006603422619,46.89488410450603,18.030546721587925,1.0123882427013908,0.7043959461113609,0.7043959721449711,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast,63.34111095610119,63.34111870659722,5.351238916790675,0.542095967113969,0.5295353438928545,0.7068234398251488,21.68383869184694,7.958712895694956,0.4289950076939514,0.28844548237473905,0.2884454695820932,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast,120.61475074404763,120.6147693452381,6.620145670572916,0.6927241990926337,0.6205449913246176,0.9352956136067708,27.708967968610878,10.982474709465423,0.665005525079278,0.40085987577702714,0.40085988359072156,Web/CloudOps,7
bizitobs_l2c/H/long,TinyCast,93.71029265873015,93.7103050595238,6.465755595858135,0.6903191383053722,0.9259274423711323,0.8298242962549603,27.61276552330043,9.68040767006897,0.5913072398648865,0.3949470131148494,0.39494699443041204,Web/CloudOps,7
bizitobs_service/10S/short,TinyCast,10316.759564732143,10316.760283564814,32.81545766679068,1.4404767353797783,0.11863339964044158,0.0910613369815564,57.619069433503526,101.57145053966761,0.07524737986044146,0.02431074081572641,0.024310740918194077,Web/CloudOps,2
bizitobs_service/10S/medium,TinyCast,108253.9453968254,108253.93523809523,93.21040426587301,3.503994619883753,0.1565619332449777,0.1573536609468006,140.15978477052926,329.01967326715493,0.2476279520899058,0.07015234466872991,0.07015234638466002,Web/CloudOps,2
bizitobs_service/10S/long,TinyCast,200402.47534391534,200402.44825396826,121.62415343915345,3.653241650260655,0.1894153542493386,0.18477123119212963,146.12966600437193,447.66335045870727,0.331643321457401,0.09010306109417825,0.09010305671478834,Web/CloudOps,2
car_parts/M/short,TinyCast,1.3486492651240893,1.3486492813417474,0.5627822474336124,0.989402702509212,0.6320499559380215,1.7870663356672858,39.57610811251811,1.1613135946522324,2.784710871916965,1.3494940988954445,1.3494940709741623,Sales,1
covid_deaths/D/short,TinyCast,2820341.883865915,2820337.045426065,271.29137785870927,44.05691834318958,0.12075941129007949,0.1721220982468111,1762.2767330265142,1679.387353729304,0.6318776348865309,0.10207469636221912,0.1020747007912915,Healthcare,1
electricity/15T/short,TinyCast,189329.55468307907,189329.56822401992,71.05879677299981,1.3334621802565902,0.20698225628927205,0.20405212316625057,53.33848721640368,435.12016120041955,0.8577076183273142,0.14007089713616225,0.1400708975095615,Energy,1
electricity/15T/medium,TinyCast,545686.8646622326,545686.7975069328,84.18487785820489,1.2783018861519433,0.20915579032017728,0.19356668005816577,51.13207544464556,738.7062099794698,1.2728651779258906,0.1450590208746606,0.1450590232326706,Energy,1
electricity/15T/long,TinyCast,809507.74902759,809507.6817400056,97.02307020106043,1.397172947134358,0.21546220026059573,0.20130365293107982,55.88691788381335,899.7264856763916,1.419428870801489,0.15306579184856653,0.1530657956454447,Energy,1
electricity/D/short,TinyCast,2663605027.3625946,2663604652.710054,5593.770853603603,1.7110156138103974,0.6043149700656408,0.11292400298247467,68.44062456725368,51610.12524071798,0.8481257609422984,0.09192423268925605,0.09192423234107874,Energy,1
electricity/H/short,TinyCast,2675120.6079142033,2675121.032837486,235.33760814219983,1.2150653616567548,0.265434856955935,0.15660206692220935,48.60261446635586,1635.5795938792473,0.7721103697267158,0.11109615717465966,0.11109615580652157,Energy,1
electricity/H/medium,TinyCast,15614840.369921172,15614840.169375,379.8106712767455,1.5396689697253214,0.2996150293308735,0.18204690007982538,61.586758788853025,3951.561763394465,1.542424743201157,0.1482526181258154,0.14825261335603593,Energy,1
electricity/H/long,TinyCast,25530050.112168167,25530051.686918918,459.2045142642643,1.795638568513848,0.4060659958926107,0.20793446628992115,71.82554274169132,5052.726997589338,1.992794039285947,0.18111012514145722,0.18111013059914258,Energy,1
electricity/W/short,TinyCast,468334555451.04144,468335300685.9531,64422.30529279279,2.0731007055744604,0.27696190367555534,0.12627297435794865,82.92402822688149,684349.7318265284,1.5614602510743942,0.14699044117222534,0.14699044476411383,Energy,1
ett1/15T/short,TinyCast,5.460504368373326,5.460505476452055,1.230744661603655,0.7832668896872826,0.5619355361329579,0.2694475219363258,31.33067558060509,2.336772211486033,0.44174721648027027,0.2326619709824534,0.232661964523613,Energy,7
ett1/15T/medium,TinyCast,11.60023949032738,11.600240652901785,1.8351758587549603,1.1634498915866454,0.8389293693633944,0.44629652235243056,46.53799566632702,3.4059124313944684,0.6491702386350708,0.3497863125263948,0.3497863240846709,Energy,7
ett1/15T/long,TinyCast,11.520330016121031,11.520330016121031,1.9088592819940475,1.2425406287454372,0.9294396668566504,0.46862310500372023,49.70162514916994,3.3941611653133137,0.6469304740605518,0.36383046651861056,0.3638304555156896,Energy,7
ett1/D/short,TinyCast,46357.80317460318,46357.80952380953,140.85401785714285,1.693775535125679,1.3742908296130953,0.4775596981956845,67.75102136253624,215.3086230846391,0.5655152403917969,0.3699577500772912,0.36995774981487756,Energy,7
ett1/H/short,TinyCast,130.34941813151042,130.34942336309524,5.608762032645089,0.9162653982069946,0.5229017325810024,0.28643021810622443,36.650615886776265,11.41706696711158,0.5328812317395,0.2617838740106645,0.26178385938450366,Energy,7
