dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,53.53662227162144,53.53661958204334,4.133399801185379,0.652914794308587,0.10884586721504928,0.0868897282794287,26.11659176972492,7.316872437839916,0.12546820787287533,0.0708786807317817,0.070878680748744,Transport,1
loop_seattle/5T/medium,TinyCast,114.92005487495163,114.92005514705882,6.528684742143157,1.0344521970528904,0.22170508956515506,0.14466082243235365,41.37808788145426,10.720077186053823,0.19073220130255333,0.11615871703790781,0.1161587164702144,Transport,1
loop_seattle/5T/long,TinyCast,128.62335400900128,128.62335685772848,6.777538551879085,1.0707979586315681,0.23297452080018777,0.14862328860809218,42.83191834560157,11.341223655717283,0.20051516609156816,0.11982827512064352,0.11982827535553803,Transport,1
loop_seattle/D/short,TinyCast,19.87831172096717,19.878312546107054,3.1281649389749218,0.9375739593276624,0.05724419238520603,0.05749180742584638,37.50295836909966,4.458510033740775,0.07967952923959921,0.05590448554227326,0.055904486059380525,Transport,1
loop_seattle/H/short,TinyCast,76.35207652004492,76.35207638743907,5.104518324112453,1.0323352949299311,0.15653893661540463,0.11559733481508433,41.29341179625931,8.737967527980686,0.15467091085660872,0.09035516510521738,0.0903551644061831,Transport,1
loop_seattle/H/medium,TinyCast,86.22618769752967,86.22618968794343,5.639288449754902,1.157896994322976,0.16913377158536017,0.1246493328220458,46.31587977631178,9.285805710735588,0.1641255778511096,0.09967379291761991,0.09967379262857184,Transport,1
loop_seattle/H/long,TinyCast,104.0025980190596,104.00259370229726,6.110809613816058,1.2780506713961357,0.2122434110874403,0.13428454620550292,51.12202685668687,10.198166404754318,0.18225485816999512,0.10920833170075331,0.10920832852911062,Transport,1
m_dense/D/short,TinyCast,12866.651851851851,12866.646666666667,63.943501157407404,0.8738934861624885,0.1517929178949106,0.12536096643518518,34.955739443262715,113.4312648781272,0.19636629031706473,0.11069565455040828,0.11069565997898055,Transport,1
m_dense/H/short,TinyCast,69443.98493055555,69443.990625,133.05130859375,1.1232339091600332,0.41153443114842825,0.3165384440951877,44.92935635791152,263.5222664796194,0.467422880176006,0.23599988989502338,0.2359998861829948,Transport,1
m_dense/H/medium,TinyCast,74843.21777777778,74843.22444444445,140.90699652777778,1.1845635830181511,0.434555631059029,0.3513997226291233,47.382543323613305,273.5748851371006,0.47598575200187404,0.24516037965615203,0.24516039212480992,Transport,1
m_dense/H/long,TinyCast,80050.3150617284,80050.31901234567,146.54052469135803,1.240266641656788,0.44093925423871483,0.36730842496141974,49.61066566564903,282.9316437970988,0.4897965264851473,0.25368332442379893,0.25368332342845107,Transport,1
sz_taxi/15T/short,TinyCast,18.278335543342564,18.27833539429456,2.927903210287129,0.5862506434045978,1416598961678.1804,0.4246528921546517,23.45002573317244,4.27531701085926,0.3997604437438278,0.2737714849239027,0.2737714809543188,Transport,1
sz_taxi/15T/medium,TinyCast,20.09480710803953,20.094806690705127,3.1663024380675746,0.6228294494253085,11804582993822.889,0.4454552283653846,24.91317797462048,4.482723179947601,0.41719218287637805,0.2946772693199517,0.29467727228570334,Transport,1
sz_taxi/15T/long,TinyCast,22.938300169159543,22.938300447382478,3.416070852252493,0.6464031589862685,8324610654731.35,0.4754218555243946,25.85612636015398,4.789394551418743,0.4432977825855325,0.3161854004093303,0.3161854004141261,Transport,1
sz_taxi/H/short,TinyCast,8.363686977288662,8.363687629373665,2.032165136092748,0.6252232781136573,1.2303310867048736,0.3162271467029539,25.008931110695425,2.892003972557552,0.2694080162757186,0.18930872269005083,0.18930872742552327,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2060579.6046727048,2060579.6188848487,184.30454093973455,0.9629191909498411,2.5490413512859686,0.6426386428040431,38.51676760054454,1435.4719100953193,4.507026775643302,0.5786706762049229,0.5786706778992419,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3887064.2332700654,3887064.2556956112,308.1872917929704,1.2642768829984208,5.649242785406771,0.7480530810882814,50.57107526669867,1971.5639054491908,5.990155563591464,0.9363580939270869,0.9363581020310414,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3152399.716393043,3152399.7250065557,297.12786056829344,1.178503904101143,3.181280560023287,0.7802957399513555,47.14015613249138,1775.4998497305041,4.6921159886691495,0.7852202214847617,0.7852202172455208,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3629591.375182077,3629591.3637422994,353.743283299368,1.1355340074101214,4.403257711578484,0.5825805817174967,45.42136030444204,1905.1486491038113,5.430292446195607,1.0082832539584787,1.0082832603124787,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1766266.5014521251,1766266.4492171984,134.2450298168258,1.9349173947269962,1.6865565929276503,0.6297091003540018,77.39669589084129,1329.00959419115,5.437923609014208,0.5492919089707761,0.549291907283943,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2325573.4456541436,2325573.4417316406,156.98100182855256,4.769113809215031,0.6432529640957535,0.7493959499485107,190.76455134613164,1524.9830968421072,6.416381253157456,0.6604990962328608,0.6604991046006464,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,5070312.99400285,5070313.052331957,294.4936079110383,3.7964551968769378,5.8120246136188225,0.7405276289109123,151.85820814742405,2251.7355515252784,8.62589161569771,1.1281386669210194,1.128138648031441,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,2547735.1876144167,2547735.106786304,214.72370491598548,6.046594533056306,3.551879922625222,0.6013779327295212,241.86378393617105,1596.1626444740575,6.985588826115327,0.9397360093322069,0.9397360245488124,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,2802978.4177777776,2802979.5555555555,659.3429166666666,2.3889828861543076,0.03296205308702257,0.03410080379909939,95.55931534756702,1674.2097890580433,0.06456757955618925,0.02542822082687567,0.025428222175535635,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,20290827.946666665,20290814.293333333,1961.4516666666666,6.684475290848083,0.08909868240356446,0.09155620574951172,267.3790111216327,4504.534154234671,0.176879798600627,0.07702043405281053,0.07702044419628343,Web/CloudOps,2
