dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,56.04420132002225,56.04420062085792,4.281273848747198,0.6742699800640383,0.11380169347343799,0.08952885316252339,26.97079919780185,7.486267515926896,0.128372959465939,0.073414394166191,0.07341439438193438,Transport,1
loop_seattle/5T/medium,TinyCast,129.37994363349782,129.37994403661958,7.138315583377676,1.1298683194699737,0.23833013414475449,0.15550700145363192,45.194732777514496,11.374530479694439,0.20237627020050597,0.1270053024040893,0.12700530286744108,Transport,1
loop_seattle/5T/long,TinyCast,145.4318111096778,145.43180779512096,7.463535095781734,1.182932516775924,0.25124819665993453,0.16009711588485678,47.31730067037336,12.059511230131916,0.21321463809366145,0.13195683506395608,0.1319568352590123,Transport,1
loop_seattle/D/short,TinyCast,20.44418040808017,20.444183091359488,3.1524413944397915,0.9447891594496313,0.057456704694297166,0.057941625115795155,37.791566378908996,4.521524124460708,0.08080567520451319,0.05633833822588469,0.056338337374592436,Transport,1
loop_seattle/H/short,TinyCast,75.87539121376996,75.8753918767992,5.081840834633931,1.0281149977878568,0.15065064924141797,0.11534036289090976,41.124599914032345,8.710648151186566,0.15418733010636554,0.0899537504807807,0.08995375004125715,Transport,1
loop_seattle/H/medium,TinyCast,101.08362845626532,101.08363171903218,6.212735432564782,1.2663729965786712,0.16216873054779965,0.13723819578149124,50.65491986299927,10.054035431420823,0.17770395228167613,0.10980940423154553,0.109809405104982,Transport,1
loop_seattle/H/long,TinyCast,106.20935509586236,106.20935822005612,6.362666426305308,1.3234247866406965,0.19466818254101428,0.14077299877175933,52.93699146895161,10.305792308011178,0.18417827684694005,0.11370934941487652,0.11370934884351912,Transport,1
m_dense/D/short,TinyCast,13438.028148148149,13438.031111111111,64.97208333333333,0.86506250888122,0.1519125563025563,0.12436913949471932,34.602500373821044,115.9225092384915,0.2006790026353453,0.11247628237281543,0.1124762871043194,Transport,1
m_dense/H/short,TinyCast,69338.92590277777,69338.92097222223,133.97736870659722,1.1402631874880336,0.42848631697430556,0.31873884307013617,45.61052749734281,263.3228548811853,0.4670691736565314,0.23764248993389578,0.23764249021667944,Transport,1
m_dense/H/medium,TinyCast,78177.81333333334,78177.80888888889,147.33200520833333,1.2496412772432715,0.5212856396657899,0.3472367011176215,49.985651090906686,279.60295658904136,0.48647383507914604,0.2563390833843842,0.2563390899863458,Transport,1
m_dense/H/long,TinyCast,84628.97777777778,84628.98172839507,156.00559413580248,1.323560148665122,0.5707518760255735,0.36225070529513886,52.942405950065606,290.9106010061816,0.5036092816564459,0.2700687596993039,0.2700687688085679,Transport,1
sz_taxi/15T/short,TinyCast,18.04531797471937,18.04531764867687,2.908260571942079,0.5824376981304735,1379804130244.9565,0.42370892982925396,23.297507927113948,4.247978104312612,0.39720413894004375,0.27193481414576576,0.27193481104926787,Transport,1
sz_taxi/15T/medium,TinyCast,18.830981653979702,18.830982488648505,3.0183355869391026,0.5940355243384903,11864275898165.844,0.45853873358832464,23.761420969249475,4.339467899867413,0.4038598889545573,0.28090648510294525,0.28090649073092133,Transport,1
sz_taxi/15T/long,TinyCast,19.757463051994304,19.757461382656697,3.1173570421006946,0.5933771774107843,7048219333741.033,0.48497665709579774,23.735087099221133,4.444936788301303,0.4114153889040386,0.2885369850937155,0.2885369901663114,Transport,1
sz_taxi/H/short,TinyCast,8.3024655855619,8.302464020557892,2.021607097397503,0.6222412434226632,1.1611417705177243,0.3156156702938243,24.889649727059446,2.8813999350249695,0.26842018474323287,0.1883251762331167,0.18832517375660798,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1990208.4175272372,1990208.400265299,186.01819327577638,0.9352336711948316,2.6311498429635014,0.6599462191159339,37.40934685647869,1410.7474676664272,4.429398141285372,0.5840511207182337,0.5840511178428478,Web/CloudOps,2
