dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,53.16823807943716,53.168237852681166,4.12793027328633,0.6513849689503285,0.11094097392354833,0.08654764345678875,26.05539875578222,7.291655373057421,0.12503579088693592,0.07078489040411992,0.0707848906265546,Transport,1
loop_seattle/5T/medium,TinyCast,118.63991650340235,118.63991679566564,6.64086506405605,1.053134662138583,0.2270849620397861,0.1461851622716315,42.12538648529741,10.89219521048913,0.19379453463417343,0.11815463547859877,0.11815463476322417,Transport,1
loop_seattle/5T/long,TinyCast,134.7630300961759,134.7630292540993,7.004669238583591,1.1100689810560314,0.24014504454439625,0.15170431946521643,44.402759242251264,11.608747998650669,0.20524505148006267,0.12384399236170922,0.12384399225361177,Transport,1
loop_seattle/D/short,TinyCast,19.54174334798681,19.541742003197765,3.0643951416015627,0.9205757574808527,0.056034671177682,0.05632249163646324,36.8230302963986,4.420604409804932,0.07900210511183357,0.054764834090115205,0.05476483414112239,Transport,1
loop_seattle/H/short,TinyCast,76.68486317914349,76.68486469748045,5.0619930097225545,1.0236580003232172,0.14980205330038815,0.11485748462988833,40.94632001520594,8.756989390146792,0.15500761716021985,0.08960242379665939,0.08960242412303203,Transport,1
loop_seattle/H/medium,TinyCast,93.50707123464106,93.50707046619017,5.7820963762123885,1.1775384410673386,0.16018642404869246,0.12814644765804672,47.101537647116615,9.669905440832451,0.17091449764099062,0.10219790705285924,0.10219790502874807,Transport,1
loop_seattle/H/long,TinyCast,104.95111590826023,104.95111768871475,6.103476893815709,1.272020028242924,0.20394857473540726,0.13420418449640684,50.88080113287337,10.244565188833553,0.18308406642920524,0.10907728619800089,0.10907728644405007,Transport,1
m_dense/D/short,TinyCast,12886.36,12886.365185185185,63.343781828703705,0.8487541055653393,0.14791370728353467,0.12216454399956597,33.95016423989446,113.5181042829733,0.19651662216605972,0.10965745172391671,0.10965745122985426,Transport,1
m_dense/H/short,TinyCast,71364.7838888889,71364.78333333334,131.83344889322916,1.118298013464372,0.40066254234540066,0.3081398010253906,44.731920533420265,267.1418796985768,0.4738431726944716,0.23383971004960694,0.2338397064564809,Transport,1
m_dense/H/medium,TinyCast,73389.96888888889,73389.97333333333,135.89124565972222,1.154037666670957,0.39902378794922827,0.32306282891167537,46.16150666342031,270.90583029696666,0.47134193363901983,0.2364336065549259,0.23643360261981336,Transport,1
m_dense/H/long,TinyCast,75015.85580246913,75015.85185185185,139.7748186728395,1.2040583668616123,0.4080550638661414,0.33582426094714507,48.16233467381801,273.89022582499933,0.4741444945745332,0.24197088652672688,0.24197087786006055,Transport,1
sz_taxi/15T/short,TinyCast,18.20585687285669,18.205856644626937,2.919911332182832,0.5845888307038728,1563778287410.7844,0.4242093292348114,23.383553223827608,4.266832182410821,0.39896707595916453,0.27302421010680594,0.27302420653492876,Transport,1
sz_taxi/15T/medium,TinyCast,18.54337356436966,18.54337419037126,3.0218834510216346,0.5938170399561957,11184728644722.691,0.43196281367896966,23.752681595107624,4.306201756115203,0.4007639192569535,0.2812366730493617,0.2812366687852614,Transport,1
sz_taxi/15T/long,TinyCast,19.574116363960115,19.574115807514247,3.102625242053953,0.588056390987645,7331372318076.588,0.44329312316372865,23.522255639115176,4.424264499773958,0.4095019988989438,0.28717343606385337,0.28717344821434243,Transport,1
sz_taxi/H/short,TinyCast,8.330013046916733,8.330013568584736,2.0263317466801047,0.6228167900163731,1.1879252246302416,0.31660065691695255,24.912671604821334,2.886176198175838,0.26886512312952016,0.1887653064690716,0.18876530571086214,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2106417.2609500396,2106417.2900967337,189.65687847740423,0.9288826470539452,2.6632908240771362,0.6512329464321063,37.15530587510596,1451.3501510490291,4.5568805252187525,0.5954756923288234,0.5954756884938344,Web/CloudOps,2
