dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,56.71051921076819,56.71051972096919,4.234405747483512,0.667973317732401,0.11323601331012045,0.08908488637276601,26.71893270983611,7.530638698727233,0.12913382728678097,0.0726107097064828,0.07261070947052048,Transport,1
loop_seattle/5T/medium,TinyCast,137.10763652726715,137.10763806920795,7.132562584655573,1.1269279365358613,0.24242890211327772,0.1552388044973399,45.07711745944443,11.70929701251391,0.20833245471475062,0.12690294473526717,0.1269029447432906,Transport,1
loop_seattle/5T/long,TinyCast,152.9539560937679,152.95395641626533,7.447700971881808,1.1724296076562821,0.2600605614181779,0.15935610506652406,46.89718430596078,12.36745552220698,0.2186591564936891,0.13167688449776585,0.13167688344414769,Transport,1
loop_seattle/D/short,TinyCast,19.20915291139585,19.2091553868155,2.990358884514178,0.9023254489721402,0.054930597734402085,0.055104240987323014,36.09301796082745,4.382824763938874,0.07832693238043555,0.05344170729063703,0.053441706604678396,Transport,1
loop_seattle/H/short,TinyCast,79.04645046238068,79.04645064802887,5.132738645173487,1.0383863891905611,0.15156227745527318,0.11599164687404226,41.53545556881907,8.89080707598476,0.15737632627833043,0.09085469348515228,0.09085469372297264,Transport,1
loop_seattle/H/medium,TinyCast,98.94364885422713,98.94364677563048,6.264625161941575,1.2754037710291122,0.16838824982736625,0.13766817207552945,51.016150840965125,9.947042216369,0.17581285916670536,0.11072654939738268,0.1107265502102616,Transport,1
loop_seattle/H/long,TinyCast,100.37572524966676,100.3757237379601,6.145061021298939,1.2756485583919408,0.2007307458752244,0.13594129045353257,51.02594233943627,10.018768649373373,0.17904878061004015,0.1098204501115693,0.10982044632264629,Transport,1
m_dense/D/short,TinyCast,11344.873333333333,11344.875185185185,58.00341435185185,0.8118492479170044,0.144478081773174,0.11691744203920718,32.47396987962288,106.51231540687364,0.1843885658156141,0.10041248604813048,0.10041248204059922,Transport,1
m_dense/H/short,TinyCast,74097.50291666666,74097.50041666666,135.34252875434026,1.14598091099572,0.441498102781688,0.3187448543972439,45.83923643389817,272.20856510526386,0.48283021093369594,0.2400639439155335,0.24006394125703523,Transport,1
m_dense/H/medium,TinyCast,83365.55111111111,83365.55333333333,146.65279947916667,1.2238586958601778,0.5107423235967877,0.35100872463650173,48.95434783841988,288.730932030344,0.5023553596295656,0.25515735118846516,0.2551573412407642,Transport,1
m_dense/H/long,TinyCast,83855.98419753087,83855.97234567901,152.0883410493827,1.2882833410916845,0.5504224201987677,0.3627325213396991,51.53133364475939,289.57897747856435,0.5013040443572184,0.2632874151690768,0.2632874086085581,Transport,1
