dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,54.5902200326831,54.59021964215888,4.225915215554252,0.6666738130658793,0.11280924808868313,0.08847713330212761,26.666952525163442,7.388519475015485,0.12669679637570752,0.07246511582957682,0.07246511619398574,Transport,1
loop_seattle/5T/medium,TinyCast,124.08284487067853,124.0828443163861,6.9159947987212975,1.0918224074960867,0.23080228409900017,0.1523010384605888,43.67289630193014,11.139247949061845,0.1981901105099796,0.12304975880893806,0.1230497588910644,Transport,1
loop_seattle/5T/long,TinyCast,136.37478996459694,136.37479044834308,7.066517632546439,1.1121923651440426,0.23912198271749763,0.1550630386574746,44.48769460757594,11.67796172131922,0.20646876432781203,0.12493748468356335,0.12493748514261169,Transport,1
loop_seattle/D/short,TinyCast,19.679154516324417,19.679155111558913,3.158384502241609,0.9464144069192593,0.057800653893635125,0.0579218491435174,37.85657627962789,4.436119308170647,0.07927937706785139,0.056444549500118756,0.0564445497147007,Transport,1
loop_seattle/H/short,TinyCast,71.93993257470059,71.93993128842386,4.962186963675651,1.0048807141548857,0.1452815809421333,0.11270055164305871,40.195228564955976,8.481741128724726,0.15013544303396886,0.08783575528917885,0.08783575527658583,Transport,1
loop_seattle/H/medium,TinyCast,93.91423929409346,93.91423967202013,6.0152621463110325,1.2238484676889814,0.15454258372540075,0.13348574119209627,48.953938712681776,9.690935934887479,0.1712862092723556,0.10631908597310044,0.10631908628796972,Transport,1
loop_seattle/H/long,TinyCast,90.7420865347921,90.74208920547386,5.846628950845346,1.2134817741015282,0.18122129194261613,0.1317106721981063,48.53927096653242,9.52586408336756,0.1702399175062912,0.10448707031414405,0.10448707047998153,Transport,1
m_dense/D/short,TinyCast,11150.886666666667,11150.89037037037,58.86578125,0.8340544532084522,0.14784337998850422,0.12062423706054687,33.36217813642993,105.59775881460111,0.18280533313719405,0.10190537064977473,0.10190536658843467,Transport,1
m_dense/H/short,TinyCast,71531.33159722222,71531.33409722222,135.42478678385416,1.1410509159456037,0.43574573827266994,0.32015823152330186,45.6420366437558,267.4534194906138,0.4743957667079821,0.24020984917654475,0.2402098523080249,Transport,1
m_dense/H/medium,TinyCast,80373.70444444445,80373.7,145.93091145833333,1.2266903363395192,0.5303277401182844,0.3471194118923611,49.06761344752757,283.50256514614546,0.4932586615102562,0.2539013571951375,0.25390136131955404,Transport,1
m_dense/H/long,TinyCast,86251.2237037037,86251.23160493826,155.3012885802469,1.3165878622123504,0.605120532708056,0.36279670621141974,52.66351449300649,293.68558647591766,0.5084131919786797,0.26884950260219853,0.26884950947993935,Transport,1
sz_taxi/15T/short,TinyCast,18.012014493837462,18.012015024820965,2.909085891476772,0.582492677852475,1324612128915.4387,0.4216480611735939,23.29970711252032,4.244056372603628,0.3968374402357732,0.2720119850555676,0.2720119835167354,Transport,1
sz_taxi/15T/medium,TinyCast,20.475305488782052,20.475306323450855,3.2611532097188833,0.6408647117168081,11620707344931.307,0.454712892190004,25.63458846897152,4.524964694755314,0.4211234605982473,0.30350471613837887,0.3035047041351364,Transport,1
sz_taxi/15T/long,TinyCast,24.2944989761396,24.294499810808404,3.61354403156161,0.6824230350346836,8180166988927.698,0.48694378018718837,27.296921398254508,4.928945016546604,0.4562143237236258,0.33446316424106876,0.3344631567639807,Transport,1
sz_taxi/H/short,TinyCast,8.277233025966547,8.277233156383547,2.0248907040327024,0.6235306104351241,1.2605111211793036,0.3162718349032932,24.941224413417885,2.8770180788390167,0.26801198779956853,0.1886310644539536,0.18863106854921174,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2008082.6641723623,2008082.6752268586,184.73579664485072,0.969487008946249,2.5793494910442027,0.6510173216759528,38.77948035173864,1417.0683343340795,4.449244099340023,0.5800247124604833,0.5800247137524063,Web/CloudOps,2
