entry,board_model,model_type,testdata_leakage,org,replication_code_available,n_configurations,nGMASE,nCRPS,nMSIS,census_disposition,disposition_basis,parameters,parameters_source
CHARM,CHARM,zero-shot,No,C3 AI,No,97,0.7582,0.4776,0.4396,excluded: size cannot be established,no weight files in its released repository,,not establishable
CastStar,CastStar,agentic,No,USTC-AGI,Yes,97,0.6705,0.4581,0.3934,out of scope: agentic or ensemble entry,its own board metadata,,
Chronos_small,Chronos_small,pretrained,Yes,AWS AI Labs,Yes,97,0.8917,0.6630,1.0690,excluded: declares test-data leakage,its own board metadata,,
CleanTS-65M,CleanTS-65M,zero-shot,No,Shandong University,Yes,97,0.7981,0.5433,0.5250,excluded: above the 10M cut,2026-07-23 sweep,,verified above the cut in the sweep; count not recorded per entry
Cobra-Agent,Cobra-Agent,agentic,No,Dalpha AI,No,97,0.6782,0.4624,0.3889,out of scope: agentic or ensemble entry,its own board metadata,,
Credence,Credence,agentic,No,ContinualIST,Yes,97,0.6907,0.4722,0.3960,out of scope: agentic or ensemble entry,its own board metadata,,
DLinear,DLinear,deep-learning,No,The Chinese University of Hong Kong,No,97,1.0608,0.8456,2.8414,out of scope: per-dataset supervised,its own board metadata,,
DeOSAlphaTimeGPTPredictor-2025,DeOSAlphaTimeGPTPredictor-2025,zero-shot,No,vencortex®,No,97,0.6815,0.4663,0.3972,excluded: size cannot be established,no weight files in its released repository,,not establishable
FFM,FFM,deep-learning,No,IBM Research,No,97,1.0169,0.7038,0.5897,out of scope: per-dataset supervised,its own board metadata,,
FLAIR,FLAIR,statistical,No,Mellon Inc.,Yes,97,0.8384,0.5871,0.5376,out of scope: fitted per series at inference,its own board metadata,,
Falcon-2.0,Falcon-2.0,pretrained,No,ant-intl,Yes,97,0.6660,0.4863,0.6076,excluded: above the 10M cut,2026-07-23 sweep,2490000000,the only released Falcon-TST checkpoint
Falcon-X,Falcon-X,pretrained,No,ant-intl,Yes,97,0.6873,0.4857,0.4911,excluded: above the 10M cut,2026-07-23 sweep,2490000000,links the same repository as Falcon-2.0
FlowState-9.1M,FlowState-9.1M,zero-shot,No,IBM Research,Yes,97,0.7262,0.5019,0.5632,admitted to the census,at or below the 10M cut,9069312,"released safetensors, r1.0"
FlowState-r1.1,FlowState-r1.1,zero-shot,No,IBM TSFM,Yes,97,0.7015,0.4866,0.7079,excluded: above the 10M cut,2026-07-23 sweep,18524928,raw safetensors header at revision r1.1
Granite-FlowState-r1.1,Granite-FlowState-r1.1,zero-shot,No,IBM TSFM,Yes,97,0.7014,0.4901,0.7312,excluded: above the 10M cut,2026-07-23 sweep,,verified above the cut in the sweep; count not recorded per entry
