model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,dataset_fingerprint,trained_on_this_dataset,fev_version,MASE,WQL,model_config
tirex,autogluon/chronos_datasets,monash_traffic,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_traffic,0.7834552518440312,,0.7508214160334319,a395745939b7b0f3,False,0.6.0,0.7834552518440312,0.2310622076140969,"{'model_name': 'TiRex', 'batch_size': 512, 'device_map': 'cuda', 'compile': False, 'cuda_kernel': True}"
tirex,autogluon/chronos_datasets,monash_australian_electricity,48,1,-48,48,1,,48,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_australian_electricity,0.987883060369201,,0.0420677489601075,c3fa76db06a6f37a,False,0.6.0,0.987883060369201,0.0539285193813948,"{'model_name': 'TiRex', 'batch_size': 512, 'device_map': 'cuda', 'compile': False, 'cuda_kernel': True}"
tirex,autogluon/chronos_datasets,ercot,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],ercot,0.6789813503774829,,0.02338183298707,95b91121d95f89c8,False,0.6.0,0.6789813503774829,0.0201700175402146,"{'model_name': 'TiRex', 'batch_size': 512, 'device_map': 'cuda', 'compile': False, 'cuda_kernel': True}"
tirex,autogluon/chronos_datasets_extra,ETTm,24,1,-96,24,1,,96,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTm,0.637932851659877,,0.0231399260228499,730871c2db10b1a1,False,0.6.0,0.637932851659877,0.0539254503883096,"{'model_name': 'TiRex', 'batch_size': 512, 'device_map': 'cuda', 'compile': False, 'cuda_kernel': True}"
tirex,autogluon/chronos_datasets_extra,ETTh,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTh,0.8037293136438521,,0.0214844270376488,a131c452cbd99048,False,0.6.0,0.8037293136438521,0.0807432483865879,"{'model_name': 'TiRex', 'batch_size': 512, 'device_map': 'cuda', 'compile': False, 'cuda_kernel': True}"
tirex,autogluon/chronos_datasets,exchange_rate,30,1,-30,30,1,,5,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],exchange_rate,2.399076175796905,,0.0208723570103757,a8476b6fa723f5ed,False,0.6.0,2.399076175796905,0.0163393578847585,"{'model_name': 'TiRex', 'batch_size': 512, 'device_map': 'cuda', 'compile': False, 'cuda_kernel': True}"
tirex,autogluon/chronos_datasets,nn5,56,1,-56,56,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],nn5,0.54796645878329,,0.1228838160168379,91434e4cabb44eab,False,0.6.0,0.54796645878329,0.14286413770732,"{'model_name': 'TiRex', 'batch_size': 512, 'device_map': 'cuda', 'compile': False, 'cuda_kernel': True}"
tirex,autogluon/chronos_datasets,monash_nn5_weekly,8,1,-8,8,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_nn5_weekly,0.9111142422413628,,0.0624859980307519,480088d6b89d7100,False,0.6.0,0.9111142422413628,0.0833096031076248,"{'model_name': 'TiRex', 'batch_size': 512, 'device_map': 'cuda', 'compile': False, 'cuda_kernel': True}"
tirex,autogluon/chronos_datasets,monash_weather,30,1,-30,30,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_weather,0.7932498081273366,,1.8624985249480233,980478e7349a0e49,False,0.6.0,0.7932498081273366,0.1270313258875581,"{'model_name': 'TiRex', 'batch_size': 512, 'device_map': 'cuda', 'compile': False, 'cuda_kernel': True}"
tirex,autogluon/chronos_datasets,monash_covid_deaths,30,1,-30,30,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_covid_deaths,38.94237672670736,,0.1361020519980229,6cdf94c2ac2fae09,False,0.6.0,38.94237672670736,0.0346185985659997,"{'model_name': 'TiRex', 'batch_size': 512, 'device_map': 'cuda', 'compile': False, 'cuda_kernel': True}"
