model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,dataset_fingerprint,trained_on_this_dataset,fev_version,MASE,WQL,model_config
ttm-r2,autogluon/chronos_datasets,monash_traffic,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_traffic,0.8412541856718124,,0.2726482930593192,a395745939b7b0f3,False,0.6.0,0.8412541856718124,0.2876974881569402,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,monash_australian_electricity,48,1,-48,48,1,,48,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_australian_electricity,1.3953979380605428,,0.0090971610043197,c3fa76db06a6f37a,False,0.6.0,1.3953979380605428,0.0849448308877599,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,ercot,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],ercot,1.042539728405785,,0.0075130499899387,95b91121d95f89c8,False,0.6.0,1.042539728405785,0.0455129176104425,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets_extra,ETTm,24,1,-96,24,1,,96,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTm,0.914699718912687,,0.0070133119588717,730871c2db10b1a1,False,0.6.0,0.914699718912687,0.1060857504513606,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets_extra,ETTh,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTh,0.9850124747511392,,0.005636366084218,a131c452cbd99048,False,0.6.0,0.9850124747511392,0.1360499723120509,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,exchange_rate,30,1,-30,30,1,,5,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],exchange_rate,1.7924647722722955,,0.0056682259310036,a8476b6fa723f5ed,False,0.6.0,1.7924647722722955,0.0172487760144709,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,nn5,56,1,-56,56,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],nn5,1.031253336464725,,0.0079690980492159,91434e4cabb44eab,False,0.6.0,1.031253336464725,0.3415986529882676,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,monash_nn5_weekly,8,1,-8,8,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_nn5_weekly,1.0533969057117043,,0.0069328099489212,480088d6b89d7100,False,0.6.0,1.0533969057117043,0.1238917572389653,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,monash_weather,30,1,-30,30,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_weather,0.8761856944463523,,0.3851338080130517,980478e7349a0e49,False,0.6.0,0.8761856944463523,0.1818518445570319,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,monash_covid_deaths,30,1,-30,30,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_covid_deaths,53.485857944551235,,0.0139549619052559,6cdf94c2ac2fae09,False,0.6.0,53.485857944551235,0.1230052377372834,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,monash_fred_md,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_fred_md,0.6588994124448552,,0.0091152909444645,a508fc699f3f3683,False,0.6.0,0.6588994124448552,0.0559382786377397,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,m4_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m4_quarterly,2.027404524409828,,0.7005198140395805,97b166b18d38e710,False,0.6.0,2.027404524409828,0.1388260527012457,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,m4_yearly,6,1,-6,6,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m4_yearly,5.141139182928453,,0.709328658063896,020f5777849c9c62,False,0.6.0,5.141139182928453,0.1967624448428824,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,dominick,8,1,-8,8,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],dominick,1.2675175372926948,,2.811604851973243,ab1a8018332665ab,False,0.6.0,1.2675175372926948,0.561403370214305,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,m5,28,1,-28,28,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m5,1.0937685415663352,,0.9119329770328476,78a5b1db66dfb76c,False,0.6.0,1.0937685415663352,0.7782125211855014,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,monash_tourism_monthly,24,1,-24,24,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_monthly,2.4906590385138383,,0.0164155759848654,3ce75ace84bef572,False,0.6.0,2.4906590385138383,0.1993758173563469,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,monash_tourism_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_quarterly,3.2241120753278003,,0.015506486990489,f34c4184775eda7e,False,0.6.0,3.2241120753278003,0.1647076676813375,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,monash_tourism_yearly,4,1,-4,4,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_yearly,3.2662337989757715,,0.0217231820570305,7c477aee96f482c4,False,0.6.0,3.2662337989757715,0.2045420440988177,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
ttm-r2,autogluon/chronos_datasets,monash_car_parts,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_car_parts,1.5749661994482524,,0.0875741300405934,1ba8c4719a51b23c,False,0.6.0,1.5749661994482524,2.2852225655820493,"{'context_length': 512, 'model_name': 'ibm-granite/granite-timeseries-ttm-r2', 'batch_size': 256, 'device': 'cuda'}"
