dataset,declared_seasonality,detector_firing_rate
bitbrains_fast_storage/5T/long,288,0.79
bitbrains_fast_storage/5T/medium,288,0.77
bitbrains_fast_storage/5T/short,288,0.83
bitbrains_fast_storage/H/short,24,0.71
bitbrains_rnd/5T/long,288,0.82
bitbrains_rnd/5T/medium,288,0.81
bitbrains_rnd/5T/short,288,0.84
bitbrains_rnd/H/short,24,0.79
bizitobs_application/10S/long,360,1
bizitobs_application/10S/medium,360,1
bizitobs_application/10S/short,360,1
bizitobs_l2c/5T/long,288,0.9143
bizitobs_l2c/5T/medium,288,0.9184
bizitobs_l2c/5T/short,288,0.8571
bizitobs_l2c/H/long,24,1
bizitobs_l2c/H/medium,24,1
bizitobs_l2c/H/short,24,1
bizitobs_service/10S/long,360,0.9048
bizitobs_service/10S/medium,360,0.9048
bizitobs_service/10S/short,360,1
car_parts/M/short,12,0
covid_deaths/D/short,1,0.025
electricity/15T/long,96,1
electricity/15T/medium,96,1
electricity/15T/short,96,1
electricity/D/short,1,0.99
electricity/H/long,24,1
electricity/H/medium,24,1
electricity/H/short,24,1
electricity/W/short,1,0.795
ett1/15T/long,96,1
ett1/15T/medium,96,1
ett1/15T/short,96,1
ett1/D/short,1,1
ett1/H/long,24,1
ett1/H/medium,24,1
ett1/H/short,24,1
ett1/W/short,1,0.4286
ett2/15T/long,96,1
ett2/15T/medium,96,1
ett2/15T/short,96,1
ett2/D/short,1,1
ett2/H/long,24,1
ett2/H/medium,24,1
ett2/H/short,24,1
ett2/W/short,1,0.5714
hierarchical_sales/D/short,1,1
hierarchical_sales/W/short,1,0.455
hospital/M/short,12,0.18
jena_weather/10T/long,144,0.994
jena_weather/10T/medium,144,0.995
jena_weather/10T/short,144,0.99
jena_weather/D/short,1,0.1429
jena_weather/H/long,24,0.9762
jena_weather/H/medium,24,1
jena_weather/H/short,24,1
kdd_cup_2018/D/short,1,0.785
kdd_cup_2018/H/long,24,1
kdd_cup_2018/H/medium,24,1
kdd_cup_2018/H/short,24,1
loop_seattle/5T/long,288,1
loop_seattle/5T/medium,288,1
loop_seattle/5T/short,288,1
loop_seattle/D/short,1,0.975
loop_seattle/H/long,24,1
loop_seattle/H/medium,24,1
loop_seattle/H/short,24,1
m4_daily/D/short,1,0.76
m4_hourly/H/short,24,1
m4_monthly/M/short,12,0.52
m4_quarterly/Q/short,4,0.115
m4_weekly/W/short,1,0.86
m4_yearly/A/short,1,0.055
m_dense/D/short,1,1
m_dense/H/long,24,1
m_dense/H/medium,24,1
m_dense/H/short,24,1
restaurant/D/short,1,0.79
saugeen/D/short,1,1
saugeen/M/short,12,1
saugeen/W/short,1,1
solar/10T/long,144,1
solar/10T/medium,144,1
solar/10T/short,144,1
solar/D/short,1,0.015
solar/H/long,24,1
solar/H/medium,24,1
solar/H/short,24,1
solar/W/short,1,0
sz_taxi/15T/long,96,0.9936
sz_taxi/15T/medium,96,0.9936
sz_taxi/15T/short,96,0.97
sz_taxi/H/short,24,0.995
temperature_rain/D/short,1,1
us_births/D/short,1,1
us_births/M/short,12,1
us_births/W/short,1,1
