dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,44.412988848139996,44.412988848139996,3.7487896347439573,0.5950740131699744,0.10397633886189653,0.07915514829358081,4.888935063975343,6.664307079369917,0.11427815273077382,0.064283465532521,0.051492920795795365,Transport,1
loop_seattle/5T/medium,TinyCast,97.5600112874097,97.5600112874097,5.9364392228416865,0.9408054585319391,0.19905957571370192,0.13264974954327563,10.03683427229194,9.877247151277004,0.17573652309362936,0.1056214522731636,0.0872166359194813,Transport,1
loop_seattle/5T/long,TinyCast,112.86307144751176,112.86307144751176,6.381716087156719,1.008038812100407,0.21310052378955968,0.14095534303759424,13.293730606616258,10.623703283107627,0.1878292583751305,0.11283005255966191,0.09554197301777195,Transport,1
loop_seattle/D/short,TinyCast,19.084591564576076,19.084591564576076,2.9408496159887165,0.8874714767513721,0.05419646047586258,0.054367539412712045,7.801953420810526,4.368591485201618,0.07807256467895275,0.05255691053583511,0.043064540136702426,Transport,1
loop_seattle/H/short,TinyCast,63.298739279082476,63.298739279082476,4.363341194473158,0.8875990759225245,0.11906725004089565,0.0998509306397691,6.803238962700496,7.956050482436777,0.14083018402152817,0.07723557620993922,0.0608439700347726,Transport,1
loop_seattle/H/medium,TinyCast,74.56005792607957,74.56005792607957,4.875631687097382,1.0059963171031234,0.1307466889805592,0.11051466496982319,9.114168276966957,8.634816612185784,0.1526194183101304,0.0861762450089695,0.07017649878032389,Transport,1
loop_seattle/H/long,TinyCast,69.1994099053067,69.1994099053067,4.725121411040431,0.9910243165263637,0.1450630662036918,0.10829483297300126,11.476310625295019,8.318618268997964,0.14866482195071407,0.0844442322694113,0.0700252382215972,Transport,1
m_dense/D/short,TinyCast,11009.81962962963,11009.81962962963,54.9755078125,0.7838755893609678,0.139654817008548,0.11347902933756511,7.585271133068216,104.92768762166462,0.18164534083219208,0.09517073215251685,0.0794376015964479,Transport,1
m_dense/H/short,TinyCast,52270.524305555555,52270.524305555555,103.11736626519097,0.8972843412942613,0.32751926193093667,0.2446183967590332,8.275597969090333,228.62747933167518,0.4055282170429298,0.18290453015501587,0.14563509291024282,Transport,1
m_dense/H/medium,TinyCast,43358.44222222222,43358.44222222222,100.0128125,0.8557623011545394,0.3124533017897272,0.23787477281358507,8.74181610688512,208.2269008130847,0.36228851168434484,0.17400966372983434,0.1397908996076939,Transport,1
m_dense/H/long,TinyCast,47368.013827160496,47368.013827160496,106.56646219135803,0.9108314296441243,0.3355579894114369,0.2517428174430941,9.99543268998525,217.64193949503505,0.3767703907259166,0.18448230929789397,0.15017980578730347,Transport,1
sz_taxi/15T/short,TinyCast,17.383384909530843,17.383384909530843,2.8139565750792785,0.5624310237281227,1302535279219.1597,0.4112288783030341,4.029120887030989,4.169338665727556,0.3898510147659351,0.2631169867105289,0.20738619778447098,Transport,1
sz_taxi/15T/medium,TinyCast,17.010292301014957,17.010292301014957,2.8420162885616986,0.5549302364096215,11290539936245.305,0.41568697415865385,5.479279992502941,4.124353561591799,0.38383991075142854,0.26449703262942437,0.21844964180274082,Transport,1
sz_taxi/15T/long,TinyCast,16.26051070601852,16.26051070601852,2.8038078981926637,0.5294279418067909,7876428943698.933,0.41270884978465544,6.614960811639694,4.032432356037546,0.3732347173878323,0.2595154378535016,0.2208507734495153,Transport,1
sz_taxi/H/short,TinyCast,7.656045506143163,7.656045506143163,1.917600811037243,0.5847877529710055,1.26420655209794,0.30684765791281676,4.119857443330889,2.766956000037435,0.25775902597846373,0.17863634884753665,0.1405330495526817,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1990794.2031838617,1990794.2031838617,182.57162984461183,0.8663870379409881,2.663360491210258,0.7555086822493532,14.583106867604554,1410.9550677409475,4.4300499541755505,0.5732297639511897,0.442159153656556,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3799202.93496416,3799202.93496416,308.95776452689387,1.085973254255276,5.549430994490045,0.8462528630583148,25.644731357113052,1949.1544153719992,5.922069344680618,0.9386990028476403,0.7433917559251833,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3915659.1339308512,3915659.1339308512,320.67203449674304,1.0007637780767817,3.3021759388146403,0.8770860890883312,22.782999751996712,1978.8024494453334,5.2293840592943015,0.8474404435514961,0.7123586701060955,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3433573.121355251,3433573.121355251,339.6969026135851,1.0446916743820425,4.372054362706273,0.5892588475335406,18.637133599735858,1852.990318742991,5.28162426353292,0.9682465067102914,0.7319954294099185,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1785575.6742996182,1785575.6742996182,129.865533876872,1.7209857878452919,1.3205623935907744,0.6807705142127514,54.458594894313336,1336.2543449132797,5.467567037598536,0.5313722758307678,0.4376361019974912,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2263261.0736797117,2263261.0736797117,149.39054342487026,4.520785630797861,0.47646540783872243,0.7829801304052074,164.59912232406543,1504.4138638286047,6.3298360046409545,0.6285621684694568,0.5975921516779634,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,2572518.6554972287,2572518.6554972287,196.40041925486958,3.4951373468731584,2.4625138995454936,0.7745099911358284,122.8964062345106,1603.9073088857813,6.144207564117603,0.7523657601011484,0.6836696015585725,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,2429048.9379796283,2429048.9379796283,206.524090611423,5.8876918798263,3.5398109904398027,0.5986129138319395,194.43151037101214,1558.5406436726726,6.820936540006443,0.9038504845940428,0.7105960946625832,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,1257790.2933333332,1257790.2933333332,516.5279166666667,1.4785391600893678,0.0215486568874783,0.021950174967447916,16.963671431739364,1121.5125025309942,0.04325225440903235,0.019920417124745078,0.015546257614269041,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,3882008.7466666666,3882008.7466666666,1112.415625,2.5675743037535117,0.03732959111531575,0.03790293375651042,42.02847872525517,1970.2813876872174,0.07736715120986583,0.04368128755893985,0.03753740120926587,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,6769623.04,6769623.04,1569.3548611111112,3.2214536637833993,0.04593923780653212,0.04717064327663845,77.22896939501963,2601.8499264946086,0.10034295177351968,0.060523744102401134,0.05560129395293526,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,21.323915172758557,21.323915172758557,2.777697027297247,0.28764745197574243,0.14668418142825818,0.21285582951136997,3.0989061583324102,4.617782495176506,0.15859333592506883,0.09539735537747088,0.07806103131908629,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,60.53917861345864,60.53917861345864,4.959737015767421,0.5027089968878151,0.3862600129698541,0.6630587366504299,3.644229540239427,7.780692682111191,0.4093788551201235,0.2609551031208238,0.20218089421062013,Web/CloudOps,7
bizitobs_l2c/5T/long,TinyCast,63.45279553103091,63.45279553103091,4.9554620903711974,0.5053011275555405,0.41065112872271126,0.7495120207310988,3.722940717757374,7.965726302794423,0.44726362311969164,0.2782417879452094,0.21492926192940412,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast,73.50013950892857,73.50013950892857,5.202191065228175,0.5309183331045358,0.4733881229976956,0.6623764038085938,3.5343621829754346,8.573222236063204,0.46211863492542,0.2804114214573753,0.22258174593636046,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast,90.26644345238095,90.26644345238095,5.647741117931548,0.5954228118132149,0.5570007736454609,0.8364100864955357,4.962961426591517,9.500865405444967,0.5752918312855387,0.34197930311689395,0.27541517786972236,Web/CloudOps,7
bizitobs_l2c/H/long,TinyCast,117.57083333333334,117.57083333333334,6.723401847718254,0.7189054870461086,0.7494198644898921,0.8550639803447421,10.980941139041086,10.843008500104265,0.6623222540360716,0.4106847897913409,0.3528638545558949,Web/CloudOps,7
bizitobs_service/10S/short,TinyCast,5541.578265542328,5541.578265542328,26.162160502438823,1.0163100670839575,0.06598493323755011,0.05850592618266111,10.00650627995509,74.4417776892944,0.05514885032665009,0.01938176543543625,0.015758673917276193,Web/CloudOps,2
bizitobs_service/10S/medium,TinyCast,31867.963015873014,31867.963015873014,47.5963777281746,1.321531592093211,0.11223362513950892,0.08904975406707279,15.87141308129831,178.51600212830505,0.134355345938283,0.0358221544222233,0.02998890216434705,Web/CloudOps,2
bizitobs_service/10S/long,TinyCast,134778.41947089948,134778.41947089948,82.11193121693121,1.6314112496733508,0.14473785238921957,0.1201807544849537,28.3323907355468,367.12180467918205,0.27197556949542995,0.06083114369796194,0.05699596246762595,Web/CloudOps,2
car_parts/M/short,TinyCast,1.3911453308900135,1.3911453308900135,0.5662381750060946,1.0281888851690353,0.6649256779553467,1.798654034521945,16.071258700327146,1.1794682407297,2.828243850899156,1.3577810587036871,1.1694869222256006,Sales,1
covid_deaths/D/short,TinyCast,1199855.7192982456,1199855.7192982456,250.9840891290727,44.31490644437045,0.1310804975887372,0.40642131145735433,714.2193731684695,1095.3792582015808,0.41214175719447665,0.09443398051131903,0.08103513983248878,Healthcare,1
electricity/15T/short,TinyCast,169319.5311291174,169319.5311291174,61.88573281640405,1.154021923351685,0.1757262530737349,0.18759336654130404,11.850497326423854,411.4845454316813,0.8111171600668284,0.12198897967853403,0.1006713213848484,Energy,1
electricity/15T/medium,TinyCast,292995.46895572916,292995.46895572916,62.73551173634572,0.9744487601743276,0.16069063365886926,0.15899975555007523,8.91267235060091,541.2905587166001,0.932698133605183,0.10809960337381597,0.08818855073597762,Energy,1
electricity/15T/long,TinyCast,356983.6096849662,356983.6096849662,68.33085002434075,1.022339739728841,0.1652415245855554,0.16140589224325644,9.875370507205455,597.4810538292961,0.9425996356266372,0.10780029579549465,0.08824040600831379,Energy,1
electricity/D/short,TinyCast,2092733223.1587749,2092733223.1587749,4929.786015765766,1.5249436825757703,0.4700743053534602,0.1023496305448515,12.678199170538711,45746.40120445296,0.7517653009159524,0.08101275663259515,0.06306661658587052,Energy,1
electricity/H/short,TinyCast,2087971.5206725965,2087971.5206725965,196.64620817992065,1.0463139991788724,0.19067386152642302,0.13906750466372517,11.024357803094933,1444.9814949239303,0.6821344558645477,0.09283105332895518,0.07525809423330009,Energy,1
electricity/H/medium,TinyCast,7348528.170920609,7348528.170920609,282.2963471723677,1.1863641426079905,0.22162951673105563,0.14355271863507796,13.116067341313016,2710.8168825873518,1.0581211390198295,0.11018956475070488,0.0920431324128171,Energy,1
electricity/H/long,TinyCast,8566543.955735736,8566543.955735736,309.4093507882883,1.3267751973180448,0.309535936802191,0.1587158267276065,18.49248851796064,2926.8658930220454,1.1543550459358742,0.1220309567970743,0.10447830047393442,Energy,1
electricity/W/short,TinyCast,165620178453.21802,165620178453.21802,39949.664512950454,1.7594679015082724,0.25756299043003517,0.11051768451123624,14.558604969363188,406964.5911540929,0.9285588977814295,0.09115195093923366,0.06999370835273079,Energy,1
ett1/15T/short,TinyCast,5.275051135108584,5.275051135108584,1.1658512842087518,0.7554139259187123,0.4756702641208233,0.2578949349267142,5.164192246561173,2.2967479476661308,0.4341809646020566,0.22039442145781563,0.17586311794033896,Energy,7
ett1/15T/medium,TinyCast,8.973302641369047,8.973302641369047,1.6225028289310517,1.044827883152787,0.7471989135827128,0.4008731466626364,9.858093309713649,2.995547135561223,0.5709542121253847,0.3092506251583245,0.25397245879685004,Energy,7
ett1/15T/long,TinyCast,9.02958999875992,9.02958999875992,1.6486456589471725,1.0777252875352767,0.8466518631668559,0.40533498854864214,12.079243382713688,3.0049276195542416,0.5727421753870733,0.3142334926815744,0.26212786720499837,Energy,7
