dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,44.45354939904622,44.45354939904622,3.733070099538325,0.5921572317944938,0.10350750619535967,0.07889194326135027,4.801232293883198,6.66734950329186,0.1143303235838697,0.06401391020986083,0.051285595784257794,Transport,1
loop_seattle/5T/medium,TinyCast,100.85533315999098,100.85533315999098,5.990899014468041,0.9491248536530993,0.2048835615821421,0.13303499444227346,10.195075027430402,10.042675597667733,0.17867983508574947,0.10659040387296048,0.08819360411134111,Transport,1
loop_seattle/5T/long,TinyCast,117.23671642085196,117.23671642085196,6.4579329214324614,1.0199668800266666,0.22177496001255947,0.14154765637037664,13.840523449374727,10.827590517786122,0.1914340266053117,0.11417758186052972,0.0970914581781338,Transport,1
loop_seattle/D/short,TinyCast,18.726670775989263,18.726670775989263,2.9295210508616223,0.8846011674576847,0.054248030242290045,0.05411156702582927,7.510590193816973,4.327432353716146,0.07733699602578062,0.052354453946199565,0.04277645721217509,Transport,1
loop_seattle/H/short,TinyCast,63.04117806716263,63.04117806716263,4.339219658814173,0.8820041610531034,0.11818984498750262,0.09931007132681206,6.676588579551881,7.939847483872888,0.14054337447016968,0.07680860049966239,0.06062827393987385,Transport,1
loop_seattle/H/medium,TinyCast,73.11763582180406,73.11763582180406,4.852690422128966,1.0026237572817882,0.1335858015330091,0.10946900278668162,8.986260422441008,8.550885089966071,0.15113593803783615,0.08577076071532082,0.06979283388685703,Transport,1
loop_seattle/H/long,TinyCast,68.19914537343857,68.19914537343857,4.693741864078759,0.9834528721020734,0.1480129992547706,0.10717071701170532,11.162055428773199,8.25827738535335,0.14758644974594456,0.08388343784284931,0.06952692770234059,Transport,1
m_dense/D/short,TinyCast,10498.121111111112,10498.121111111112,53.4076953125,0.7724196205250353,0.13793402375602298,0.11210959823043258,7.514659565733665,102.4603392104043,0.17737399593482667,0.09245661691393162,0.0776921094994573,Transport,1
m_dense/H/short,TinyCast,51418.20486111111,51418.20486111111,102.02203396267362,0.8892220470975042,0.31553742150932534,0.24374332322014702,8.021281732267715,226.75582652075582,0.4022083710228702,0.18096168340270138,0.143696121424585,Transport,1
m_dense/H/medium,TinyCast,43125.56888888889,43125.56888888889,99.43661024305555,0.8568827230178057,0.29062746845548654,0.2442383744981554,8.982137529817392,207.6669662919187,0.3613142963282991,0.1730071445678892,0.13956687381134972,Transport,1
m_dense/H/long,TinyCast,46662.502716049385,46662.502716049385,105.67510802469135,0.9140895658536075,0.30326732856473887,0.2612257743176119,10.705091648693234,216.01505205899284,0.3739540079259522,0.1829392433868413,0.149986006533771,Transport,1
sz_taxi/15T/short,TinyCast,17.34975142706008,17.34975142706008,2.8072204834375625,0.5608680612350929,1288754363377.7039,0.41171805704324094,4.0158353220682095,4.165303281522257,0.3894736890666969,0.2624871333038805,0.20676231261664788,Transport,1
sz_taxi/15T/medium,TinyCast,17.08237784622062,17.08237784622062,2.8296404455462074,0.5523359463039397,11374494903207.285,0.4142253582294171,5.910174521440274,4.133083334052269,0.3846523617287918,0.2633452539548758,0.21917245728433132,Transport,1
sz_taxi/15T/long,TinyCast,16.308442953169514,16.308442953169514,2.7806544638087605,0.5250823055949976,8037093873495.091,0.4112498661052128,7.217552975281258,4.0383713243298365,0.3737844176571572,0.2573723974312872,0.2208815450070583,Transport,1
sz_taxi/H/short,TinyCast,7.599608853331998,7.599608853331998,1.908471947042351,0.5816761166383306,1.2867161595923269,0.3059979177947737,4.094819632884095,2.756738807600749,0.2568072314538385,0.17778593883321717,0.13963655371518235,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1894779.324453543,1894779.324453543,180.93186522661236,0.8731366649041475,2.5966102971174423,0.6377668506473234,14.626780635294685,1376.509834492127,4.321900440796773,0.5680813085985625,0.4376955919009047,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3696814.765377958,3696814.765377958,306.77283238011944,1.0965113015264611,5.401083097275242,0.7398464495357484,26.545196202021824,1922.710265582924,5.841724715452186,0.9320605756483511,0.736128674327362,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3827023.1397022028,3827023.1397022028,318.9707776398637,1.0079109509374513,3.6873025486737623,0.7671174544027716,24.29684582579844,1956.277878958458,5.169858344698822,0.8429445296260692,0.709693460042545,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3341082.167095083,3341082.167095083,342.5403997226475,1.0369522666970439,4.33109719378737,0.5622468498380031,18.58569495595837,1827.862732016571,5.210002479870113,0.9763513970449035,0.7276078329247018,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1724289.5259337246,1724289.5259337246,128.26534110794896,1.7272324039553093,1.3512270893775455,0.6182122676511589,54.276057935024895,1313.1220529462312,5.372916376558891,0.5248247489542622,0.4341418339421023,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2273400.286895578,2273400.286895578,149.2347654345102,4.526693792693997,0.45918937596404175,0.7406882062252345,165.60889148272327,1507.7799199139038,6.343998718449071,0.6279067310557106,0.5946330440473058,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,2888060.034101618,2888060.034101618,214.26285177441028,3.5009605310315814,3.057102525877556,0.7303402604514626,124.10699756424775,1699.4293260096515,6.510130892043563,0.8207927149457802,0.7411179623965275,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,1945398.8571364789,1945398.8571364789,190.5172788924784,5.873948200603572,3.050413274908209,0.5750050092037458,193.51569576083932,1394.775557979304,6.104220385366471,0.8337968434612274,0.6744468244404912,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,1192003.2,1192003.2,510.6465277777778,1.4239392603222005,0.020748305850558812,0.021070406172010635,17.18078170881646,1091.7889906021219,0.04210593736220837,0.01969359546388388,0.015541495638694808,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,3693559.04,3693559.04,1095.715625,2.5546876849940348,0.03667554219563802,0.03734624544779459,45.315391919123755,1921.8634290708587,0.07546592047756825,0.04302552770997666,0.038147591270138365,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,6044575.288888888,6044575.288888888,1483.3372222222222,3.172527780377946,0.04507569207085504,0.04616218566894531,76.54811855208669,2458.5717986035893,0.09481728707980756,0.05720638759278552,0.0531555117643797,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,20.908181908017113,20.908181908017113,2.7356743403843473,0.2853474843501885,0.1471313622963757,0.21197268679028466,2.92339840080864,4.572546545199635,0.1570397503635866,0.0939541262715065,0.07641956706909564,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,58.091110926067266,58.091110926067266,4.821055109424192,0.4904412679712815,0.37337785088071956,0.6441456624230119,3.509527796895048,7.621752483915183,0.401016263378177,0.25365839544141666,0.19954424113301228,Web/CloudOps,7
