dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,44.26210405253281,44.26210405253281,3.7411698159295583,0.5934524117699729,0.10335757779140098,0.07902145538290711,4.8440616490877195,6.652977081918501,0.11408386828922996,0.0641528024631453,0.05140474486062699,Transport,1
loop_seattle/5T/medium,TinyCast,98.18022446828238,98.18022446828238,5.958335243122742,0.9440228910261758,0.2014592684656228,0.13273969175891856,9.611947656516062,9.908593465688377,0.1762942384390171,0.10601102746702547,0.08729853919217519,Transport,1
loop_seattle/5T/long,TinyCast,113.49510473999541,113.49510473999541,6.405038547399954,1.0114971074544972,0.21688030066641628,0.1411089506303481,12.86335448545174,10.653408127918286,0.1883544461389686,0.11324239845207175,0.09573700309171086,Transport,1
loop_seattle/D/short,TinyCast,18.66725629839981,18.66725629839981,2.9262318409387293,0.8834396864133544,0.0541703931072302,0.05404875699211569,7.363822557675719,4.320562035013478,0.07721421425433414,0.05229567137169756,0.04269240585871365,Transport,1
loop_seattle/H/short,TinyCast,63.07198332041222,63.07198332041222,4.347851730909426,0.8841962896400866,0.11808076359901803,0.0994794071287226,6.689702284855848,7.941787161616221,0.14057770873867878,0.07696139695367499,0.060685333193392074,Transport,1
loop_seattle/H/medium,TinyCast,72.45996033281733,72.45996033281733,4.8497063352350605,1.0011076906238603,0.13122832821864708,0.10944448194021535,8.598734243728721,8.512341648031835,0.1504546870105275,0.08571801731307042,0.06963318266034882,Transport,1
loop_seattle/H/long,TinyCast,65.9850044494566,65.9850044494566,4.6415202788729255,0.9728412805034209,0.14380672715314688,0.10630145350148844,10.42206587051475,8.123115439870137,0.14517092520689218,0.08295016834837778,0.06842917483549776,Transport,1
m_dense/D/short,TinyCast,10497.862592592594,10497.862592592594,53.54962528935185,0.775201918945118,0.13838125671431964,0.11251915825737847,7.496557865802865,102.45907764855485,0.17737181198474336,0.0927023186882099,0.07791231119797966,Transport,1
m_dense/H/short,TinyCast,51503.94430555555,51503.94430555555,102.26317003038194,0.891608148212997,0.3204943818715516,0.24303953806559245,8.0041642522369,226.94480453527802,0.4025435709625867,0.1813893987407192,0.14374146082455835,Transport,1
m_dense/H/medium,TinyCast,42343.93777777778,42343.93777777778,97.96362847222223,0.8417264554730733,0.30079977617522297,0.23343384636773004,8.6274707445708,205.77642668142963,0.3580249961509929,0.17044434230070085,0.1373836100041118,Transport,1
