dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,44.467061474055086,44.467061474055086,3.746006329263819,0.594629607443899,0.10406742110710025,0.0791009086573456,4.909806368774978,6.668362728140625,0.11434769815299425,0.06423573798861171,0.05148035969619342,Transport,1
loop_seattle/5T/medium,TinyCast,98.20020906903058,98.20020906903058,5.943491236132611,0.9419981280941819,0.19992165296808484,0.13267752290141102,10.053057444507159,9.909601862286424,0.17631217988660125,0.10574692208044659,0.08738430575016966,Transport,1
loop_seattle/5T/long,TinyCast,113.71654581971677,113.71654581971677,6.391372804330065,1.0095826445258027,0.2143032261275764,0.1409747416633297,13.344888571731376,10.663796032357181,0.18853810642529567,0.11300078530479535,0.0957930783287194,Transport,1
loop_seattle/D/short,TinyCast,19.069308207131023,19.069308207131023,2.939106669391518,0.8869839462535082,0.0541892829694246,0.054333528424195095,7.774665674317348,4.366841903152784,0.07804129731093919,0.0525257617522048,0.043034648897860905,Transport,1
loop_seattle/H/short,TinyCast,63.261415095870845,63.261415095870845,4.359003264371397,0.8865704840059299,0.1190238583256916,0.09975185301566615,6.798772608224888,7.953704488844858,0.14078865754931777,0.07715879043591074,0.06083027165227825,Transport,1
loop_seattle/H/medium,TinyCast,74.60589049096201,74.60589049096201,4.868311516886771,1.0044161948408556,0.1312360967029851,0.11032142501374394,9.03091217123832,8.637470144143018,0.15266631919082876,0.08604686181883922,0.07011473531467678,Transport,1
loop_seattle/H/long,TinyCast,69.72118446919612,69.72118446919612,4.72150563757404,0.9892150031540424,0.14607719356430574,0.1081847426404976,11.27153241060004,8.349921225328783,0.14922424760037942,0.08437961356697628,0.06999080845967147,Transport,1
m_dense/D/short,TinyCast,10980.805925925926,10980.805925925926,54.83187644675926,0.7828350845799908,0.1396633795758722,0.11331513298882379,7.587371677136467,104.78934070756398,0.18140584186929198,0.09492208502252156,0.0794234250967611,Transport,1
m_dense/H/short,TinyCast,52342.689479166664,52342.689479166664,103.09128228081597,0.8969088241985971,0.327908225392341,0.24451431274414062,8.276777926720642,228.78524751208647,0.4058080585085984,0.1828582636619946,0.14561041630345048,Transport,1
m_dense/H/medium,TinyCast,43001.386666666665,43001.386666666665,99.29270399305555,0.8501017835814191,0.3151019153989705,0.23684253268771702,8.679887398903691,207.3677570565556,0.3607937100441128,0.1727567658659492,0.13905164697625547,Transport,1
m_dense/H/long,TinyCast,46496.05728395062,46496.05728395062,105.40293209876543,0.9019496529123032,0.3388643605210301,0.24984219774787808,9.82204199662723,215.62944438074922,0.37328646399606513,0.18246806659897025,0.14857301385320973,Transport,1
sz_taxi/15T/short,TinyCast,17.380784282754192,17.380784282754192,2.815605329506563,0.5627863617716281,1299862232379.8613,0.41124999828827685,4.035944996949761,4.169026778848295,0.38982185200749286,0.2632711523080277,0.2074771816065626,Transport,1
sz_taxi/15T/medium,TinyCast,17.037926933092947,17.037926933092947,2.8518643371060364,0.5567650072443383,11331475081409.266,0.41685008513621796,5.428790678934297,4.1277023794228365,0.38415157412320117,0.26541355785401627,0.21885547320400647,Transport,1
sz_taxi/15T/long,TinyCast,16.335770009793446,16.335770009793446,2.8222198573272794,0.5327715096416332,7964496957489.582,0.4147889835542423,6.630503491122218,4.041753333615678,0.37409745037997877,0.2612196158179194,0.22211397536408017,Transport,1
sz_taxi/H/short,TinyCast,7.651721530490452,7.651721530490452,1.917723598643246,0.5847922999660803,1.2674468602889624,0.30655835225031924,4.120141141220111,2.7661745300126044,0.257686227223287,0.17864778727074435,0.14053509396492428,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1992015.5414956098,1992015.5414956098,182.69672963957566,0.8658532060225097,2.6745995703304306,0.7533860684957674,14.600142570992924,1411.3878069104926,4.431408648142526,0.5736225463675952,0.44273574771077784,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3806065.4077142575,3806065.4077142575,309.2165418346105,1.073135521307869,5.600209093523295,0.8385401850454117,25.63117484308117,1950.9139929054427,5.9274154271090875,0.9394852397660914,0.7433877365793072,Web/CloudOps,2
