dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,44.60782345987326,44.60782345987326,3.749663911392322,0.5947700839615754,0.10408521234927655,0.0791941758156807,4.847418732694517,6.678908852490297,0.1145285409015045,0.06429845744678318,0.05150363134494711,Transport,1
loop_seattle/5T/medium,TinyCast,101.35348698319788,101.35348698319788,6.01256644706608,0.9526826748760842,0.2056857144303612,0.13338823241715092,10.63251028730907,10.067446894977786,0.17912056736622342,0.10697591202222782,0.08873432133534653,Transport,1
loop_seattle/5T/long,TinyCast,117.61885809038527,117.61885809038527,6.475785552205165,1.0229039241918592,0.22270883545089842,0.1417898899004446,14.214014904677958,10.845222823454817,0.19174576939489626,0.11449322004325399,0.09749758417799978,Transport,1
loop_seattle/D/short,TinyCast,18.7886654250516,18.7886654250516,2.9385099318497443,0.8875023747175594,0.05443675387631506,0.05427084688800776,7.450977765596302,4.33458941827846,0.07746490232872644,0.052515097255310485,0.0428361727956801,Transport,1
loop_seattle/H/short,TinyCast,63.154368976114185,63.154368976114185,4.355323145464795,0.8856281116887706,0.11845234864746544,0.09961212724471531,6.760116992501286,7.946972315046415,0.14066949122715924,0.07709364858896268,0.0608796135220204,Transport,1
loop_seattle/H/medium,TinyCast,73.57736783652605,73.57736783652605,4.865894411321272,1.0059408008151143,0.13413438189263438,0.10976058034335866,9.364088394307823,8.577725096814776,0.1516103321583677,0.08600413974818401,0.06996473181800919,Transport,1
loop_seattle/H/long,TinyCast,69.47440294305771,69.47440294305771,4.757276282951846,0.9956176210146617,0.1501442777688125,0.10843047393651857,11.908418336167944,8.33513064942942,0.14895992024918672,0.08501888278864164,0.07043081167094714,Transport,1
m_dense/D/short,TinyCast,10585.222222222223,10585.222222222223,53.856383101851854,0.7771635749712096,0.1384399702497727,0.11274029201931424,7.495077054316555,102.88450914604309,0.17810829680694432,0.09323336181579137,0.07794351341691572,Transport,1
m_dense/H/short,TinyCast,52375.899097222224,52375.899097222224,103.96914957682291,0.907706498622737,0.31629007210600835,0.25236392550998266,7.912734390184313,228.8578141493583,0.4059367736530582,0.18441538164444646,0.14611037019308076,Transport,1
m_dense/H/medium,TinyCast,44753.51111111111,44753.51111111111,101.93534722222222,0.8777190896353992,0.2929936046758501,0.2530584971110026,9.800398530173407,211.55025670301399,0.36807073124607503,0.17735463136108479,0.14367254130990767,Transport,1
m_dense/H/long,TinyCast,49599.085432098764,49599.085432098764,109.8045524691358,0.9458594698592128,0.30756107121157,0.2783558334538966,12.200513181034648,222.70852123818426,0.3855413931689208,0.19008792254502255,0.1570644519693684,Transport,1
sz_taxi/15T/short,TinyCast,17.46679911072001,17.46679911072001,2.8184211402585655,0.5633912020533106,1231208635407.648,0.416896428235139,4.170821786403883,4.1793299834686435,0.3907852457489516,0.2635344426682185,0.20835361453377096,Transport,1
sz_taxi/15T/medium,TinyCast,18.130901943108974,18.130901943108974,2.899408897986779,0.5671167740568693,11001237896712.355,0.44852398603390425,6.861787367405821,4.2580396831298994,0.396281634816444,0.2698383724904551,0.2274199594026095,Transport,1
sz_taxi/15T/long,TinyCast,17.638172743055556,17.638172743055556,2.8762749218193555,0.5453532184900715,7501300259515.285,0.4574252658420139,7.913942630118126,4.199782463777804,0.3887243436611011,0.26622285578271976,0.22988036244828491,Transport,1
sz_taxi/H/short,TinyCast,7.604582957732371,7.604582957732371,1.9089083875346387,0.5816920901713577,1.2665857575897477,0.3064481621114617,4.2142935554164,2.7576408318946055,0.2568912605831019,0.17782659595829906,0.14020366245259788,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1878068.3280872367,1878068.3280872367,184.4763797633139,1.0622262034960435,2.5715539041338498,0.8268063031837923,16.5583629667683,1370.4263307771187,4.30279974370863,0.5792102076116473,0.4512435376671151,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3732384.6934631253,3732384.6934631253,324.81704734971015,2.4064912823743816,5.392021014478296,1.067872506717306,46.66806791323513,1931.9380666737547,5.869761323289841,0.9868838833747664,0.824361600525984,Web/CloudOps,2
