dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,TinyCast-int8-host,3742991.7266257405,3742991.7266257405,307.83129624631704,1.2216411389636348,2.9814243153821764,0.8590613813432888,23.824573994006744,1934.6812984638427,5.112785030581254,0.8135062062378268,0.6927341189231031,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast-int8-host,3593093.1181294695,3593093.1181294695,299.7469783302949,1.2646358975699874,5.102486383193417,0.8373471069584368,27.033789443696232,1895.545599063623,5.7591909574370606,0.9107140909570779,0.7413477722899308,Web/CloudOps,2
bitbrains_fast_storage/5T/short,TinyCast-int8-host,1952125.1405119777,1952125.1405119777,184.24658641244469,1.0090499490394682,2.5966689335058337,0.7619442315498877,15.825250195532158,1397.184719538536,4.386814466513462,0.5784887133225926,0.4519217000846244,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast-int8-host,3188160.2285277913,3188160.2285277913,333.312177031254,1.1569478222524336,4.2262483953902645,0.6018495907384868,19.95137282190146,1785.54199853372,5.089374643581595,0.950047965028479,0.7269726639915101,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast-int8-host,2206151.5596022606,2206151.5596022606,177.31489127232805,3.8595145082152307,1.8759049911810322,0.7683602397809381,124.27243125320587,1485.3119401668662,5.689895424310548,0.6792534020827957,0.6198040258409745,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast-int8-host,2226631.5154985664,2226631.5154985664,154.9420014402774,4.874506213850767,0.7121899490460163,0.7828481305259908,166.52025571888572,1492.1901740390085,6.278404710633309,0.6519199822127767,0.6124524757647704,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast-int8-host,1727279.2449251977,1727279.2449251977,131.700484099739,2.0268886806425304,1.3765461436477466,0.7010204607405005,57.13147734940895,1314.2599609381691,5.377572367577534,0.5388803624404566,0.44711207768818756,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast-int8-host,2146457.8962273514,2146457.8962273514,198.98968915214553,5.974528237412281,3.289807956409919,0.6038296668914968,197.67001039986903,1465.0794846107672,6.411904772047882,0.8708762567936308,0.6890433690722614,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast-int8-host,5009107.626666667,5009107.626666667,1351.5358333333334,3.173138782374791,0.045162650214301214,0.04594113243950738,69.52110692751931,2238.103578181016,0.08631470905477102,0.05212333484854874,0.047603987093648166,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast-int8-host,3961010.7733333334,3961010.7733333334,1151.4934375,2.7613285039302444,0.04064541498819987,0.04088314692179362,41.72304839684711,1990.228824365011,0.07815042833938875,0.045215758242940565,0.03817088967667928,Web/CloudOps,2
