dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast-int8-host,44.84585048490511,44.84585048490511,3.7874082787733205,0.6001051723480847,0.10570164846315964,0.0799332062157315,4.896056718133314,6.69670444957108,0.11483369610172454,0.06494569001408859,0.05206488073330718,Transport,1
loop_seattle/5T/medium,TinyCast-int8-host,99.97504345652735,99.97504345652735,6.003528507260223,0.9497810713834758,0.20858984353741625,0.13356210218494521,10.40390451086906,9.998752094963018,0.17789834571637367,0.10681510850146086,0.08835515981399582,Transport,1
loop_seattle/5T/long,TinyCast-int8-host,114.12463231710812,114.12463231710812,6.4159911443104285,1.012191340541406,0.2245467353351017,0.14091546253632575,13.585210957884314,10.68291310070002,0.18887610012423975,0.11343604261740224,0.09612861314128264,Transport,1
loop_seattle/D/short,TinyCast-int8-host,18.675932921418465,18.675932921418465,2.944711483226103,0.88764521278099,0.05452678333987147,0.05436774003862473,7.269193317840097,4.321566026502252,0.07723215692320348,0.05262592726140758,0.0428276149487751,Transport,1
loop_seattle/H/short,TinyCast-int8-host,62.491405195120485,62.491405195120485,4.368766263775626,0.8879518308929713,0.12115363355734704,0.09980735641022831,6.780228827178093,7.905150548542418,0.13992920343161733,0.0773316054533286,0.061046543119233,Transport,1
loop_seattle/H/medium,TinyCast-int8-host,70.56180985552116,70.56180985552116,4.87686920638424,1.0049131274869112,0.1391973141669243,0.11007781781648335,8.81288844881219,8.400107728804503,0.14847096503512752,0.08619811802401897,0.0693826895120799,Transport,1
loop_seattle/H/long,TinyCast-int8-host,67.88823981244087,67.88823981244087,4.743548140970341,0.9894272102598404,0.15529467510857203,0.10902215749650712,10.915636858594022,8.239432007877781,0.1472496576734629,0.08477354255094849,0.069259339893731,Transport,1
m_dense/D/short,TinyCast-int8-host,10636.207037037037,10636.207037037037,54.54550636574074,0.780906503769395,0.13936401774390172,0.11303756713867187,7.409410995157186,103.1319884276311,0.17853672003318607,0.09442633607246072,0.07942540258488039,Transport,1
m_dense/H/short,TinyCast-int8-host,51091.31847222222,51091.31847222222,103.01284722222222,0.895886367343461,0.32303723603327,0.24581082767910428,7.825312082317739,226.0338878845874,0.400927831654656,0.18271913939942494,0.14528726705948536,Transport,1
m_dense/H/medium,TinyCast-int8-host,46044.34888888889,46044.34888888889,105.2909982638889,0.900448527570977,0.31671342044979445,0.24768797132703993,8.866096180600364,214.57946986813275,0.3733411796121612,0.18319304040847645,0.14598840513759004,Transport,1
m_dense/H/long,TinyCast-int8-host,54228.56493827161,54228.56493827161,115.40728395061728,0.9708877481429139,0.33621988042876716,0.2631163345148534,10.539680591547127,232.8702749134625,0.4031328919010962,0.19978707949201494,0.16146018745976556,Transport,1
sz_taxi/15T/short,TinyCast-int8-host,17.367375216641268,17.367375216641268,2.821367689978072,0.5639207939395063,1266981920800.0898,0.41302281494396803,4.148748179299072,4.1674182915374915,0.3896714515577742,0.2638099576815828,0.20837074440608797,Transport,1
sz_taxi/15T/medium,TinyCast-int8-host,17.22845928485577,17.22845928485577,2.8781446147168803,0.5626996221980263,11197784071954.664,0.4231913574740418,6.439500040557674,4.150717924029019,0.38629355454646125,0.2678593761530604,0.2238496247704729,Transport,1
sz_taxi/15T/long,TinyCast-int8-host,16.857571837161682,16.857571837161682,2.8564720566795763,0.5390698957476406,7611647154277.971,0.41926286050736733,7.320721138527009,4.105797344872452,0.3800252493686006,0.26438993804936994,0.22592596528723932,Transport,1
sz_taxi/H/short,TinyCast-int8-host,7.554162049904848,7.554162049904848,1.9081135937291334,0.581609974250617,1.1784577899509006,0.30534856747358274,4.187893785084446,2.7484835909833714,0.2560382070839144,0.17775255601073284,0.14006512161739126,Transport,1
bitbrains_fast_storage/5T/short,TinyCast-int8-host,1875174.6664274954,1875174.6664274954,181.99585668644278,0.9425771711558737,2.5760864823879293,0.6411559623477822,15.329198954773844,1369.3701714392262,4.299483664597816,0.5714219786352149,0.4467961755175762,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast-int8-host,3679061.6590388133,3679061.6590388133,307.043460855927,1.1669371009333418,5.318182360264048,0.7333701645536974,26.213997067168876,1918.08802171298,5.827681062209551,0.932882819687991,0.7558173877827647,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast-int8-host,3631712.738831462,3631712.738831462,314.8603398843969,1.0712203118243127,3.594945248933032,0.7594584442488793,22.838218683692407,1905.7053126943479,5.036210151604422,0.8320818698991297,0.7059732723097613,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast-int8-host,3139090.266783196,3139090.266783196,334.35404929993484,1.1091690917284305,4.211917380399114,0.5708198292397738,19.342678146184962,1771.747799993892,5.050056697358666,0.9530176393965024,0.7188535880613282,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast-int8-host,1677444.5059943374,1677444.5059943374,128.5153629797303,1.897346403286329,1.355288241467222,0.6317538517008917,56.40494945715915,1295.1619612984075,5.299428866146146,0.5258477662787964,0.4375907191659051,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast-int8-host,2266481.4219629783,2266481.4219629783,152.80814553704448,4.669330382475137,0.5896841225008845,0.7549216921961445,165.40357890743013,1505.4837833610093,6.334337701508496,0.6429417626883797,0.6017716881778761,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast-int8-host,2602376.9799540886,2602376.9799540886,203.26349497610133,3.654509480903392,2.702501505319426,0.7411403231546086,123.989954110447,1613.188451469353,6.179761530453257,0.7786566570413199,0.7075672883252556,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast-int8-host,1869235.4927163343,1869235.4927163343,186.2935466172064,5.916898536072066,2.8308500016580123,0.5793446334177044,194.6371571617368,1367.1998729945576,5.983535693509524,0.81531172411027,0.666793592053736,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast-int8-host,1082343.9644444445,1082343.9644444445,516.1945486111111,1.4498313503130662,0.020996774037679036,0.02125851101345486,17.02557852051604,1040.357613729262,0.04012243473331077,0.019907560451352502,0.01573724675658639,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast-int8-host,3993317.973333333,3993317.973333333,1158.003125,2.7091933053751034,0.038909263610839843,0.03949172337849935,41.531846374920775,1998.3287951018804,0.0784684903505873,0.04547137451191048,0.03969657952621139,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast-int8-host,5644047.928888889,5644047.928888889,1433.5968055555556,3.2341577170723945,0.04534807840983073,0.04640459696451823,68.94135533831815,2375.7205073174937,0.0916220439409786,0.055288098540079676,0.05124122179037553,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast-int8-host,20.99937017531622,20.99937017531622,2.790331268310547,0.29186112435227207,0.15511523382245332,0.21612061602728708,2.468348217998027,4.582506974933723,0.15738183182377366,0.09583126633609085,0.0770484983489556,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast-int8-host,57.12087901583399,57.12087901583399,4.80579008226304,0.4870645214396091,0.35916549563355415,0.6214595839685916,3.365607708325779,7.557835603916904,0.3976532955518412,0.25285523053079406,0.19895393756772814,Web/CloudOps,7
bizitobs_l2c/5T/long,TinyCast-int8-host,59.12084113577821,59.12084113577821,4.808744509975862,0.4904805219125566,0.39097519933466407,0.7083346407538509,3.4801222607368403,7.689007812180854,0.43172629356662634,0.270003815149188,0.21210327440592425,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast-int8-host,74.37280660962301,74.37280660962301,5.2580377487909224,0.5358219135513221,0.4750482572926034,0.6556916009812128,3.603069656135907,8.623966987971546,0.4648539070128353,0.2834217007272359,0.22292630122370843,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast-int8-host,95.03976004464286,95.03976004464286,5.727515811011905,0.5987042433823783,0.5489442785154698,0.8408099946521578,5.37073872698912,9.748833778695936,0.590306692928215,0.3468097819537101,0.28114369995792865,Web/CloudOps,7
bizitobs_l2c/H/long,TinyCast-int8-host,110.23916170634921,110.23916170634921,6.452902560763889,0.6906939440373309,0.7255784469660036,0.842475334046379,9.68531823685081,10.499483878093685,0.6413387786505502,0.39416191263514916,0.3349983252297278,Web/CloudOps,7
bizitobs_service/10S/short,TinyCast-int8-host,4322.429966517857,4322.429966517857,24.00491849061673,0.9418914269360631,0.07725993464232753,0.06932339824696697,10.381206196350018,65.7451896834883,0.048706139725534045,0.017783611542270324,0.014674362981834702,Web/CloudOps,2
bizitobs_service/10S/medium,TinyCast-int8-host,31819.68634920635,31819.68634920635,47.06626984126984,1.3282422488882866,0.11326993306477864,0.0978466312468998,16.36345757903021,178.38073424337716,0.13425354014352425,0.03542318274640394,0.030761164032305572,Web/CloudOps,2
bizitobs_service/10S/long,TinyCast-int8-host,135726.13417989417,135726.13417989417,81.01953703703704,1.641163806117394,0.15102766410383597,0.11974896143353174,26.744611541117287,368.41027968814086,0.27293011297357733,0.060021863166532206,0.05616962966564734,Web/CloudOps,2
car_parts/M/short,TinyCast-int8-host,1.2980592987903865,1.2980592987903865,0.5182986960747461,0.920868622064135,0.6979013848654211,1.81876840948319,15.016680730456828,1.1393240534590616,2.7319822078325444,1.242827105879138,1.0504361587859743,Sales,1
covid_deaths/D/short,TinyCast-int8-host,1127470.8691729323,1127470.8691729323,241.36282307330828,46.101314531918554,0.13260373432330544,0.1843173252800787,1094.9119552712234,1061.8243118204311,0.39951654591669616,0.09081393250605674,0.08311830033618219,Healthcare,1
electricity/15T/short,TinyCast-int8-host,170068.75341046858,170068.75341046858,62.81033490155194,1.1648246639703796,0.17896535361921068,0.1835374503062454,11.607951205462498,412.3939298904248,0.8129097361131805,0.12381155266656753,0.10201261627596413,Energy,1
electricity/15T/medium,TinyCast-int8-host,267561.5097521291,267561.5097521291,63.215140695382885,0.9901993234185464,0.16366690793167643,0.15366497269500518,9.149482729914768,517.2634819433217,0.8912970611099241,0.10892605236265039,0.08875036764448968,Energy,1
electricity/15T/long,TinyCast-int8-host,352985.8692116413,352985.8692116413,69.55559779554946,1.0417248609123235,0.1691291213149548,0.156518559785945,10.27152373959456,594.126139141884,0.9373068462709823,0.10973248560381901,0.09002893379569267,Energy,1
electricity/D/short,TinyCast-int8-host,2054275534.1307387,2054275534.1307387,4924.7205855855855,1.5330707628732392,0.45442724186477196,0.10259810384114583,13.009765255354118,45324.11647380166,0.7448257603345747,0.08092951479185115,0.0633715990395339,Energy,1
electricity/H/short,TinyCast-int8-host,2060989.2210334847,2060989.2210334847,198.84691196201084,1.0646749542054903,0.19329863869285754,0.1353047992694238,10.839543484930346,1435.6145795559073,0.6777126028926299,0.09386994267265171,0.07669884104784717,Energy,1
electricity/H/medium,TinyCast-int8-host,7390104.877297297,7390104.877297297,287.39436563027874,1.2354423972104076,0.23578305666391638,0.14304724428819554,13.226934497405637,2718.4747336139244,1.0611102505687244,0.11217948931258834,0.09164651666219058,Energy,1
electricity/H/long,TinyCast-int8-host,10811946.76705105,10811946.76705105,334.5732576951952,1.4121346245505906,0.3319779816127088,0.16071835052389152,18.579723594669677,3288.152485370934,1.2968463715211067,0.13195559426772244,0.11035327021024677,Energy,1
electricity/W/short,TinyCast-int8-host,177500706611.2,177500706611.2,42077.314132882886,1.7562263513905683,0.2565304049531547,0.11010696587261853,13.727812479565964,421308.327251195,0.9612865700897795,0.09600654524275004,0.07218361234237969,Energy,1
