dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,41.936068098857554,41.936068098857554,3.7035387887551194,0.5877101737093379,0.1025033527114443,0.07840408122453404,4.745590526869664,6.4758063666896,0.11104578168649451,0.06350751343014609,0.05101255361075829,Transport,1
loop_seattle/5T/medium,TinyCast,97.20640074738778,97.20640074738778,5.952357715649994,0.9410453069129527,0.20489442870589847,0.13272387962223206,9.361143481579528,9.85933064398328,0.17541775161311887,0.10590467497035622,0.08709388181622914,Transport,1
loop_seattle/5T/long,TinyCast,108.82628637054236,108.82628637054236,6.317556264601967,0.9965412044412862,0.21552270473519156,0.13935803858132936,12.03091019396064,10.431983817593965,0.18443961880558732,0.11169569370505222,0.09411666213771254,Transport,1
loop_seattle/D/short,TinyCast,18.831134785907064,18.831134785907064,3.0059058300604886,0.9064467146085318,0.05586342779598492,0.055466422540115495,7.2588998346613725,4.3394855439218905,0.07755240263340538,0.0537195519725754,0.04350470364949438,Transport,1
loop_seattle/H/short,TinyCast,62.508928981559514,62.508928981559514,4.3745084052613965,0.8903966268717705,0.12082192982099763,0.09986082404604249,6.615305746052529,7.906258848631223,0.139948821470216,0.07743324719679212,0.061065691733631425,Transport,1
loop_seattle/H/medium,TinyCast,69.62982146240486,69.62982146240486,4.840039128637166,1.0019576270435038,0.13512330931160596,0.10901918608091687,8.179979323882089,8.34444854153975,0.14748719512251893,0.08554715051717666,0.06861637593055753,Transport,1
loop_seattle/H/long,TinyCast,65.05198620618066,65.05198620618066,4.664976908260906,0.9808620918390597,0.14774560223012845,0.10695381308897771,9.641421518885206,8.065481151560684,0.14414092347671142,0.08336936965306128,0.06747566739100055,Transport,1
m_dense/D/short,TinyCast,11290.046666666667,11290.046666666667,56.60653356481482,0.8192439189682126,0.14392232930244916,0.12074799149124711,8.00276393695555,106.25463127161407,0.18394247647887924,0.09799427887693866,0.0817493340060655,Transport,1
m_dense/H/short,TinyCast,50223.95118055555,50223.95118055555,101.00688503689236,0.8807589639271991,0.32375850934179645,0.24237077289157444,8.289953721002714,224.10700832538805,0.3975100271353446,0.17916106199398657,0.1431822290046504,Transport,1
m_dense/H/medium,TinyCast,48065.49555555556,48065.49555555556,105.88645833333334,0.8951323479362236,0.33272163497970525,0.2464489491780599,8.695236095319345,219.2384445200147,0.38144720715238056,0.18422906573221753,0.14816295671887497,Transport,1
m_dense/H/long,TinyCast,56606.72987654321,56606.72987654321,116.08886959876543,0.9738570411613229,0.3655236036719403,0.2633353226273148,10.369272312303275,237.92168853751693,0.4118776360862886,0.20096700506868356,0.16399730481272626,Transport,1
sz_taxi/15T/short,TinyCast,17.248199723724625,17.248199723724625,2.8083659237266607,0.5608985113809729,1232625132272.2607,0.4073519744570293,4.054611885190594,4.153095198008905,0.38833218099369005,0.26259423687470085,0.2067764242922573,Transport,1
sz_taxi/15T/medium,TinyCast,17.495731086404916,17.495731086404916,2.9232755220853366,0.5720174272520906,11293116457758.883,0.4216978024213742,6.16011013921086,4.18278986878434,0.38927838410306115,0.2720595600601242,0.2273452520931798,Transport,1
sz_taxi/15T/long,TinyCast,17.29753995281339,17.29753995281339,2.9449706335692665,0.5580689812765018,8421486142901.613,0.4240976969401042,7.517245670997278,4.159031131503273,0.3849524733253497,0.2725812078384821,0.23452147587414862,Transport,1
sz_taxi/H/short,TinyCast,7.582470364040798,7.582470364040798,1.9133153410039396,0.5835739627882667,1.205320725074181,0.30423590668246275,4.1728852775834495,2.753628581352394,0.2565174946859471,0.17823713086877976,0.14055417585823302,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1999140.2899531866,1999140.2899531866,178.879673595077,0.8492786463240437,2.4395879369513214,0.6260744007873217,14.570513120490793,1413.9095763001205,4.439326380339944,0.5616379344252102,0.44005899279666616,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3331785.1756275734,3331785.1756275734,288.02155394303315,1.0971354613663462,4.627060106748078,0.7120764736508133,26.40342622698383,1825.3178286609632,5.545819598571434,0.8750890138623415,0.7157513239571223,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3436158.589516065,3436158.589516065,320.34276399817526,1.0174496481813045,4.4548484827238255,0.7309907609596649,23.641257658292353,1853.6878349700808,4.898743488930628,0.8465702799346637,0.7247873620022693,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3188973.4271007376,3188973.4271007376,334.1626416107249,1.0357168750589218,4.308035955090027,0.557321047884002,18.795035743169663,1785.7697015854922,5.090023671237572,0.952472065312638,0.7426888947154363,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1711963.0927331222,1711963.0927331222,126.23602978085461,1.7459441395241695,1.3282709504357126,0.6025868467224387,54.15259697950604,1308.4200750267944,5.353677240250977,0.5165213928130581,0.4336260503269519,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2256905.075918592,2256905.075918592,149.1822994205919,4.513363183715362,0.4709782329168446,0.6626487086634235,164.3322488215897,1502.2999287487808,6.320941602175339,0.6276859797904472,0.5967655191214482,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,3540794.833860957,3540794.833860957,243.2445606934537,3.5011916815258637,4.019110411713226,0.6548143562875797,122.97541648128015,1881.6999850828922,7.208368724111612,0.9318151126709607,0.8719897546535381,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,1786654.6377636087,1786654.6377636087,175.351833843818,5.878071636596561,2.531109201182163,0.5708033765730512,196.1396963021171,1336.6580107729908,5.8498695585436655,0.7674254346065267,0.690861129449597,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,975204.1244444444,975204.1244444444,482.5565972222222,1.6691932009942068,0.023433914184570314,0.023758570353190105,14.520936439448173,987.5242399275293,0.03808486268680842,0.018610279121017374,0.014350400269230077,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,3773337.6,3773337.6,1093.0446875,2.760351353220052,0.03972877184549967,0.040299806594848636,31.686188916212185,1942.5080694813084,0.07627657474567939,0.042920647855390424,0.036188269448468396,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,7381055.715555555,7381055.715555555,1638.3404166666667,4.067820983967271,0.0569482421875,0.05837976667616102,71.59231548630763,2716.809841625938,0.10477649619222189,0.06318424123703283,0.05692908127308167,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,20.618714105515252,20.618714105515252,2.6833311898367747,0.2770257390920299,0.14823545091700457,0.20953232504072644,2.9453836321111977,4.540783424202838,0.1559488762647014,0.09215645068439544,0.07441161512500229,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,49.744206983277564,49.744206983277564,4.71175423487157,0.48120404531748434,0.3584063273429909,0.626524309610226,3.391379481195747,7.052957321810303,0.3710892733563606,0.24790756210097953,0.19384006572949042,Web/CloudOps,7
bizitobs_l2c/5T/long,TinyCast,51.01733311429477,51.01733311429477,4.572090954579395,0.4649112488734125,0.3797007680643177,0.7003854336889119,3.5804275310116433,7.142641886185725,0.4010486636405265,0.25671607181137723,0.20517181845968066,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast,67.81719680059524,67.81719680059524,5.14733402312748,0.5191832987110182,0.4347104591717251,0.7091935172913566,3.3430127856361795,8.235119719870212,0.4438940434071087,0.27745448639683495,0.21339912365136746,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast,126.12071242559524,126.12071242559524,6.637366303943453,0.6674389527764731,0.5915707272577722,0.9222720918201265,6.939238947854293,11.230347831905975,0.6800146191407059,0.4019026112842531,0.3257803998775317,Web/CloudOps,7
bizitobs_l2c/H/long,TinyCast,134.65017361111111,134.65017361111111,7.054090711805555,0.7263088991807,0.686472209864957,0.869754658048115,10.022275490594668,11.603886142629595,0.7087988564696289,0.4308842200366297,0.366128315955792,Web/CloudOps,7
bizitobs_service/10S/short,TinyCast,4601.506939277447,4601.506939277447,24.342446004877644,0.9953109038866566,0.07350900115159453,0.058386371350162246,9.333723858046998,67.83440822530588,0.050253899656029756,0.018033662722439524,0.014405416828954817,Web/CloudOps,2
bizitobs_service/10S/medium,TinyCast,35702.555714285714,35702.555714285714,48.22776227678571,1.341178075377798,0.0942881823342944,0.0937248774937221,14.430901046476329,188.95119929306009,0.14220912099648295,0.036297349297962016,0.03047364836598098,Web/CloudOps,2
bizitobs_service/10S/long,TinyCast,141333.44169312168,141333.44169312168,90.22496031746032,1.8697410051603034,0.1094816726603836,0.11507249297288359,26.566311080108683,375.94340224709583,0.2785108909931261,0.06684153502265495,0.06096742365767734,Web/CloudOps,2
car_parts/M/short,TinyCast,1.3433535091744264,1.3433535091744264,0.5511115778485538,0.9960656112218664,0.6647228052114749,1.7988244138703273,15.006465975609917,1.159031280498687,2.779238116697553,1.321509030412891,1.167805469236414,Sales,1
covid_deaths/D/short,TinyCast,350454.99147869676,350454.99147869676,122.71479969454887,37.39787087776592,0.10215398661075484,0.14330279926316467,595.2036606771504,591.9923914027078,0.22274000772942543,0.04617203840696809,0.04922775028265864,Healthcare,1
electricity/15T/short,TinyCast,163326.81318438557,163326.81318438557,61.437884499489726,1.165571982000097,0.17964283008496934,0.18483841010010124,11.476972516642869,404.13712175991157,0.796633939521567,0.12110618235603636,0.09986111417408698,Energy,1
