dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,43.96153203533161,43.96153203533161,3.7319899977299205,0.5920616346452627,0.10315557220033816,0.07882698020206762,4.829708139796521,6.630349314729323,0.11369585204027798,0.06399538884853165,0.05124087154075391,Transport,1
loop_seattle/5T/medium,TinyCast,97.41794259747485,97.41794259747485,5.943674807710913,0.9416246772980936,0.19992884636909478,0.13262105325673262,9.47002996857909,9.870052816346773,0.17560852109193334,0.10575018819603685,0.0868725196326164,Transport,1
loop_seattle/5T/long,TinyCast,112.64232334307992,112.64232334307992,6.381766627429481,1.0079333451252868,0.21477447901689573,0.14091077988498488,12.662741482609944,10.613308783931613,0.18764548149249524,0.11283094612207588,0.09514587305319767,Transport,1
loop_seattle/D/short,TinyCast,18.517748100666562,18.517748100666562,2.9180111596704883,0.8811956354256909,0.05398921499065324,0.05390102855930388,7.361055372052633,4.303225313723018,0.07690438388936285,0.05214875681761441,0.04256654579719887,Transport,1
loop_seattle/H/short,TinyCast,63.020098391947236,63.020098391947236,4.332140472463494,0.8809711635963132,0.11726890696259896,0.09917027161256176,6.693097682316127,7.938519911919806,0.14051987509659644,0.07668329170245332,0.0606022280043126,Transport,1
loop_seattle/H/medium,TinyCast,72.74277744352264,72.74277744352264,4.819202712052132,0.9949957856860142,0.1293346880390179,0.10895857530481676,8.647144744702766,8.52893765034794,0.15074801949615121,0.08517886918339734,0.06931567619281696,Transport,1
loop_seattle/H/long,TinyCast,65.53805824807307,65.53805824807307,4.5944338708962205,0.964688043461306,0.14079508415644712,0.10531148428272291,10.498141162744327,8.095557933093499,0.14467843574459496,0.0821086713314701,0.06790282960609671,Transport,1
m_dense/D/short,TinyCast,10412.653333333334,10412.653333333334,53.12869646990741,0.7725454447156483,0.13821892423749943,0.11214571634928386,7.4970087887741075,102.0424094841617,0.1766504977877888,0.0919736286674237,0.07758066888169858,Transport,1
m_dense/H/short,TinyCast,51366.43361111111,51366.43361111111,101.76553900824653,0.8875491841382761,0.3191844221189193,0.24254897753397622,8.011538097883667,226.6416413881419,0.402005835031234,0.18050672522421216,0.14349869437384533,Transport,1
m_dense/H/medium,TinyCast,41521.93777777778,41521.93777777778,95.95993923611111,0.8273674080224828,0.2962843994838121,0.23091686672634548,8.57038817467009,203.7693249185897,0.35453289254853365,0.16695817606380214,0.13497659395653888,Transport,1
m_dense/H/long,TinyCast,43314.328888888886,43314.328888888886,100.26788194444444,0.8686394702804633,0.3088806808066813,0.23940410095968365,9.62717915053506,208.12094774166508,0.36028814566166845,0.173578535208423,0.1414200771400026,Transport,1
sz_taxi/15T/short,TinyCast,17.290291368160783,17.290291368160783,2.810198990562169,0.5615759841827971,1317253097076.4485,0.4104223423097305,4.040476485935353,4.158159613117417,0.3888057254878034,0.2627656364714357,0.207021173194879,Transport,1
sz_taxi/15T/medium,TinyCast,17.285532268295942,17.285532268295942,2.887125546708066,0.5638623966325109,11580542689826.855,0.4189517029330262,5.869911784902472,4.157587313370092,0.3869328658354228,0.26869520171517125,0.22331614386287424,Transport,1
sz_taxi/15T/long,TinyCast,16.846668280359687,16.846668280359687,2.8901311542913106,0.5459214191971338,8183601127307.852,0.42087534499643875,7.273005956909318,4.104469305569197,0.37990232842901234,0.26750536384587104,0.2293600915328753,Transport,1
sz_taxi/H/short,TinyCast,7.549292279104901,7.549292279104901,1.9069700974684496,0.5813786061687837,1.3140579207330687,0.3055082101088304,4.11220881328998,2.747597546786083,0.25595566659925767,0.17764603227766304,0.13956834426974984,Transport,1
