dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,43.179116169365564,43.179116169365564,3.6911513888552956,0.5856870711381087,0.10236491047314938,0.07811160432049856,4.774509795110317,6.5710818111910285,0.11267954520737596,0.06329509687118057,0.05109920019725428,Transport,1
loop_seattle/5T/medium,TinyCast,97.60773070659185,97.60773070659185,5.950084779028799,0.9422974148189173,0.20198099850870138,0.13262531815913686,9.43831174538873,9.87966247938622,0.175779496743832,0.1058642347573188,0.0871220969602124,Transport,1
loop_seattle/5T/long,TinyCast,111.98568939198486,111.98568939198486,6.37477102459222,1.006529433693612,0.21482653320088543,0.14072805668205696,12.280879968975707,10.582329109982588,0.18709775448737442,0.11270726242555369,0.09495125150197496,Transport,1
loop_seattle/D/short,TinyCast,19.507767476336753,19.507767476336753,3.0172127722709665,0.9081348064064169,0.05591219822319669,0.05567745291411692,7.9446004726756065,4.416759839105671,0.07893339749849924,0.05392162213181071,0.04412800318814839,Transport,1
loop_seattle/H/short,TinyCast,63.01002832049815,63.01002832049815,4.358941620885824,0.8872886385928368,0.11711938371741722,0.09985399813416611,6.910881254830463,7.937885632868374,0.14050864771238974,0.07715769928353103,0.06114786859976403,Transport,1
loop_seattle/H/medium,TinyCast,72.80480387621743,72.80480387621743,4.803629078584559,0.992699331245855,0.12819761189144832,0.10861665171612404,8.892025303664742,8.532573109925131,0.15081227583775988,0.08490360695287796,0.06928732406046867,Transport,1
loop_seattle/H/long,TinyCast,66.00059935809576,66.00059935809576,4.614229581378193,0.969541525935813,0.14016476730567137,0.10554397118472955,10.339771432975743,8.124075292493032,0.14518807905560444,0.08246244712439933,0.06786777899346463,Transport,1
m_dense/D/short,TinyCast,10492.621481481481,10492.621481481481,53.59575665509259,0.776825602490053,0.13877920683796446,0.11323365953233507,7.578754282200572,102.4334978485138,0.17732752956889875,0.09278217890282975,0.07728233695402799,Transport,1
m_dense/H/short,TinyCast,51085.77097222222,51085.77097222222,102.74482259114583,0.8897737296010564,0.32139971824663555,0.2466811031765408,8.11602864458969,226.0216161614243,0.40090606467358747,0.18224373044560307,0.14495916109703433,Transport,1
m_dense/H/medium,TinyCast,45569.44888888889,45569.44888888889,101.98672309027778,0.8638307148939488,0.30327820075147205,0.24098141140407986,8.672268157423927,213.47001871197014,0.37141087470639195,0.17744401888355021,0.14291465546441967,Transport,1
m_dense/H/long,TinyCast,50758.90962962963,50758.90962962963,109.24972608024692,0.9199405065136397,0.31886945573489117,0.2545540816695602,10.203565556023676,225.29738043224032,0.3900230913762699,0.18912743599628232,0.1547631559362035,Transport,1
sz_taxi/15T/short,TinyCast,17.235435434604593,17.235435434604593,2.8048203268039504,0.5603159070012127,1298855763299.8972,0.40763636561103794,4.0339207189202115,4.15155819357077,0.388188464498594,0.26226270838323246,0.20636637653790743,Transport,1
sz_taxi/15T/medium,TinyCast,17.10565863715278,17.10565863715278,2.8508201664329595,0.5560212558123865,11509258736757.9,0.4148561004899506,5.789390622559919,4.13589877017714,0.3849143850337191,0.2653163803516567,0.22109088891810155,Transport,1
sz_taxi/15T/long,TinyCast,16.40361328125,16.40361328125,2.827899465533743,0.5340058840644896,7852181497810.921,0.41390808627136755,6.954247559977779,4.0501374397975685,0.3748734682334865,0.26174531018217556,0.2241047257818344,Transport,1
sz_taxi/H/short,TinyCast,7.6629072662092685,7.6629072662092685,1.9217782957941039,0.5864867277641089,1.2511463491325705,0.30698829227023655,4.173816327457227,2.7681956697837076,0.2578745088651919,0.17902550733142789,0.14109885052781665,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1962215.3054750336,1962215.3054750336,177.65505461987055,0.8719443507972134,2.3983643605097793,0.626648952799808,14.741402807721764,1400.7909570935392,4.398137160538628,0.5577929337168022,0.4335151874365014,Web/CloudOps,2
