dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,43.630312540312175,43.630312540312175,3.729705157048685,0.5927603284897085,0.10314604788249737,0.07851004772757106,4.854502885524101,6.605324559801144,0.11326673274375194,0.06395620887539626,0.05145358935034927,Transport,1
loop_seattle/5T/medium,TinyCast,99.95212776743098,99.95212776743098,6.019580904524639,0.9544489414696642,0.20371883632474885,0.13390231531101854,9.655216894040775,9.997606101834128,0.17787795614376545,0.10710071363408138,0.08824344028197408,Transport,1
loop_seattle/5T/long,TinyCast,113.15061781547415,113.15061781547415,6.391899106682146,1.0111435745515458,0.21648785451480712,0.14085565928102783,12.812689503081014,10.637227919691961,0.18806837673072954,0.11301009043859267,0.09558419530144818,Transport,1
loop_seattle/D/short,TinyCast,18.88397161052692,18.88397161052692,2.9646720846863106,0.8961979535200465,0.05505574062020663,0.054699754001432406,7.738623991136122,4.345569192928231,0.07766112556667586,0.05298264986955526,0.04333013184745113,Transport,1
loop_seattle/H/short,TinyCast,63.17470744100207,63.17470744100207,4.355444894208116,0.8857848842090692,0.11892699894877377,0.09971249560026231,6.71241305897811,7.948251848111135,0.1406921402635579,0.07709580366552538,0.06096713195527586,Transport,1
loop_seattle/H/medium,TinyCast,70.51251030480037,70.51251030480037,4.806044694489124,0.9937174125057221,0.13286558294935985,0.10857591390363695,8.453266718409148,8.397172756636627,0.14841908973016904,0.0849463026939427,0.06867051382054601,Transport,1
loop_seattle/H/long,TinyCast,65.70526564381235,65.70526564381235,4.654488074398139,0.9772025495734818,0.14550456311803608,0.10684827680558243,10.22617940184704,8.105878462191026,0.14486287738755857,0.08318192017909154,0.06801719564089254,Transport,1
m_dense/D/short,TinyCast,10268.515925925925,10268.515925925925,54.22569444444444,0.7823585499912842,0.1379059126325852,0.11403129860206887,7.592392044396523,101.33368603739788,0.17542359271667582,0.09387269435250281,0.07872310393192668,Transport,1
m_dense/H/short,TinyCast,49987.735347222224,49987.735347222224,100.29382107204862,0.8759132619487517,0.3170774686071349,0.24009574360317654,8.001094670049396,223.5793714706753,0.3965741307436979,0.17789626408279086,0.14222585446658978,Transport,1
m_dense/H/medium,TinyCast,43772.0,43772.0,99.90134114583333,0.8607912995042274,0.3004107094834419,0.23563499450683595,8.393083129213473,209.2175900826697,0.3640121859051976,0.17381571765063522,0.13991842470125448,Transport,1
m_dense/H/long,TinyCast,48211.33629629629,48211.33629629629,106.75114197530864,0.9231911203043168,0.31446205946294775,0.25068181544174384,9.834511744080743,219.5708001904996,0.38010953390563734,0.18480201732163098,0.15119915729138994,Transport,1
sz_taxi/15T/short,TinyCast,17.256695785801927,17.256695785801927,2.8025802197764937,0.5599721510061425,1159035551345.871,0.4083094395997323,4.008702431872928,4.15411793113796,0.3884278109197199,0.2620532487859546,0.20625137130171944,Transport,1
sz_taxi/15T/medium,TinyCast,16.973919103899572,16.973919103899572,2.83313238681891,0.5531918110922953,10886064029612.58,0.41306471865401306,5.546530027771005,4.119941638409405,0.3834293076895711,0.26367023735080614,0.21828759977292683,Transport,1
sz_taxi/15T/long,TinyCast,16.20374376780627,16.20374376780627,2.786406096977386,0.5259128648678403,7359148045947.804,0.4094564845419338,6.825498190648331,4.025387405928313,0.3725826494221802,0.25790475829705506,0.22045285190483424,Transport,1
sz_taxi/H/short,TinyCast,7.717305240468082,7.717305240468082,1.925862532395583,0.5872058175494009,1.235447288578392,0.3060284883548052,4.201974067955123,2.778003822975786,0.2587881988600468,0.1794059791742214,0.14116820989354165,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1938830.1811499058,1938830.1811499058,179.4350802366852,0.8612612855340928,2.496701712363248,0.628948015750365,14.412760319969868,1392.4188238995857,4.371850732912264,0.563381773916247,0.4400667273986166,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3377185.4260566668,3377185.4260566668,295.6560011236123,1.0638968469984467,4.951328041087845,0.718357409853664,25.085166244849127,1837.712008465055,5.583476539289629,0.8982845725390319,0.7083279660590028,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3830839.7805993273,3830839.7805993273,331.14806815301154,0.9830142228760695,4.170693314920027,0.7492789634354813,22.392132095212528,1957.2531212388774,5.172435618866137,0.8751254726568911,0.7328032030168419,Web/CloudOps,2
