dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,48.189717434311305,48.189717434311305,3.9446940466346385,0.6228500415268684,0.10473134453697716,0.08393104647212231,5.756013311558303,6.94188140451213,0.11903793956906915,0.06764279367212293,0.0548858549050352,Transport,1
loop_seattle/5T/medium,TinyCast,104.39751747532895,104.39751747532895,6.219041986140673,0.9870346012992408,0.19445671408292065,0.13902512584800444,12.580593752879626,10.21751033644346,0.18179050434792915,0.1106495361388584,0.09315305351291701,Transport,1
loop_seattle/5T/long,TinyCast,125.49020958748997,125.49020958748997,6.897949344165664,1.0944545369533825,0.21028530954125413,0.15227981586629077,16.345782642232706,11.202241275186406,0.19805792902774377,0.12195716268582166,0.10482251577962624,Transport,1
loop_seattle/D/short,TinyCast,19.39107940642334,19.39107940642334,2.961215044618022,0.894182927331252,0.05475680377830293,0.05470604237142116,7.409780824234378,4.403530334450228,0.07869696858053304,0.05292086794619541,0.0434330015475559,Transport,1
loop_seattle/H/short,TinyCast,64.05231680250279,64.05231680250279,4.372775473927993,0.8897289270979427,0.11710084104297097,0.10030485063274902,6.5529683787324835,8.003269132204839,0.14166600213891742,0.07740257254997852,0.06098323794017499,Transport,1
loop_seattle/H/medium,TinyCast,75.77523554909217,75.77523554909217,4.878402571387827,1.0053469023680524,0.127528481143916,0.11155519128706926,8.944061071852918,8.704897216457653,0.15385808515612928,0.08622522007903824,0.07020558640722596,Transport,1
loop_seattle/H/long,TinyCast,68.44750371879837,68.44750371879837,4.673914136909561,0.9753046566065989,0.14084458549612364,0.10778039788560109,10.60372860966906,8.27330065444248,0.14785493563531113,0.08352908986894579,0.06898613970844253,Transport,1
m_dense/D/short,TinyCast,10521.864444444445,10521.864444444445,52.037769097222224,0.753647261313836,0.1350264326566409,0.10948113052933305,7.571268483280355,102.57613974236136,0.17757446377675354,0.09008507209168864,0.07561759689005436,Transport,1
m_dense/H/short,TinyCast,53507.90861111111,53507.90861111111,105.52362196180556,0.9169652475684673,0.3226981187297347,0.2553308720058865,8.143449978275742,231.31776544639,0.4103001146933121,0.18717262857105046,0.14778888154739314,Transport,1
m_dense/H/medium,TinyCast,47673.28888888889,47673.28888888889,103.6947265625,0.886068430800738,0.2985589936023622,0.2567771318223741,9.225805303003622,218.34213722707966,0.3798877456519631,0.18041572923166965,0.14541534231619715,Transport,1
m_dense/H/long,TinyCast,52856.63209876543,52856.63209876543,110.4572800925926,0.9463231436078021,0.3099413421516533,0.27279259198977623,11.060227591548694,229.90570262341348,0.3980007787493363,0.1912178906122894,0.1568973661142567,Transport,1
sz_taxi/15T/short,TinyCast,18.009054975777463,18.009054975777463,2.868117826179998,0.575173188092728,1398201627901.2683,0.421794650027749,4.189523402551144,4.243707692075111,0.3968048371136069,0.2681812955603171,0.2125389828970685,Transport,1
sz_taxi/15T/medium,TinyCast,19.713548344017095,19.713548344017095,3.0242529714209403,0.5955405780184294,9020968458734.307,0.43672779441898707,5.732824854285084,4.439994182880997,0.41321553679703144,0.2814571964562449,0.23254992181519515,Transport,1
sz_taxi/15T/long,TinyCast,24.721418714387465,24.721418714387465,3.3346520057091347,0.6473404958195832,6460926415765.625,0.46248230676026086,7.750257836626449,4.972063828470776,0.4602053237359438,0.3086494177823298,0.2607803212056339,Transport,1
sz_taxi/H/short,TinyCast,7.564687745183961,7.564687745183961,1.9027381636138656,0.5793112717929854,1.2523886281200962,0.30699281610994256,4.084546639691196,2.750397743088072,0.2562165221644851,0.17725180152431963,0.13956872579862079,Transport,1
