dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,51.44304003326762,51.44304003326762,4.277578010992123,0.6726722241227284,0.12211689156767508,0.08913173513146747,5.326987420027167,7.1723803603314025,0.12299048775805344,0.07335101870848586,0.05817676437408961,Transport,1
loop_seattle/5T/medium,TinyCast,124.15330604198917,124.15330604198917,7.127341444647349,1.1165817126783286,0.2555700857597485,0.15501548755279634,12.306650730404183,11.142410243838142,0.1982463742320949,0.12681004992585546,0.1057308667842573,Transport,1
loop_seattle/5T/long,TinyCast,130.92013485767114,130.92013485767114,7.342561520862,1.148586858610227,0.26752978810967687,0.157286626839635,16.60586695829729,11.442033685393133,0.202297508143694,0.12981799738611055,0.11207915885084867,Transport,1
loop_seattle/D/short,TinyCast,19.019557793049373,19.019557793049373,3.008666247357033,0.908483213665028,0.055728072475476655,0.055511675838100405,7.264588673050412,4.361141799236683,0.07793942884070708,0.053768884316571265,0.04349570988732861,Transport,1
loop_seattle/H/short,TinyCast,64.08457301898534,64.08457301898534,4.450926114926093,0.9063639103798877,0.12289341892957052,0.10132085378940138,6.844970306586585,8.005284068600274,0.141701668562099,0.07878591836678284,0.06248616123642127,Transport,1
loop_seattle/H/medium,TinyCast,73.11101961086655,73.11101961086655,4.99828320199122,1.0341802714297719,0.1337793837390817,0.11178503996078444,9.07622289067664,8.550498208342397,0.15112909994838827,0.08834409682316285,0.07203913474099209,Transport,1
loop_seattle/H/long,TinyCast,68.08510986580076,68.08510986580076,4.808888982110799,1.0095733596148901,0.14868370698496447,0.10896241260550872,11.276810552535817,8.251370181115423,0.14746300877834592,0.08594127067599759,0.07097457855170292,Transport,1
m_dense/D/short,TinyCast,10662.368148148149,10662.368148148149,55.13571469907407,0.802930961839615,0.14185571352405138,0.11743320041232638,7.384250846465985,103.25874368860077,0.1787561521306905,0.09544807395976548,0.07898684402989009,Transport,1
m_dense/H/short,TinyCast,50757.16166666667,50757.16166666667,103.52912841796875,0.9044518987632612,0.34246930018037225,0.24840125613742403,8.055143452654553,225.2935011638522,0.3996145699782395,0.18363489367977612,0.14694273539645072,Transport,1
m_dense/H/medium,TinyCast,42297.41,42297.41,100.77836805555556,0.870560124299396,0.3535906483542088,0.24881622314453125,9.093529936101922,205.66334141017938,0.35782824205988034,0.17534163371906675,0.1431219007734752,Transport,1
m_dense/H/long,TinyCast,48873.846913580244,48873.846913580244,111.53569058641975,0.9574336607977003,0.3936793920429038,0.271514274691358,11.209426245150182,221.07430179371877,0.3827123175778296,0.19308477869491217,0.15950413562321583,Transport,1
sz_taxi/15T/short,TinyCast,17.609298703725813,17.609298703725813,2.8462722636258935,0.5693446428335949,1188471432880.5686,0.41363604805262827,4.149930296968507,4.196343492104265,0.3923760816435859,0.26613864193760783,0.21007261719735223,Transport,1
sz_taxi/15T/medium,TinyCast,17.44716045673077,17.44716045673077,2.9048023712940707,0.568239109382408,11732364220014.121,0.42030377510266426,6.705069314115077,4.17697982479336,0.388737662573334,0.2703403251678856,0.22807899494904246,Transport,1
