dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,48.180986389853025,48.180986389853025,4.0234063053032685,0.6338315537959359,0.11423450534926849,0.08433073575774705,5.131345360764743,6.941252508722977,0.11902715539478237,0.06899253512472843,0.05502672736958363,Transport,1
loop_seattle/5T/medium,TinyCast,116.71468066708591,116.71468066708591,6.709136555989583,1.0538491249129929,0.2445399362900678,0.14686522012401537,10.790812454122804,10.803456885047764,0.19221569748052375,0.11936932560784827,0.09827093540341034,Transport,1
loop_seattle/5T/long,TinyCast,125.57851644020181,125.57851644020181,6.927499063861656,1.0858020346171111,0.25844972613754247,0.1496064423590731,14.367349296223141,11.206182063495213,0.19812760297530532,0.12247960780573729,0.10414038155644563,Transport,1
loop_seattle/D/short,TinyCast,18.815821302982798,18.815821302982798,2.9780322150672305,0.8968935984753835,0.05514518786510078,0.05500422636175795,7.013238336769554,4.337720749769722,0.07752086340478744,0.053221413243703865,0.043091099679922557,Transport,1
loop_seattle/H/short,TinyCast,63.594167463097385,63.594167463097385,4.440103102504744,0.9037104765396949,0.12299290763179933,0.1012316257235837,6.696305536766631,7.974595128475012,0.1411584431143964,0.07859434004103809,0.061840620914094604,Transport,1
loop_seattle/H/medium,TinyCast,71.30721740407718,71.30721740407718,4.97604787253743,1.0304144948885907,0.13831443336356905,0.11146978057451908,8.523607444716827,8.444360094410776,0.14925312065012292,0.08795108986081666,0.0707561118227869,Transport,1
loop_seattle/H/long,TinyCast,68.05831261455377,68.05831261455377,4.835606373254483,1.0150590868390665,0.1530466048874148,0.11005496102835986,10.513328908366221,8.249746215160426,0.14743398633714877,0.08641874614955862,0.07053869273298125,Transport,1
m_dense/D/short,TinyCast,11125.391851851851,11125.391851851851,56.07804253472222,0.8015668182308073,0.14269737882734318,0.11709867124204282,7.602137146435746,105.47697308821415,0.18259623518664803,0.0970793827664472,0.08107233227900479,Transport,1
m_dense/H/short,TinyCast,51998.00958333333,51998.00958333333,104.17272976345487,0.9060830000529743,0.3369943560121548,0.2487045012580024,8.017851782263042,228.03072070081552,0.4044697158326426,0.18477648220135,0.1468231723585244,Transport,1
m_dense/H/medium,TinyCast,43077.712222222224,43077.712222222224,100.3825390625,0.8674359428032695,0.3380508449432966,0.24290340847439237,8.735319360505223,207.5517097549963,0.3611137645091131,0.17465294125802716,0.1418955101389671,Transport,1
m_dense/H/long,TinyCast,46722.85037037037,46722.85037037037,107.96380787037037,0.9374697158545134,0.36878640604682034,0.25930018295476465,10.228778860265354,216.15469083591586,0.3741957433040868,0.18690132136276605,0.15252911179435932,Transport,1
sz_taxi/15T/short,TinyCast,17.397558370643775,17.397558370643775,2.81937740079067,0.5633054222229386,1354047928509.5886,0.4117628835205339,4.049108091793643,4.171038044737038,0.3900099139786002,0.26362385712185504,0.20742754754675968,Transport,1
sz_taxi/15T/medium,TinyCast,17.296088533319978,17.296088533319978,2.8759574172843214,0.5620964060431445,11587364162457.43,0.4157445271809896,5.981484939489586,4.1588566377455205,0.3870509976463122,0.26765582094015933,0.22287592241290297,Transport,1
sz_taxi/15T/long,TinyCast,16.691762375356124,16.691762375356124,2.854588591746795,0.5398556459823127,8338556106102.493,0.41572295186186786,7.275696545278644,4.085555332553474,0.3781516849587914,0.2642156079081974,0.22696974224205427,Transport,1
sz_taxi/H/short,TinyCast,7.547995021200587,7.547995021200587,1.908139383690989,0.5815690880430083,1.239278092343583,0.30555967999319744,4.144469346111048,2.7473614653337095,0.2559336741551369,0.17775495850482667,0.13988845629700167,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1919597.0730423236,1919597.0730423236,181.77089500689678,0.8645438656081224,2.5090949281221744,0.7530834955693576,14.675913676658693,1385.495244684125,4.350112406520842,0.5707156545991422,0.44277981176807246,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3578988.0814328683,3578988.0814328683,300.67914505444537,1.0750253175035485,5.230761952533695,0.8358649060491937,25.66373998070932,1891.8213661529644,5.747875709461465,0.9135462708693961,0.7317246975486107,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3919780.161011544,3919780.161011544,315.43159777956845,0.9927768315250335,3.6213615843818068,0.8628590381510077,23.01491655044263,1979.8434688155385,5.232135162670736,0.8335915339545756,0.7147508599043797,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3431458.8226946937,3431458.8226946937,342.77677334174234,1.060535336519701,4.679719667145916,0.5850681560491879,18.901299182659365,1852.419720985148,5.279997874591727,0.9770251386339676,0.720887754012503,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1736243.1852000528,1736243.1852000528,129.31543148857247,1.75336745664245,1.357087296887753,0.6770619395744757,54.21412556369356,1317.6658093765857,5.3915081162078975,0.5291214156580619,0.43977487998002085,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2265951.6623342736,2265951.6623342736,150.0912569984334,4.541448739269717,0.474480298047225,0.7535728532632546,164.4899068971855,1505.3078297591737,6.333597375012694,0.6315104276642989,0.5970377835626367,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,3925167.483535773,3925167.483535773,254.20150502156142,3.5122138936285063,4.285962322986062,0.7473955805495316,122.94674627087561,1981.2035441962478,7.5895444424176866,0.9737886979569725,0.909396096541851,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,2085156.5111333735,2085156.5111333735,200.8605954111001,5.877718338225983,3.3261162126832504,0.5911608513721424,193.75817291196185,1444.0071021755307,6.319681714586392,0.8790642581245156,0.700966427387705,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,4468962.133333334,4468962.133333334,954.6278472222223,3.2188265697294556,0.04492503696017795,0.04577049679226346,28.202470884612385,2113.991989893371,0.08152822118271277,0.036816180310804275,0.028137180315281268,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,22902565.546666667,22902565.546666667,2503.21625,7.9698314894569435,0.10915761311848958,0.11151938120524088,112.98906050225176,4785.66249819883,0.1879188812579449,0.09829393473186883,0.08757030509745897,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,18600432.071111113,18600432.071111113,2473.070277777778,7.811665125259019,0.10979029337565104,0.11002917819552951,124.82349284361854,4312.821822323653,0.16632829884552616,0.09537643546947852,0.08531026871246696,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,21.766551717122397,21.766551717122397,2.8074712844122023,0.29125020188140055,0.14793839273125126,0.21249248413812546,3.022459605901166,4.665463719409079,0.16023090209886193,0.09641992384306748,0.07848634874479483,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,68.59341649073072,68.59341649073072,5.54694589305174,0.5589193894782687,0.3683353017734175,0.6848840490734747,3.5317360782657654,8.282114252455752,0.43576100344377294,0.2918509253464872,0.22330041511328982,Web/CloudOps,7
bizitobs_l2c/5T/long,TinyCast,71.47701053662915,71.47701053662915,5.7493004725224095,0.5846441974394296,0.4440494208737113,0.7661987725427222,3.902424140632933,8.454407757887548,0.4747023562430828,0.3228146263124867,0.24709427338365175,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast,107.16034226190476,107.16034226190476,6.688866024925595,0.6851015112665084,0.5410247729550735,0.7411688547285776,4.279316705887751,10.351827967171053,0.5579900389201348,0.36054700922544103,0.27783413233011545,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast,176.6623511904762,176.6623511904762,9.211685035342262,0.9296222301814276,0.9829185949605185,0.9542121523902529,8.930380234722904,13.29143901879989,0.8048168211248684,0.5577815206360612,0.45018803719263745,Web/CloudOps,7
bizitobs_l2c/H/long,TinyCast,164.7288814484127,164.7288814484127,9.08857886904762,0.9473018741692295,1.0559927572884165,0.8950816320994543,11.810462379130952,12.834674964657761,0.7839789899944027,0.5551566285753945,0.46380022936631604,Web/CloudOps,7
bizitobs_service/10S/short,TinyCast,22887.843423445767,22887.843423445767,46.96084185887897,1.919474415384974,0.13502610827249195,0.08874629631244316,15.512134451158696,151.28728771263556,0.11207846246246823,0.03479009394023713,0.0271497597280945,Web/CloudOps,2
bizitobs_service/10S/medium,TinyCast,99365.8565079365,99365.8565079365,104.85244047619048,3.7501704897507397,0.24479743109809027,0.15916334364149307,47.314620373500745,315.2235024675928,0.23724462914798503,0.07891441520478752,0.06893005400309465,Web/CloudOps,2
bizitobs_service/10S/long,TinyCast,196930.42455026455,196930.42455026455,130.11448412698414,3.7388030140459207,0.16412646742724868,0.161611496052414,64.99596176767228,443.7684357300151,0.32875784410909176,0.09639296949677284,0.08901051201100224,Web/CloudOps,2
car_parts/M/short,TinyCast,1.3122852624959327,1.3122852624959327,0.5225392396475066,0.9343634697844108,0.6940912605580049,1.817686711140675,15.808762748739388,1.1455502007751266,2.7469118704155395,1.2529954943697936,1.0773149457121645,Sales,1
covid_deaths/D/short,TinyCast,872949.120802005,872949.120802005,217.46918663847117,43.768657160190614,0.12646555353789452,0.39713695566934787,731.3295993792876,934.3174625372284,0.3515414756162143,0.08182383594152283,0.07489965226599195,Healthcare,1
electricity/15T/short,TinyCast,169691.1644786828,169691.1644786828,63.233790000022,1.1719480351380764,0.18808770754676105,0.18992041009283445,11.86934713168989,411.9358742312726,0.8120068181068328,0.12464626614657567,0.10241769047440415,Energy,1
electricity/15T/medium,TinyCast,271767.1011140115,271767.1011140115,64.28019376627604,1.014141362232137,0.17438060495725388,0.16641348076948015,9.2360689851359,521.312862985378,0.8982745523655209,0.11076124604082539,0.08980453478315337,Energy,1
electricity/15T/long,TinyCast,356484.8198544482,356484.8198544482,69.60111615815033,1.059522174715446,0.17424448959716562,0.16731823236372478,10.152795928640451,597.0634973388075,0.941940889055067,0.10980429640305177,0.08954687505380989,Energy,1
electricity/D/short,TinyCast,1498788772.7878919,1498788772.7878919,4716.889833333334,1.5718735159816224,0.4810144486304404,0.10493833992073127,13.07397301125338,38714.19342809419,0.6362027723692641,0.07751416530221097,0.06285167913989875,Energy,1
electricity/H/short,TinyCast,2092048.4522962417,2092048.4522962417,198.962498597841,1.0557382674358127,0.21324959139965186,0.1409925163485176,11.08008174983152,1446.391528009011,0.6828000921752003,0.09392450781913572,0.07652042648413332,Energy,1
electricity/H/medium,TinyCast,7890919.134969031,7890919.134969031,287.231979210656,1.187013876029288,0.2716898596639244,0.1467323970044785,12.517710710074844,2809.0779866299604,1.0964756852080155,0.11211610454307615,0.09294779509227274,Energy,1
electricity/H/long,TinyCast,9637549.836384384,9637549.836384384,316.5821278153153,1.3263154079620671,0.33578536383928065,0.1609121481018022,17.04342266027031,3104.4403418948773,1.2243903562568352,0.12485989794339118,0.10484797990302278,Energy,1
electricity/W/short,TinyCast,235908286280.87927,235908286280.87927,44441.657179054055,1.7512620591084405,0.2589140149611461,0.11071344581810204,14.349699227566449,485703.90803541953,1.1082160347526002,0.10140119583557917,0.07579957123842296,Energy,1
ett1/15T/short,TinyCast,5.426562699817476,5.426562699817476,1.1976636341639928,0.7685163022719811,0.4619094753208581,0.2618839468274798,5.33353090279937,2.329498379440835,0.44037215944932934,0.22640827979340714,0.1806794791089212,Energy,7
ett1/15T/medium,TinyCast,9.636267361111111,9.636267361111111,1.6836642407614086,1.078152710259687,0.7385604640888114,0.41736782982235865,10.008004751645196,3.104233780035117,0.5916699928011302,0.3209080500372474,0.26160743832314554,Energy,7
ett1/15T/long,TinyCast,9.412145453559027,9.412145453559027,1.7183392430865576,1.123541498476719,0.8206145596500893,0.4239117383200025,12.773583596483862,3.0679220090411405,0.5847489683085145,0.32751715872755877,0.2734229993687395,Energy,7
ett1/D/short,TinyCast,40931.62857142857,40931.62857142857,134.9870659722222,1.7008226530880801,1.491788543216766,0.47411339169456845,11.270151135977338,202.31566565994976,0.5313888067350495,0.3545480063427649,0.2826827818471692,Energy,7
ett1/H/short,TinyCast,104.14529331752232,104.14529331752232,5.089934685116723,0.8592348769940926,0.4936184587932768,0.2675428413209461,6.250749388082449,10.205160131890255,0.47631658085617057,0.2375680787624214,0.1880874746190927,Energy,7
ett1/H/medium,TinyCast,134.41434151785714,134.41434151785714,7.058967517671131,1.3850476272160355,3267060721246.5977,0.44188196091424853,10.678823415388996,11.59371991717314,0.5553117012164652,0.3381078108729668,0.2691891543638816,Energy,7
ett1/H/long,TinyCast,170.93556547619048,170.93556547619048,7.667218501984127,1.4405129678466735,2604898091140.2075,0.4768542092943948,18.54554131895347,13.074232882895672,0.6260966959393961,0.3671664880176491,0.3079000451698812,Energy,7
ett1/W/short,TinyCast,1857001.0,1857001.0,1015.6702008928571,1.6316671137562515,0.8769887515476772,0.5215120315551758,11.98621416396169,1362.7182394024085,0.5422581124750279,0.40415941469662525,0.3237512463451284,Energy,7
ett2/15T/short,TinyCast,8.161908830915179,8.161908830915179,1.817373275756836,0.7972008117210235,0.11669425768788963,0.1374439727692377,5.823935314080205,2.8569054641193814,0.1356274694396514,0.08627717700631957,0.06903023049091574,Energy,7
ett2/15T/medium,TinyCast,13.758611731150793,13.758611731150793,2.3562650359623016,0.9804774286159108,0.15140168868024345,0.18082796127077133,10.868985416047426,3.7092602673782267,0.19767319389659432,0.12556962891545945,0.10600631870701796,Energy,7
ett2/15T/long,TinyCast,12.702811259920635,12.702811259920635,2.2615257626488097,0.9709163224221854,0.15089018112942496,0.18033771212138827,13.259577231001602,3.5641003436941325,0.18993735252884458,0.12052079756768891,0.10372947260926314,Energy,7
ett2/D/short,TinyCast,118773.89206349207,118773.89206349207,210.89236111111111,1.4075547300323552,0.4387271457248264,0.14464833093067955,15.181127273311805,344.6358833080097,0.19724420892824263,0.12069926247115088,0.10039125377007614,Energy,7
ett2/H/short,TinyCast,108.29945707775298,108.29945707775298,6.480686878022693,0.754066871548059,0.12225344526126286,0.1130021435873849,5.369879017987718,10.406702507410932,0.1319859375995896,0.08219313786245495,0.0654400975919967,Energy,7
ett2/H/medium,TinyCast,271.14542410714284,271.14542410714284,10.175232514880953,1.0931831615452845,0.18449605986042777,0.17437504359654019,8.958799743497226,16.466493983454487,0.2218965956330778,0.13711780158519282,0.11056008151206623,Energy,7
ett2/H/long,TinyCast,235.62566137566137,235.62566137566137,9.350514632936507,1.0386069702793468,0.18333167777392567,0.17418831315620867,12.970505760864027,15.350102976060498,0.2102078459453743,0.1280481012105061,0.11063585727312125,Energy,7
ett2/W/short,TinyCast,6275179.428571428,6275179.428571428,1562.970424107143,0.9857685397172945,0.16350008760179793,0.1763284546988351,13.610117674060634,2505.0308238765106,0.21013368166005453,0.13110925678557692,0.11999867937063195,Energy,7
hierarchical_sales/D/short,TinyCast,28.910866690135386,28.910866690135386,2.3345785480828853,0.7602448798112018,0.6524769585772581,1.0239542273166211,7.178131865455641,5.376882618221769,1.6495680418874632,0.7162228446540222,0.589223496467859,Sales,1
hierarchical_sales/W/short,TinyCast,483.5278289277675,483.5278289277675,9.317957667981164,0.7542560360601029,0.5702438188500465,0.4741471440105115,6.946472487024353,21.989266220767064,1.0095379679455352,0.4277919942891154,0.3630266519851646,Sales,1
hospital/M/short,TinyCast,2557.5225920795306,2557.5225920795306,18.113033077500273,0.7771387930143915,0.1961415409782771,0.1762922577938791,5.652428641595293,50.57195460014899,0.1835879387229784,0.06575451617425923,0.05316538916840909,Healthcare,1
jena_weather/10T/short,TinyCast,756.7649669586666,756.7649669586666,5.319557516915458,0.28631600190443146,0.3892716535250075,0.5574911526271276,3.163470300494738,27.509361442219387,0.1708676125245231,0.033041119275391426,0.028960070467132264,Nature,21
jena_weather/10T/medium,TinyCast,1469.7853152056277,1469.7853152056277,9.793028569737555,0.6017989551364787,0.7106353990257339,0.6674244714161707,9.88775922977672,38.33777921588088,0.2352782989065149,0.06009964974904746,0.05200267965703007,Nature,21
jena_weather/10T/long,TinyCast,1426.948966600529,1426.948966600529,9.566984049479167,0.6473271574591455,0.7393377223967844,0.6647158022280093,12.596484709271147,37.774978048974816,0.23115157093599378,0.05854201660394402,0.051161877243008386,Nature,21
jena_weather/D/short,TinyCast,353.5528273809524,353.5528273809524,9.922355530753968,1.2291192392233234,0.7590535998142713,0.4553458077566964,9.081933150383685,18.803000488777116,0.11322479502174117,0.05974879763328261,0.05214357875439961,Nature,21
