dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,50.20729207608722,50.20729207608722,4.1379299577175646,0.6509712571493418,0.11787944861117777,0.0864666127568059,5.288899060745475,7.085710414354176,0.12150428953735411,0.07095636291447734,0.05668946540794489,Transport,1
loop_seattle/5T/medium,TinyCast,129.38821132852812,129.38821132852812,7.111350699819401,1.114690876235611,0.26170245746340914,0.15411160534995505,12.170209357759921,11.374893904055902,0.20238273626667938,0.1265255417167663,0.10481275794126711,Transport,1
loop_seattle/5T/long,TinyCast,136.8436306042885,136.8436306042885,7.231034428391239,1.1315701396857374,0.2752621887577959,0.15459799849758754,16.18187973390107,11.698018234055224,0.2068233675967856,0.12784617546024535,0.10972735570915114,Transport,1
loop_seattle/D/short,TinyCast,18.28309712601889,18.28309712601889,2.9540073209748794,0.8906627376441727,0.05472232739376702,0.05448557069550112,7.246825327147667,4.2758738435574655,0.0764155765859567,0.05279205629781321,0.0427617977416304,Transport,1
loop_seattle/H/short,TinyCast,63.87624530150963,63.87624530150963,4.459330638702958,0.9074143612192872,0.12464036082180273,0.10170615087812387,6.816516217798009,7.992261588656219,0.14147115742457086,0.07893468698416681,0.06218443699358621,Transport,1
loop_seattle/H/medium,TinyCast,72.20778443264642,72.20778443264642,5.07552634791324,1.053769884952639,0.1431038734959621,0.11315965244029452,9.081496383728197,8.497516368483582,0.1501926518518715,0.08970936079210766,0.07254954308567177,Transport,1
loop_seattle/H/long,TinyCast,70.84891745006665,70.84891745006665,4.99370118027337,1.0511296480100945,0.1609468268495185,0.11311557354449733,11.627180115755154,8.417179898877453,0.15042624995274348,0.08924411156203192,0.07339107027646569,Transport,1
m_dense/D/short,TinyCast,11018.302962962964,11018.302962962964,55.6534056712963,0.8014129924805978,0.1412872133474159,0.11717734725387008,7.433226922087787,104.96810450304875,0.1817153084295041,0.09634427357329474,0.08026472089771905,Transport,1
m_dense/H/short,TinyCast,52003.30743055556,52003.30743055556,104.46054796006945,0.9086770245890573,0.33384946223690487,0.24939956029256186,7.9640800567941605,228.0423369257462,0.4044903201230747,0.1852870000115748,0.14737270436664854,Transport,1
m_dense/H/medium,TinyCast,47938.8,47938.8,107.79409722222222,0.9337582809760259,0.32961088771579505,0.2600388929578993,9.521375612763961,218.94930920192465,0.3809441482120746,0.18754811649457373,0.15268009311296404,Transport,1
m_dense/H/long,TinyCast,56798.73777777778,56798.73777777778,120.30445601851852,1.0407318864336583,0.36320546579905727,0.29294780213155863,12.400973826872287,238.32485765815068,0.4125755814706306,0.20826480872819134,0.1722723265554353,Transport,1
sz_taxi/15T/short,TinyCast,17.429264408619268,17.429264408619268,2.818180770082206,0.5628495479224642,1280458593403.3274,0.4117190861148858,4.11070308484734,4.174837051744567,0.3903651373978831,0.26351196702767066,0.20772721912040928,Transport,1
sz_taxi/15T/medium,TinyCast,17.57907485309829,17.57907485309829,2.8985716730101494,0.5669346417063872,11836084009300.242,0.41882264226929755,6.368422293356933,4.1927407328737,0.3902044780295201,0.26976045473788873,0.2261122130476556,Transport,1
sz_taxi/15T/long,TinyCast,16.939382456374645,16.939382456374645,2.8700579260149572,0.543547351570029,8577298967995.288,0.4163093675575365,7.6083875580186415,4.115748104096586,0.38094627382205565,0.2656474217847801,0.22949914574282498,Transport,1
sz_taxi/H/short,TinyCast,7.4968611236311435,7.4968611236311435,1.894547356499566,0.5773496474587729,1.2866330106034238,0.3033967384925255,4.109666933861737,2.7380396497551205,0.2550652895101135,0.17648877729707108,0.13896335297829887,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,1901573.783031588,1901573.783031588,180.49885945427292,0.8904479754655881,2.5449853693814393,0.6375280133011737,14.928313601090746,1378.975628149964,4.32964242304033,0.5667217775647492,0.43962426607999766,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3614147.1594912573,3614147.1594912573,300.96168803877697,1.0972054884618383,5.451212351678307,0.7242769532634955,26.824060545773435,1901.0910445034601,5.776039551977782,0.9144047144759511,0.7408836452813559,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,3854866.608550074,3854866.608550074,312.55235380728124,1.0074852055344956,3.5345185976484945,0.7519380820588157,24.267722512435252,1963.3814220752101,5.188630888238814,0.8259825517968477,0.7127111447666947,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3310502.0584605727,3310502.0584605727,333.9715514179163,1.0372578075021877,4.584299266569676,0.5576117605284542,18.759693758471155,1819.4785127779257,5.1861047318281,0.9519273961966408,0.7067277665201817,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1721787.0700736807,1721787.0700736807,128.84563197887044,1.7782979608930956,1.3939651991799535,0.6173325274459485,54.81985985767072,1312.1688420602284,5.3690161127804945,0.5271991316832296,0.439869795476505,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2280982.511542494,2280982.511542494,150.82994018919257,4.580278316290409,0.44933362267806715,0.6934277745463877,165.77035697147113,1510.2921940944057,6.354569136565799,0.6346184443938118,0.6042004806824189,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,4235611.503887396,4235611.503887396,266.11371756787673,3.557698071479734,4.770137018646821,0.6879313190749163,124.4340559078316,2058.0601312613285,7.883964712829436,1.0194217005793573,0.9556731449842218,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,1986164.4251084195,1986164.4251084195,199.8070738143534,5.880963843761699,3.4526511794066654,0.581440539342366,193.7875480234209,1409.3134587835382,6.167845353514184,0.8744535320686319,0.6953038837641101,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,4011535.644444444,4011535.644444444,843.0247916666667,2.7638192440400857,0.0395254643758138,0.04001881069607205,26.840738700943184,2002.8818348680593,0.07724314662336876,0.03251209654818848,0.024873729223823127,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,19879203.84,19879203.84,2020.7529166666666,6.843839989928127,0.09141905466715494,0.09401775360107421,106.7503876984303,4458.610079385727,0.17507649534393727,0.07934901960630325,0.0705716763831525,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,19101928.106666666,19101928.106666666,2267.3147222222224,7.128577702193696,0.0946321784125434,0.09812883165147569,153.8561905131726,4370.575260382398,0.1685556181043626,0.08744126612016069,0.08082098539854882,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,21.108808099655878,21.108808099655878,2.7472289312453495,0.28588806183961757,0.1474168671797171,0.21160942088989984,3.0428095808076483,4.594432293510906,0.15779139551740803,0.09435095767528306,0.076646495409863,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,71.30702205648532,71.30702205648532,5.812378452380475,0.5937537156629128,0.3761492216057247,0.7065541525651841,3.719886093140692,8.444348527653588,0.4442969120775158,0.30581658132200606,0.23243599993882644,Web/CloudOps,7
