model_name,model_class,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,framework_version,model_kwargs,fev_commit
AutoARIMA,statsforecast,autogluon/fev_datasets,ETT_1D,28,20,-560,28,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['HUFL', 'HULL', 'LUFL', 'LULL', 'MUFL', 'MULL', 'OT']",,[],[],[],ETT_1D,1.25875938,0.0,90.341536805,280,936cfaf2a3a6ab34,False,0.8.0,1.25875938,1.4311893597,0.3554786791,0.3320927514,,"{""model"": ""auto_arima"", ""max_season_length"": 100}",f323f6c
AutoARIMA,statsforecast,autogluon/fev_datasets,ETT_1H,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['HUFL', 'HULL', 'LUFL', 'LULL', 'MUFL', 'MULL', 'OT']",,[],[],[],ETT_1H,1.0524049139,0.0,4304.653345354,280,abd94afdf0b158e2,False,0.8.0,1.0524049139,1.2616150048,0.2729976741,0.2275419988,,"{""model"": ""auto_arima"", ""max_season_length"": 100}",f323f6c
AutoARIMA,statsforecast,autogluon/fev_datasets,ETT_1W,13,5,-65,13,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['HUFL', 'HULL', 'LUFL', 'LULL', 'MUFL', 'MULL', 'OT']",,[],[],[],ETT_1W,2.4423112812,0.0,3.272030586,70,2e18066fd2e18f63,False,0.8.0,2.4423112812,2.7471494,0.5033163587,0.4761461152,,"{""model"": ""auto_arima"", ""max_season_length"": 100}",f323f6c
AutoARIMA,statsforecast,autogluon/fev_datasets,LOOP_SEATTLE_1D,28,10,-280,28,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],LOOP_SEATTLE_1D,0.8099517847000001,0.0,684.539872182,3230,678fdb11fbd87309,False,0.8.0,0.8099517847000001,0.9888675351,0.0375884529,0.0306907047,,"{""model"": ""auto_arima"", ""max_season_length"": 100}",f323f6c
AutoARIMA,statsforecast,autogluon/fev_datasets,LOOP_SEATTLE_1H,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],LOOP_SEATTLE_1H,1.1547447744,0.0,26512.798459658,3230,85c8da08d0377714,False,0.8.0,1.1547447744,1.2962678389,0.1129810625,0.1009451454,,"{""model"": ""auto_arima"", ""max_season_length"": 100}",f323f6c
AutoARIMA,statsforecast,autogluon/fev_datasets,LOOP_SEATTLE_5T,288,10,-2880,288,1,,288,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],LOOP_SEATTLE_5T,1.0012742799,0.0,202.48795235,3230,ddf124d757f77e1e,False,0.8.0,1.0012742799,0.9670797246,0.1080897003,0.1111745205,,"{""model"": ""auto_arima"", ""max_season_length"": 100}",f323f6c
AutoARIMA,statsforecast,autogluon/fev_datasets,M_DENSE_1D,28,10,-280,28,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],M_DENSE_1D,0.9701754728,0.0,194.838623582,300,1ceaf27cc148581f,False,0.8.0,0.9701754728,1.1689597475,0.1260855301,0.1051447846,,"{""model"": ""auto_arima"", ""max_season_length"": 100}",f323f6c
AutoARIMA,statsforecast,autogluon/fev_datasets,M_DENSE_1H,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],M_DENSE_1H,1.0625833507,0.0,2936.89061578,300,a291fe961233f488,False,0.8.0,1.0625833507,1.1833753259,0.2454276024,0.2211301613,,"{""model"": ""auto_arima"", ""max_season_length"": 100}",f323f6c
AutoARIMA,statsforecast,autogluon/fev_datasets,SZ_TAXI_1H,168,2,-336,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],SZ_TAXI_1H,0.6584161141,0.0,835.219897996,312,c8fc2c774fa27320,False,0.8.0,0.6584161141,0.6365009357,0.2079726255,0.2187159408,,"{""model"": ""auto_arima"", ""max_season_length"": 100}",f323f6c
AutoARIMA,statsforecast,autogluon/fev_datasets,australian_tourism,8,2,-16,8,1,,4,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],australian_tourism,0.8009680414,0.0,6.576958059,178,67065ff520a65e45,False,0.8.0,0.8009680414,1.0124394957,0.1101633592,0.0866216851,,"{""model"": ""auto_arima"", ""max_season_length"": 100}",f323f6c
