model_name,model_class,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,framework_version,model_kwargs,fev_commit
AutoTheta,statsforecast,autogluon/fev_datasets,ETT_15T,96,20,-1920,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['HUFL', 'HULL', 'LUFL', 'LULL', 'MUFL', 'MULL', 'OT']",,[],[],[],ETT_15T,1.0985228611,0.0,19.761445753,280,b5dd9d1f1927aad6,False,0.8.0,1.0985228611,0.8021815134,0.1327521247,0.1702353739,,"{""model"": ""auto_theta"", ""max_season_length"": 200}",f323f6c
AutoTheta,statsforecast,autogluon/fev_datasets,ETT_1D,28,20,-560,28,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['HUFL', 'HULL', 'LUFL', 'LULL', 'MUFL', 'MULL', 'OT']",,[],[],[],ETT_1D,1.3789083245,0.0,6.875476194,280,936cfaf2a3a6ab34,False,0.8.0,1.3789083245,1.4485203553,0.3405146072,0.360480833,,"{""model"": ""auto_theta"", ""max_season_length"": 200}",f323f6c
AutoTheta,statsforecast,autogluon/fev_datasets,ETT_1H,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['HUFL', 'HULL', 'LUFL', 'LULL', 'MUFL', 'MULL', 'OT']",,[],[],[],ETT_1H,2.0612851381,0.0,13.947277957,280,abd94afdf0b158e2,False,0.8.0,2.0612851381,1.2846906491,0.2708169586,0.387905148,,"{""model"": ""auto_theta"", ""max_season_length"": 200}",f323f6c
AutoTheta,statsforecast,autogluon/fev_datasets,ETT_1W,13,5,-65,13,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['HUFL', 'HULL', 'LUFL', 'LULL', 'MUFL', 'MULL', 'OT']",,[],[],[],ETT_1W,2.603472341,0.0,1.402697863,70,2e18066fd2e18f63,False,0.8.0,2.603472341,2.836818906,0.4891462915,0.4986518854,,"{""model"": ""auto_theta"", ""max_season_length"": 200}",f323f6c
AutoTheta,statsforecast,autogluon/fev_datasets,LOOP_SEATTLE_1D,28,10,-280,28,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],LOOP_SEATTLE_1D,0.8528499565000001,0.0,33.600081629,3230,678fdb11fbd87309,False,0.8.0,0.8528499565000001,1.0222727749,0.038968802,0.0325479384,,"{""model"": ""auto_theta"", ""max_season_length"": 200}",f323f6c
AutoTheta,statsforecast,autogluon/fev_datasets,LOOP_SEATTLE_1H,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],LOOP_SEATTLE_1H,2.8320370451,0.0,66.42284587,3230,85c8da08d0377714,False,0.8.0,2.8320370451,1.1797622797,0.1024438366,0.2528752457,,"{""model"": ""auto_theta"", ""max_season_length"": 200}",f323f6c
AutoTheta,statsforecast,autogluon/fev_datasets,LOOP_SEATTLE_5T,288,10,-2880,288,1,,288,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],LOOP_SEATTLE_5T,1.1098659434,0.0,175.596409236,3230,ddf124d757f77e1e,False,0.8.0,1.1098659434,0.9937342142,0.1108838339,0.121969972,,"{""model"": ""auto_theta"", ""max_season_length"": 200}",f323f6c
AutoTheta,statsforecast,autogluon/fev_datasets,M_DENSE_1D,28,10,-280,28,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],M_DENSE_1D,1.1434781559,0.0,8.097395407,300,1ceaf27cc148581f,False,0.8.0,1.1434781559,1.0771913074,0.1322432979,0.1459052349,,"{""model"": ""auto_theta"", ""max_season_length"": 200}",f323f6c
AutoTheta,statsforecast,autogluon/fev_datasets,M_DENSE_1H,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],M_DENSE_1H,3.0980400728,0.0,14.361367985,300,a291fe961233f488,False,0.8.0,3.0980400728,1.4265921408,0.2921647739,0.7918015548,,"{""model"": ""auto_theta"", ""max_season_length"": 200}",f323f6c
AutoTheta,statsforecast,autogluon/fev_datasets,SZ_TAXI_15T,96,10,-960,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],SZ_TAXI_15T,0.5126750232,0.0,63.002805565,1560,947f77f0c19ac7ce,False,0.8.0,0.5126750232,0.5704736669,0.2728340265,0.2434722417,,"{""model"": ""auto_theta"", ""max_season_length"": 200}",f323f6c
