model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,model_config,forward_time_s
citras-fm,autogluon/fev_datasets,proenfo_gfc12,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc12,0.8304772402542266,0.0,7.172065034159459,7c9ee0786e7de9fc,False,0.6.1,0.8304772402542266,0.9769768871833284,0.086517815,0.073629607,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",6.153095483779907
citras-fm,autogluon/fev_datasets,proenfo_gfc14,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc14,0.6096831120832706,0.0,11.006018384709025,eb4b54a1ec3114bf,False,0.6.1,0.6096831120832706,0.745386429,0.0363620174583047,0.0297309235656802,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",10.872106790542604
citras-fm,autogluon/fev_datasets,proenfo_gfc17,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc17,0.7660734895841419,0.0,12.884138516383246,2c63b48ca8f6dd9a,False,0.6.1,0.7660734895841419,0.9189420173052976,0.061544747,0.05130469,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",11.972557783126833
citras-fm,autogluon/fev_datasets,rohlik_sales_1D,14,1,2023-12-15T00:00:00,14,14,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1D,1.1687648024904465,0.0,17.159548065974377,c475daf9af96ed16,False,0.6.1,1.1687648024904465,1.422752481006277,0.3898691833019256,0.3191151897770108,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",5.701333284378052
citras-fm,autogluon/fev_datasets,rohlik_orders_1D,61,5,2023-05-01T00:00:00,61,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1D,1.034702106190723,0.0,2.256840302841738,1774b84125cff789,False,0.6.1,1.034702106190723,1.263417574427374,0.0591536335647106,0.0485478709347659,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",2.119631052017212
citras-fm,autogluon/fev_datasets,rohlik_sales_1W,8,1,2023-12-15T00:00:00,8,8,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1W,1.3992701086790116,0.0,10.98845424,09041d7a8a29c83f,False,0.6.1,1.3992701086790116,1.7055600833000368,0.2598514258861542,0.2136887716787791,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",1.3793575763702393
citras-fm,autogluon/fev_datasets,rohlik_orders_1W,8,5,2023-05-01T00:00:00,8,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1W,1.4815417817629155,0.0,0.3099981698906049,bbb0372c6d5883ab,False,0.6.1,1.4815417817629155,1.82768783,0.059370016,0.0481245669182812,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",0.1795957088470459
citras-fm,autogluon/fev_datasets,entsoe_15T,96,20,-1920,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_15T,0.491723576330322,0.0,10.949682809063232,4e80c208c8b54e76,False,0.6.1,0.491723576330322,0.6043646408848564,0.040157807,0.0324571116175732,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",6.803402423858643
citras-fm,autogluon/fev_datasets,entsoe_30T,96,20,-1920,96,1,,48,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_30T,0.5324082856718012,0.0,8.933570303954184,7a3623a47fa39853,False,0.6.1,0.5324082856718012,0.6462294849047346,0.039940982,0.032983912,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",6.714703321456909
citras-fm,autogluon/fev_datasets,entsoe_1H,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_1H,0.4753783490017622,0.0,15.14615251775831,a900217b9207dc1a,False,0.6.1,0.4753783490017622,0.565084488,0.034928305,0.0295101891685257,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",13.88121747970581
citras-fm,autogluon/fev_datasets,epf_be,24,20,-480,24,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['Generation forecast', 'System load forecast']",[],[],epf_be,0.5053587681642974,0.0,2.3842326547019184,fef9300bbbbc0b06,False,0.6.1,0.5053587681642974,0.6266718033132894,0.1138261450454592,0.091655865,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",2.0710344314575195
citras-fm,autogluon/fev_datasets,epf_de,24,20,-480,24,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['Ampirion Load Forecast', 'PV+Wind Forecast']",[],[],epf_de,0.641829284,0.0,2.4281080350046977,b0b822e47c7608d3,False,0.6.1,0.641829284,0.7941170656292134,0.3753619818016886,0.3025435172509976,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",2.1091408729553223
citras-fm,autogluon/fev_datasets,epf_fr,24,20,-480,24,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['Generation forecast', 'System load forecast']",[],[],epf_fr,0.4162508064535263,0.0,2.219444345217198,8f5f11f4c654e31f,False,0.6.1,0.4162508064535263,0.516455027,0.07957595,0.06438319,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",1.9064280986785889
citras-fm,autogluon/fev_datasets,epf_np,24,20,-480,24,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['Grid load forecast', 'Wind power forecast']",[],[],epf_np,0.775848168,0.0,2.4255906300386414,269b47960e0cd2ad,False,0.6.1,0.775848168,0.9649422555038154,0.043778507,0.035176084,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",2.1098787784576416
citras-fm,autogluon/fev_datasets,epf_pjm,24,20,-480,24,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['System load forecast', 'Zonal COMED load foecast']",[],[],epf_pjm,0.4269814194299671,0.0,2.339216287015006,7087b94a370e1baa,False,0.6.1,0.4269814194299671,0.5446976180665436,0.095062098,0.074506095,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",2.014106035232544
citras-fm,autogluon/fev_datasets,rossmann_1D,48,10,-480,48,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,Sales,,"['DayOfWeek', 'Open', 'Promo', 'SchoolHoliday', 'StateHoliday']",['Customers'],"['Assortment', 'CompetitionDistance', 'CompetitionOpenSinceMonth', 'CompetitionOpenSinceYear', 'Promo2', 'Promo2SinceWeek', 'Promo2SinceYear', 'PromoInterval', 'Store', 'StoreType']",rossmann_1D,0.5260209800370064,0.0,78.32518034905661,29ae5d8fec87a1fd,False,0.6.1,0.5260209800370064,0.625444863,0.2131271556019783,0.1793301304348752,"{'context_length': 1032, 'model_name': 'citras-fm', 'batch_size': 256, 'device': device(type='cuda', index=0), 'seed': 123}",46.83224821090698
