model_name,model_class,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,model_kwargs,fev_commit
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,ETT_15T,96,20,-1920,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['HUFL', 'HULL', 'LUFL', 'LULL', 'MUFL', 'MULL', 'OT']",,[],[],[],ETT_15T,0.5675487844,0,0.967366575,280,b5dd9d1f1927aad6,False,0.9.0,0.5675487844,0.723840339,0.1165488051,0.0910278902,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,ETT_1D,28,20,-560,28,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['HUFL', 'HULL', 'LUFL', 'LULL', 'MUFL', 'MULL', 'OT']",,[],[],[],ETT_1D,1.1553237804,0,0.816242317,280,936cfaf2a3a6ab34,False,0.9.0,1.1553237804,1.377158803,0.3352292924,0.2703842771,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,ETT_1H,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['HUFL', 'HULL', 'LUFL', 'LULL', 'MUFL', 'MULL', 'OT']",,[],[],[],ETT_1H,0.8961325529,0,0.840934167,280,abd94afdf0b158e2,False,0.9.0,0.8961325529,1.1424635969,0.2487794037,0.1940800065,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,ETT_1W,13,5,-65,13,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['HUFL', 'HULL', 'LUFL', 'LULL', 'MUFL', 'MULL', 'OT']",,[],[],[],ETT_1W,2.2236416716,0,0.446785313,70,2e18066fd2e18f63,False,0.9.0,2.2236416716,2.563194657,0.4687525665,0.375313951,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,LOOP_SEATTLE_1D,28,10,-280,28,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],LOOP_SEATTLE_1D,0.8358336164,0,2.503082334,3230,678fdb11fbd87309,False,0.9.0,0.8358336164,1.0347277286,0.0392369505,0.0316128852,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,LOOP_SEATTLE_1H,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],LOOP_SEATTLE_1H,0.7372999633,0,4.037510684,3230,85c8da08d0377714,False,0.9.0,0.7372999633,0.9197608815,0.0795993086,0.0636305787,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,LOOP_SEATTLE_5T,288,10,-2880,288,1,,288,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],LOOP_SEATTLE_5T,0.5499692081,0,19.983878515,3230,ddf124d757f77e1e,False,0.9.0,0.5499692081,0.6934857939,0.0750912871,0.0595339252,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,M_DENSE_1D,28,10,-280,28,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],M_DENSE_1D,0.8640470712,0,0.672113932,300,1ceaf27cc148581f,False,0.9.0,0.8640470712,1.0479700759,0.1124073754,0.0934896105,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,M_DENSE_1H,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],M_DENSE_1H,0.7094885956,0,0.910159531,300,a291fe961233f488,False,0.9.0,0.7094885956,0.8808963281000001,0.1835893874,0.1484773567,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,SZ_TAXI_15T,96,10,-960,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],SZ_TAXI_15T,0.4009676894,0,1.555451273,1560,947f77f0c19ac7ce,False,0.9.0,0.4009676894,0.5087373921,0.2432725185,0.191384151,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,SZ_TAXI_1H,168,2,-336,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],SZ_TAXI_1H,0.4021064715,0,0.5414027840000001,312,c8fc2c774fa27320,False,0.9.0,0.4021064715,0.495501714,0.1660172808,0.1347664611,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,australian_tourism,8,2,-16,8,1,,4,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],australian_tourism,0.9292371474,0,0.447558775,178,67065ff520a65e45,False,0.9.0,0.9292371474,1.1731406372,0.1434159682,0.1125261016,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,bizitobs_l2c_1H,24,20,-480,24,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['target_0', 'target_1', 'target_2', 'target_3', 'target_4', 'target_5', 'target_6']",,[],[],[],bizitobs_l2c_1H,0.3348758244,0,0.786650297,140,167357ba0cdd59b2,False,0.9.0,0.3348758244,0.4234612798,0.3887154792,0.3127927463,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
Toto-2.0-4m,toto-2.0,autogluon/fev_datasets,bizitobs_l2c_5T,288,20,-5760,288,1,,288,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,"['target_0', 'target_1', 'target_2', 'target_3', 'target_4', 'target_5', 'target_6']",,[],[],[],bizitobs_l2c_5T,0.6229673872,0,0.823078289,140,89ab1ca4d8dbeb4e,False,0.9.0,0.6229673872,0.7280379650000001,1.1670127242,1.0471463511,"{""model_path"": ""Datadog/Toto-2.0-4m"", ""batch_size"": 512}",357bc23
