dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,47.50772327781338,47.50772327781338,3.856193725145023,0.6111020959460517,0.1038419299573475,0.08137766539865972,4.970310282041118,6.8925846587338615,0.11819260921797858,0.06612520855255051,0.052857558737544705,Transport,1
loop_seattle/5T/medium,TinyCast,92.26000852602554,92.26000852602554,5.7452925983818695,0.9141727810232294,0.18886114161819129,0.12892533734363915,8.703673132293183,9.60520736507159,0.1708963762957746,0.10222056104616732,0.08383856655433236,Transport,1
loop_seattle/5T/long,TinyCast,107.18361883313267,107.18361883313267,6.1237792979947825,0.9698333747004781,0.20275267039481523,0.1359487996573241,11.280675453334387,10.352952179602331,0.1830423231962734,0.10826967709313468,0.09101216578109492,Transport,1
loop_seattle/D/short,TinyCast,19.64124769086808,19.64124769086808,2.99031742517178,0.9009604299527192,0.055458655938029414,0.05521716295258056,7.111666824634286,4.431844727748038,0.07920298460642532,0.05344096635681389,0.043430103575919005,Transport,1
loop_seattle/H/short,TinyCast,68.35216862143598,68.35216862143598,4.575127690148298,0.9271198846472913,0.12342275777287075,0.10446065372597367,6.945066399909694,8.267537034778615,0.14634381274766173,0.08098441254840215,0.06446695199989089,Transport,1
loop_seattle/H/medium,TinyCast,78.79409687368985,78.79409687368985,5.107876876657838,1.0467161816631045,0.13405245622491196,0.11505278613422185,9.228586406054092,8.87660390429188,0.1568929816680293,0.09028115277111251,0.07386792085059105,Transport,1
loop_seattle/H/long,TinyCast,71.96975022910755,71.96975022910755,4.901518761287409,1.0254317027148783,0.14593690197042145,0.11138632124463511,11.274174543202053,8.483498702133899,0.15161145556734026,0.0875966885811497,0.07265533685326078,Transport,1
m_dense/D/short,TinyCast,12915.833333333334,12915.833333333334,59.74280671296296,0.8201201111956928,0.14388340185800247,0.11915108574761285,7.400478388234284,113.64784790453946,0.1967412275575858,0.10342363139438229,0.08303914907275028,Transport,1
m_dense/H/short,TinyCast,54925.59097222222,54925.59097222222,111.8464892578125,0.9592445424701135,0.3451557301733502,0.26807403882344566,7.7455719817729225,234.36209371872027,0.4156999949700853,0.19838782067588465,0.15868280742630828,Transport,1
m_dense/H/medium,TinyCast,51100.80222222222,51100.80222222222,112.51062065972222,0.9419460836467219,0.33805089597959204,0.27527240329318575,8.377057178621063,226.0548655132692,0.39330691887558805,0.19575427165427647,0.15739890833187065,Transport,1
