dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/H/short,TinyCast,3393434.0317681157,3393434.0317681157,345.6903948159458,1.230337516094011,4.650200749854827,0.5970918775788506,19.5130521040998,1842.1275829236463,5.250661938208566,0.9853299061857714,0.7199829618382161,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,2776396.261926097,2776396.261926097,245.54488639616557,6.127695745006209,4.342590529435627,0.8032373020851318,188.52301376770285,1666.2521603665205,6.383036644781781,0.940627142209223,0.8494208962377572,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2143672.790765666,2143672.790765666,178.6669081268626,6.111081596892031,1.7995170651211663,0.7887000155160345,191.0763512628688,1464.1286797155726,6.16033569958307,0.75174275848613,0.6700175020303241,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,1973169.2333011497,1973169.2333011497,184.82869984029347,6.039822811280173,2.9088066280231466,0.6075969649006747,194.97850693554358,1404.6954236777271,6.147634572021806,0.8089008377809851,0.6670633122656405,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,11526586.595555555,11526586.595555555,1973.4176388888889,5.040454279224875,0.07276002671983507,0.07315494113498264,96.74743573305727,3395.0827082054357,0.13093476952206318,0.07610683035620931,0.06808275783302033,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,6239554.56,6239554.56,1409.8770833333333,3.888865179739514,0.055499725341796875,0.055562400817871095,59.185679697830274,2497.910038412112,0.09808557541992631,0.055361723546307376,0.04825060041208409,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,2111838.008888889,2111838.008888889,686.3329166666666,2.056908022981353,0.03017848120795356,0.030249608357747395,24.00245267283132,1453.2164356656888,0.05604474925152472,0.026469117244762478,0.020850236383295646,Web/CloudOps,2
bizitobs_l2c/5T/long,TinyCast,57.39395458872278,57.39395458872278,5.024633890676559,0.5017863361498412,0.41941820703406907,0.702063921798046,3.360038514648599,7.575879789748698,0.42537432423375815,0.2821256811203282,0.21638708674441315,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,69.04428236547992,69.04428236547992,5.577493832473911,0.5508898528826314,0.40480923272145886,0.6397992701041831,3.5372132476471467,8.30928892056835,0.4371907906072965,0.29345819618699726,0.2235264481589842,Web/CloudOps,7
bizitobs_l2c/5T/short,TinyCast,22.964159138997395,22.964159138997395,2.910144297281901,0.2987618604624744,0.1457047162872097,0.21415596689496721,2.6196138207243838,4.79209339840089,0.1645798776600559,0.0999461305532128,0.081186297588168,Web/CloudOps,7
bizitobs_l2c/H/long,TinyCast,82.72710813492064,82.72710813492064,5.834369962177579,0.6258298570340288,0.8546529800645151,0.7719022236173115,7.156773418894701,9.09544436159777,0.5555759926753895,0.3563801563184835,0.2916345653807977,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast,95.28597470238095,95.28597470238095,5.79957042875744,0.5958940858558992,0.6141225021416865,0.8083751133510044,6.106058800597407,9.7614535138155,0.5910708370579816,0.3511727985028817,0.2857294041834211,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast,65.0224376860119,65.0224376860119,5.144432431175595,0.5249556353333996,0.48803674345679704,0.659455072312128,3.2646603936604888,8.063649154446882,0.43465134078708356,0.2772980831595229,0.21527076571270637,Web/CloudOps,7
bizitobs_service/10S/long,TinyCast,143796.12105820107,143796.12105820107,98.70286375661375,2.3251842779688148,0.31129598627645505,0.13251667648396165,33.51816820488803,379.2045899751229,0.2809268831195996,0.07312223692214029,0.06687566669142336,Web/CloudOps,2
bizitobs_service/10S/medium,TinyCast,21567.595555555556,21567.595555555556,53.14233630952381,1.8325592298804179,0.24905154515826514,0.1070269557407924,20.972607747025833,146.85910103073473,0.11052961688548296,0.039996173417007945,0.033869199738838535,Web/CloudOps,2
bizitobs_service/10S/short,TinyCast,7263.836257440476,7263.836257440476,30.053983341600528,1.2383912523349159,0.15282613643262752,0.0822873925910425,13.274796515388164,85.22814240284998,0.0631397343654401,0.022264952295247543,0.017832780974066282,Web/CloudOps,2
car_parts/M/short,TinyCast,1.375433362748212,1.375433362748212,0.5798495663769203,1.018019546388134,0.669260366783861,1.7960523384343106,14.714280717273779,1.1727887118949483,2.812227025942426,1.3904197789484165,1.122460582662983,Sales,1
covid_deaths/D/short,TinyCast,537285.7593984962,537285.7593984962,149.2226679981203,39.127512182962455,0.10544275415591926,0.14935304485742468,635.9872749746719,732.9977894908662,0.27579397246979637,0.056145752388051334,0.05567065217658646,Healthcare,1
electricity/D/short,TinyCast,1970815760.5615857,1970815760.5615857,4966.564004504505,1.5940928452396042,0.5364580093657767,0.10729248995394321,13.454950798463798,44393.8707544362,0.7295387337110142,0.081617141131557,0.06508124017863609,Energy,1
electricity/W/short,TinyCast,230858540722.04684,230858540722.04684,45296.91979166667,1.9054760751326147,0.2590319146730585,0.11769354622643273,14.932233182673023,480477.40916930407,1.0962908890965288,0.10335262287897158,0.08063635924150703,Energy,1
ett1/15T/long,TinyCast,12.872703373015874,12.872703373015874,1.991713159954737,1.2317018981392527,0.9939932227739058,0.4759773714580233,12.667383146104722,3.587854982160772,0.6838487070650111,0.37962249757907907,0.31319504967820117,Energy,7
ett1/15T/medium,TinyCast,12.407571227058531,12.407571227058531,1.8686452132936509,1.1573154088640687,0.8737043980900465,0.45108274429563494,11.086576948196827,3.522438250283251,0.6713801736169304,0.3561656042170939,0.2922256445311425,Energy,7
ett1/15T/short,TinyCast,5.73206794375465,5.73206794375465,1.2083165668305897,0.7657612948209079,0.5275976727447601,0.26395217180252073,5.618588140468357,2.3941737497004367,0.45259849655081397,0.22842212749738522,0.1825790965105742,Energy,7
ett1/D/short,TinyCast,51271.91746031746,51271.91746031746,148.63907490079364,1.7745049217168052,1.2003167046440972,0.5049217587425595,12.227907787714733,226.43303085088417,0.5947338663902151,0.39040546063542036,0.30029772012690714,Energy,7
ett1/H/long,TinyCast,178.75631613756613,178.75631613756613,7.971862599206349,1.531894911938493,4143289527409.447,0.5285670689174107,17.955445582652658,13.369978165186588,0.6402592969684973,0.3817552340203155,0.31288088963691296,Energy,7
ett1/H/medium,TinyCast,145.4928013392857,145.4928013392857,7.169521368117559,1.3265451809376434,3411286483669.997,0.46692984444754465,11.40042467127406,12.062039684037096,0.577743107901157,0.3434030782423726,0.27172883220524846,Energy,7
ett1/H/short,TinyCast,111.9595935639881,111.9595935639881,5.283970860072545,0.8817002756968243,0.5286423331215269,0.27886568818773544,6.577624029834955,10.581096047385076,0.4938630482878737,0.24662454100533654,0.19455243755012935,Energy,7
ett1/W/short,TinyCast,1825314.857142857,1825314.857142857,950.7592075892857,1.5144460234301012,0.9034497397286552,0.46022421973092215,11.338086959505578,1351.0421374416333,0.5376119128225653,0.3783297811818428,0.2991853690579953,Energy,7
ett2/15T/medium,TinyCast,12.866483134920635,12.866483134920635,2.2843822854662696,0.9442769606826544,0.1428949237722697,0.17112120128813244,9.402756898942306,3.58698803105344,0.1911570850940477,0.12173886702431128,0.10035946584212788,Energy,7
ett2/15T/short,TinyCast,8.863610694521949,8.863610694521949,1.8834514617919922,0.8134380326472158,0.11790049982013404,0.14104437884830293,5.653581064368685,2.97718166972087,0.14133740895441985,0.08941414365420731,0.07058892112497331,Energy,7
ett2/D/short,TinyCast,128728.59682539683,128728.59682539683,220.03452380952382,1.4805204485990484,0.4497511121961806,0.14932355123852928,16.772591620020414,358.7876765238695,0.20534365356814865,0.12593156339127912,0.10784721035905524,Energy,7
loop_seattle/D/short,TinyCast,18.324527446798005,18.324527446798005,2.9797651560559975,0.9025701857747784,0.055578078451048354,0.05493965278099934,6.872570651979051,4.280715763373925,0.07650210816010854,0.05325238321374767,0.04268447239610025,Transport,1
loop_seattle/H/long,TinyCast,66.94389148734466,66.94389148734466,5.03787197641872,1.074071798930869,0.14118797865199353,0.11341217357266757,12.906967830741563,8.181924681109248,0.14622192491563613,0.09003350270032258,0.0740218089220805,Transport,1
loop_seattle/H/medium,TinyCast,79.3473423189177,79.3473423189177,5.313641376318208,1.0989431945959356,0.1297831652211208,0.12016644354821236,10.499629096100454,8.907712518874737,0.15744282295306244,0.09391801729962174,0.07625021206434822,Transport,1
loop_seattle/H/short,TinyCast,64.69107214956836,64.69107214956836,4.475957767610269,0.9098483813109629,0.12116922797906031,0.10310282400822329,7.336329657898336,8.043076037783576,0.14237062484717658,0.07922900407390064,0.06365161196066539,Transport,1
m_dense/D/short,TinyCast,12047.840740740741,12047.840740740741,61.385729166666664,0.8496869962187409,0.1456273038622359,0.12273625126591435,7.352936270857783,109.76265640344508,0.19001538664361037,0.10626777306783564,0.08611324775603929,Transport,1
m_dense/H/long,TinyCast,52455.82024691358,52455.82024691358,116.24132330246914,0.9758220528879888,0.5457213809347813,0.2974255672501929,10.1043258236239,229.03235633183706,0.39648888713377856,0.20123092498065148,0.16343464160412138,Transport,1
m_dense/H/medium,TinyCast,46181.26888888889,46181.26888888889,106.0683420138889,0.8942032543159021,0.4670549655457372,0.2736047871907552,8.714137618292582,214.8982756768627,0.37389586145927173,0.1845455203673816,0.14912588183494216,Transport,1
m_dense/H/short,TinyCast,50193.856944444444,50193.856944444444,101.81731825086806,0.8926646624513906,0.37162650209217674,0.2495896954006619,8.293679031444555,224.03985570528394,0.39739091510917796,0.18059856870690078,0.14803315927547023,Transport,1
sz_taxi/15T/long,TinyCast,23.82874877581909,23.82874877581909,3.753928507834758,0.7163502290247084,8126729137372.224,0.5195150087362002,10.816001607784552,4.881469940071238,0.4518201156658716,0.3474568999571799,0.2952218668466571,Transport,1
sz_taxi/15T/medium,TinyCast,20.148003889556623,20.148003889556623,3.3402769431089743,0.6585264789314693,10632644382686.281,0.47944025545038726,7.696613538374044,4.488652792270374,0.4177440322342894,0.3108684996523826,0.2568079129945445,Transport,1
sz_taxi/15T/short,TinyCast,17.603925106435177,17.603925106435177,2.899507159278506,0.5814737264352997,1582175621187.5315,0.42159303291376693,4.294173988204852,4.195703171869428,0.3923162089603284,0.27111633258714113,0.21416847842145809,Transport,1
sz_taxi/H/short,TinyCast,7.528798421223958,7.528798421223958,1.9244732000888922,0.5855526240202144,1.0897018236991687,0.3082040558513413,4.19975461976968,2.743865598243463,0.25560801256307697,0.1792765542964394,0.14097376143130555,Transport,1
