dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/H/short,TinyCast,3837861.9410660276,3837861.9410660276,377.3885667373687,1.170084666614055,4.752698026682083,0.5941369947807625,20.029632603082813,1959.046181453114,5.583917919421898,1.0756799917940956,0.7953257426920017,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,2699668.201105531,2699668.201105531,222.55772480653837,3.73623444845259,3.3442371328999196,0.7247154152740454,125.39799823217759,1643.06670622514,6.294218393300693,0.8525685048215691,0.7804833983356785,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2203076.373849101,2203076.373849101,155.25361137510555,4.698035158975609,0.7207405303794837,0.7099183810727948,165.77159574816332,1484.2763805467973,6.245107347331425,0.6532310840527048,0.6087585396380317,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,1819005.0132891545,1819005.0132891545,175.81612923673634,5.941703746001637,2.465849459919544,0.6021250594615155,198.09821375717,1348.7049392988647,5.90259281302572,0.7694574184522931,0.6543730463050045,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,9263300.835555555,9263300.835555555,1785.1293055555554,5.569073759654245,0.07275886535644531,0.07583336724175348,78.45685679540462,3043.5671235501864,0.11737821846985731,0.06884530194952002,0.059674612170242246,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,10234371.413333334,10234371.413333334,1515.6459375,4.967170224844814,0.06560077667236328,0.0672467549641927,52.94529202900373,3199.12041244673,0.1256200430228224,0.0595149551530944,0.05093358214462811,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,1254572.5155555555,1254572.5155555555,596.2797916666667,2.02173864438089,0.02756365458170573,0.028238084581163194,20.960975477288937,1120.0770132252314,0.04319689332432381,0.022996128166140283,0.01977794609331502,Web/CloudOps,2
bizitobs_l2c/5T/long,TinyCast,56.23643669185136,56.23643669185136,4.866231357023682,0.48431247792469334,0.4274572920494001,0.703124309959137,3.841536177587804,7.499095724942532,0.421063013787275,0.2732316156679323,0.21792907848671542,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,68.60689503039272,68.60689503039272,5.474322719926296,0.5381211214571049,0.4084273733323365,0.6341499723916587,3.841272826670011,8.28292792618605,0.43580381464757695,0.2880298784700775,0.22175565376679393,Web/CloudOps,7
bizitobs_l2c/5T/short,TinyCast,25.74763881138393,25.74763881138393,3.212029847644624,0.3268692038817216,0.1728162455580914,0.22907176869256154,2.7111735033121365,5.07421312238498,0.17426901052927005,0.11031410187919222,0.08710009844361227,Web/CloudOps,7
bizitobs_l2c/H/long,TinyCast,93.50580357142857,93.50580357142857,5.950007750496032,0.6385903233700222,0.7157172224388976,0.7806332542782738,6.285222287710543,9.669839893784621,0.5906617295889579,0.3634436461801845,0.29896410348631575,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast,85.01348586309524,85.01348586309524,5.6740292503720235,0.5824614265215635,0.6513367305447954,0.7971686953590029,4.528524198494681,9.220275801899597,0.5583017045997329,0.343571089465545,0.27625550161840334,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast,69.05271887400794,69.05271887400794,5.277056497240824,0.5299803421515175,0.513854358407805,0.6536392938523066,3.5121092453233307,8.309796560326127,0.4479193163583763,0.2844468599765421,0.22178129907084287,Web/CloudOps,7
bizitobs_service/10S/long,TinyCast,161956.34116402117,161956.34116402117,106.66465608465609,2.9823105538946093,0.21248315558862435,0.15599604208002646,34.33933883240703,402.43799667032084,0.29813893355274496,0.079020587210857,0.07023090438499592,Web/CloudOps,2
bizitobs_service/10S/medium,TinyCast,65945.27746031746,65945.27746031746,73.28703125,2.74072736098748,0.1845800054640997,0.13799543713766432,26.62887644886822,256.79812588941815,0.19327231524811825,0.0551575450883474,0.04650324792876453,Web/CloudOps,2
bizitobs_service/10S/short,TinyCast,5842.176135499339,5842.176135499339,29.12304920014881,1.2688310610228846,0.11013402101224061,0.08049434076541315,13.697998010881236,76.43412938929401,0.05662484820192822,0.021575286502402397,0.018446730800024593,Web/CloudOps,2
