dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,TinyCast,47.759571017963104,47.759571017963104,3.845787553816757,0.6098868478396453,0.10467397443281239,0.0811045115700201,4.905824783355926,6.910829980397659,0.11850547620188033,0.06594676568936442,0.05265048275133465,Transport,1
loop_seattle/5T/medium,TinyCast,94.67884377620291,94.67884377620291,5.807016488184501,0.9244255688241794,0.19610713887878986,0.1296403824655633,9.218346574450782,9.730305430776719,0.17312212794256976,0.10331875587916048,0.08499569582327206,Transport,1
loop_seattle/5T/long,TinyCast,108.94641140995871,108.94641140995871,6.161604601590271,0.9770736740640232,0.21125818701132681,0.13575563546045016,12.243160233538356,10.437739765387846,0.18454138514605822,0.10893843623792852,0.09202888109501689,Transport,1
loop_seattle/D/short,TinyCast,19.563450907578286,19.563450907578286,2.9836588982581107,0.9004958572587342,0.0551213638086191,0.05510630377551966,7.302224562395782,4.423058998880558,0.07904597189704711,0.053321969587513084,0.04338232184036373,Transport,1
loop_seattle/H/short,TinyCast,69.2093269157938,69.2093269157938,4.573710417088353,0.9274372216049757,0.12142984728921691,0.10443785393764476,7.0556486036099955,8.31921432082344,0.14725855326112272,0.08095932537402066,0.0644925778462838,Transport,1
loop_seattle/H/medium,TinyCast,81.86366509751515,81.86366509751515,5.11800096352403,1.0555691075231073,0.13108176697887503,0.11591498962496825,9.681601417376486,9.047854170880251,0.15991981098543342,0.09046009487467252,0.07418672204520321,Transport,1
loop_seattle/H/long,TinyCast,72.96317902503655,72.96317902503655,4.8658393726014255,1.0205226015827051,0.14209529842590604,0.11093900731063439,11.663614848726052,8.541848688957009,0.1526542477861169,0.08695905023848403,0.0724068698049875,Transport,1
m_dense/D/short,TinyCast,12194.74074074074,12194.74074074074,59.22153935185185,0.81153929847064,0.14095215907001424,0.11752013595015914,7.338904325306683,110.42980005750594,0.191170310945982,0.10252124052291725,0.08151176338936489,Transport,1
m_dense/H/short,TinyCast,55750.966944444444,55750.966944444444,112.03233371310763,0.9617759433987588,0.3451303304235071,0.2686097484164768,7.806330437842499,236.11642667219164,0.41881174477724126,0.19871746246183034,0.15929180069247378,Transport,1
m_dense/H/medium,TinyCast,49682.39111111111,49682.39111111111,111.86578993055555,0.9420478347941337,0.35015114228755834,0.2818606991238064,8.50176760830712,222.89547126649097,0.38780997186720495,0.19463234761734413,0.1570075180065574,Transport,1
m_dense/H/long,TinyCast,55840.803950617286,55840.803950617286,119.99774691358024,1.0053801103980926,0.38229802006254066,0.30121110327449846,10.27291487827522,236.3065888853235,0.40908165968380805,0.20773384989932359,0.17087469532003305,Transport,1
sz_taxi/15T/short,TinyCast,17.180737841260303,17.180737841260303,2.8150092533656528,0.5627314065350759,1313573745037.3276,0.40983862026852713,4.043004847124197,4.144965360682801,0.3875720063987317,0.2632154166369675,0.20721298069194885,Transport,1
sz_taxi/15T/medium,TinyCast,17.248113648504273,17.248113648504273,2.883870338374733,0.5639391795339024,9281559003248.771,0.4206103854709201,6.993199495629568,4.153084835216381,0.3865138351226403,0.2683922502689665,0.22767414136498987,Transport,1
sz_taxi/15T/long,TinyCast,16.64867510238604,16.64867510238604,2.851064967837429,0.5391112621757325,7199437935715.086,0.41571109260928596,8.25875667222985,4.080278802041111,0.37766329874404897,0.2638894675894332,0.23047834051395755,Transport,1
sz_taxi/H/short,TinyCast,8.198722643729967,8.198722643729967,1.9994517595340044,0.615049219526077,1.2475473208305163,0.31243178783318937,4.348886495121849,2.8633411678893537,0.2667378991459248,0.18626126979302807,0.14694222612136615,Transport,1
bitbrains_fast_storage/5T/short,TinyCast,2038869.353101751,2038869.353101751,190.92260533829335,0.953688042081836,3.0402789717896614,0.6453114171926428,16.821064603862666,1427.8898252672548,4.483220904490437,0.5994497616314399,0.4664706804723056,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,TinyCast,3876939.6991985827,3876939.6991985827,323.8172625391497,1.1140756641337548,6.425113701395944,0.7179392612636681,27.05563683465473,1968.9945909520886,5.982349276670257,0.9838462610441788,0.7566218219335701,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TinyCast,5665418.90690604,5665418.90690604,431.11330268054365,1.0398889587953435,6.186986024291655,0.7336535516921965,24.913043781595015,2380.2140464475124,6.29019505999195,1.1393037407141315,0.9600471738241205,Web/CloudOps,2
bitbrains_fast_storage/H/short,TinyCast,3717788.2901939866,3717788.2901939866,370.2527226922972,1.0799405142437457,4.696133821826002,0.5679162809670417,19.61486868501265,1928.1567078933151,5.495872886811115,1.0553405185286318,0.7834113727559263,Web/CloudOps,2
bitbrains_rnd/5T/short,TinyCast,1701818.1975058077,1701818.1975058077,132.32004134241168,1.814153885270728,1.6399680965609689,0.620219215145761,57.352127999269115,1304.537541623777,5.337791034351986,0.5414154118274521,0.4508143094661434,Web/CloudOps,2
bitbrains_rnd/5T/medium,TinyCast,2249295.827153315,2249295.827153315,149.95912741684822,4.5634469056913884,0.5144093012286173,0.6904018166250294,166.97913646231527,1499.7652573497344,6.310276947543144,0.6309544911611165,0.5934129601818255,Web/CloudOps,2
bitbrains_rnd/5T/long,TinyCast,2920421.6002721624,2920421.6002721624,215.4686896114122,3.5254332559723447,3.1359145837530797,0.6928776590485355,124.8660421810723,1708.9241060597637,6.546503255384222,0.8254120080421832,0.7469878090561483,Web/CloudOps,2
bitbrains_rnd/H/short,TinyCast,2735741.9050576957,2735741.9050576957,233.8645193744593,5.963772315544115,3.964741963142542,0.5832471427315523,197.28743919314616,1654.0078310146223,7.238747669383128,1.0235055801004285,0.8013446938893366,Web/CloudOps,2
bizitobs_application/10S/short,TinyCast,2164757.902222222,2164757.902222222,623.7342361111112,1.8998829767463428,0.027230798933241103,0.027795931498209636,17.836230019938323,1471.3116264823786,0.05674260843277966,0.024054936349811814,0.018068526564458686,Web/CloudOps,2
bizitobs_application/10S/medium,TinyCast,4977359.36,4977359.36,1245.3004166666667,3.220853808567005,0.04556451161702474,0.04633611679077149,47.95845220224208,2230.999632451785,0.087604789342127,0.048899282224379295,0.042943196970200256,Web/CloudOps,2
bizitobs_application/10S/long,TinyCast,6034734.08,6034734.08,1456.9933333333333,3.7490839635503925,0.05144343058268229,0.05314456939697266,80.17780449428415,2456.569575648123,0.0947400693435291,0.056190409097874344,0.05170409803531714,Web/CloudOps,2
bizitobs_l2c/5T/short,TinyCast,20.482410685221353,20.482410685221353,2.7484052022298178,0.2853379723367386,0.14790031187529168,0.21127568653651646,2.5188335532795927,4.5257497373608,0.1554325586273891,0.09439135558046234,0.07612408870958474,Web/CloudOps,7
bizitobs_l2c/5T/medium,TinyCast,70.97552748437492,70.97552748437492,5.185932549967688,0.5247356091873092,0.40864136204709256,0.6593376394857182,3.3873752391771954,8.424697471385837,0.4432629775365348,0.27285631456914233,0.21286804979584678,Web/CloudOps,7
bizitobs_l2c/5T/long,TinyCast,70.83620866886947,70.83620866886947,5.012077640172073,0.49914892251746557,0.4348989623131574,0.7414412676575838,3.5273771775670744,8.41642493395322,0.4725696774635941,0.28142066642612956,0.22084811523919246,Web/CloudOps,7
bizitobs_l2c/H/short,TinyCast,75.51963975694444,75.51963975694444,5.516136532738095,0.5536294285128579,0.43525772643603866,0.68266356937469,3.015089112520628,8.690203666022128,0.46842423359482593,0.2973338861843981,0.22889610227213256,Web/CloudOps,7
bizitobs_l2c/H/medium,TinyCast,108.40768229166666,108.40768229166666,5.9730224609375,0.6186907245810402,0.5856647938549115,0.8563991001674107,5.808167145187875,10.411900993174429,0.6304564199061511,0.361675582509892,0.301007554751984,Web/CloudOps,7
bizitobs_l2c/H/long,TinyCast,106.30699404761904,106.30699404761904,6.19178951202877,0.6675284027995625,0.6510139897783411,0.8720927933989879,9.676224475731523,10.310528310790822,0.6297968272403403,0.3782123739997408,0.3247898609351105,Web/CloudOps,7
bizitobs_service/10S/short,TinyCast,6449.098158895503,6449.098158895503,27.458841455853175,1.1110726469046588,0.07199424259246341,0.06116823670725343,9.978840609056864,80.3062772072987,0.059493459176656674,0.020342388166931683,0.01550241656696698,Web/CloudOps,2
bizitobs_service/10S/medium,TinyCast,42451.252380952385,42451.252380952385,53.81113963293651,1.614653155291338,0.12707531883603052,0.09828443496946304,17.71928086854213,206.03701701624487,0.15506830966006863,0.04049953054359878,0.03469599825772369,Web/CloudOps,2
bizitobs_service/10S/long,TinyCast,134150.0816931217,134150.0816931217,80.73295634920635,1.757861051658293,0.13278576078869048,0.11944545200892857,28.676666559902102,366.26504295813123,0.2713408530224918,0.059809555031232926,0.055501295539527255,Web/CloudOps,2
car_parts/M/short,TinyCast,1.4078187016324566,1.4078187016324566,0.6165505638948645,1.159840569084023,0.5986130007219785,1.7662713851259444,21.187261599013745,1.1865153608919088,2.8451421221514486,1.4784250061919864,1.3258152859725774,Sales,1
covid_deaths/D/short,TinyCast,469029.22869674186,469029.22869674186,128.93067850289788,37.66794455996485,0.10052552739727572,0.14279372928132286,778.3190443695992,684.8570863302372,0.25768079948003714,0.04851079294828278,0.04972190617389054,Healthcare,1
electricity/15T/short,TinyCast,172544.47193141628,172544.47193141628,64.52966404133015,1.1988113443717079,0.1876389660626788,0.18698617624827302,11.161081771779465,415.38472760973804,0.8188051880307702,0.12720068935361858,0.10387580351092957,Energy,1
electricity/15T/medium,TinyCast,327990.17640695383,327990.17640695383,64.68868976764851,0.9957285633739171,0.16120113633800837,0.15090839223793967,9.179728916751756,572.7042660980917,0.9868271143762605,0.11146512578143761,0.09125907299842131,Energy,1
electricity/15T/long,TinyCast,430183.9649106137,430183.9649106137,71.92872542024446,1.0680887980007858,0.1702349124439962,0.15621978688616112,10.558190149199797,655.8841093597357,1.0347376180942836,0.11347638546473765,0.09291251974993435,Energy,1
electricity/D/short,TinyCast,1704859526.9904144,1704859526.9904144,4740.518997747748,1.5566240467322572,0.5020383469719422,0.10393775994928034,12.430679064231578,41289.944623242285,0.6785309188752815,0.07790247094874707,0.060936146861305295,Energy,1
